Sample Name, Sample-37
Time, February 06 10:53:31 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0466, 8.98
301.0, 0.9675, 10.78
302.0, 0.8959, 12.71
303.0, 0.8330, 14.69
304.0, 0.7789, 16.64
305.0, 0.7274, 18.73
306.0, 0.6798, 20.90
307.0, 0.6412, 22.85
308.0, 0.6084, 24.64
309.0, 0.5821, 26.18
310.0, 0.5601, 27.54
311.0, 0.5417, 28.73
312.0, 0.5271, 29.71
313.0, 0.5150, 30.55
314.0, 0.5052, 31.25
315.0, 0.4965, 31.88
316.0, 0.4893, 32.41
317.0, 0.4824, 32.93
318.0, 0.4754, 33.47
319.0, 0.4693, 33.94
320.0, 0.4632, 34.42
321.0, 0.4578, 34.85
322.0, 0.4527, 35.26
323.0, 0.4477, 35.67
324.0, 0.4426, 36.09
325.0, 0.4382, 36.46
326.0, 0.4338, 36.83
327.0, 0.4297, 37.18
328.0, 0.4255, 37.54
329.0, 0.4216, 37.88
330.0, 0.4192, 38.09
331.0, 0.4123, 38.70
332.0, 0.4078, 39.10
333.0, 0.4037, 39.48
334.0, 0.3996, 39.85
335.0, 0.3952, 40.25
336.0, 0.3912, 40.63
337.0, 0.3873, 40.99
338.0, 0.3837, 41.34
339.0, 0.3808, 41.61
340.0, 0.3441, 45.28
341.0, 0.3421, 45.49
342.0, 0.3405, 45.66
343.0, 0.3386, 45.86
344.0, 0.3369, 46.04
345.0, 0.3348, 46.26
346.0, 0.3337, 46.38
347.0, 0.3313, 46.64
348.0, 0.3297, 46.81
349.0, 0.3277, 47.03
350.0, 0.3261, 47.20
351.0, 0.3248, 47.34
352.0, 0.3231, 47.52
353.0, 0.3208, 47.78
354.0, 0.3181, 48.08
355.0, 0.3153, 48.39
356.0, 0.3126, 48.69
357.0, 0.3099, 48.99
358.0, 0.3070, 49.31
359.0, 0.3042, 49.64
360.0, 0.3012, 49.98
361.0, 0.2985, 50.30
362.0, 0.2955, 50.64
363.0, 0.2932, 50.91
364.0, 0.2902, 51.27
365.0, 0.2872, 51.62
366.0, 0.2841, 51.99
367.0, 0.2807, 52.40
368.0, 0.2769, 52.86
369.0, 0.2731, 53.32
370.0, 0.2717, 53.49
371.0, 0.2771, 52.83
372.0, 0.2744, 53.16
373.0, 0.2721, 53.44
374.0, 0.2701, 53.69
375.0, 0.2680, 53.95
376.0, 0.2661, 54.19
377.0, 0.2642, 54.43
378.0, 0.2620, 54.70
379.0, 0.2598, 54.99
380.0, 0.2574, 55.28
381.0, 0.2552, 55.56
382.0, 0.2533, 55.81
383.0, 0.2512, 56.08
384.0, 0.2503, 56.19
385.0, 0.2470, 56.63
386.0, 0.2449, 56.89
387.0, 0.2431, 57.14
388.0, 0.2415, 57.35
389.0, 0.2394, 57.63
390.0, 0.2372, 57.92
391.0, 0.2350, 58.21
392.0, 0.2330, 58.48
393.0, 0.2310, 58.74
394.0, 0.2288, 59.04
395.0, 0.2269, 59.31
396.0, 0.2250, 59.57
397.0, 0.2230, 59.85
398.0, 0.2210, 60.12
399.0, 0.2195, 60.33
400.0, 0.2178, 60.56
401.0, 0.2159, 60.83
402.0, 0.2139, 61.11
403.0, 0.2120, 61.38
404.0, 0.2103, 61.61
405.0, 0.2086, 61.86
406.0, 0.2067, 62.13
407.0, 0.2049, 62.39
408.0, 0.2031, 62.64
409.0, 0.2016, 62.86
410.0, 0.1998, 63.12
411.0, 0.1984, 63.32
412.0, 0.1969, 63.54
413.0, 0.1954, 63.77
414.0, 0.1937, 64.02
415.0, 0.1921, 64.26
416.0, 0.1903, 64.51
417.0, 0.1888, 64.75
418.0, 0.1874, 64.95
419.0, 0.1858, 65.20
420.0, 0.1843, 65.42
421.0, 0.1828, 65.65
422.0, 0.1813, 65.88
423.0, 0.1801, 66.06
424.0, 0.1787, 66.27
425.0, 0.1774, 66.46
426.0, 0.1759, 66.70
427.0, 0.1745, 66.92
428.0, 0.1730, 67.14
429.0, 0.1717, 67.35
430.0, 0.1703, 67.56
431.0, 0.1689, 67.77
432.0, 0.1675, 67.99
433.0, 0.1663, 68.18
434.0, 0.1651, 68.37
435.0, 0.1640, 68.55
436.0, 0.1627, 68.75
437.0, 0.1615, 68.95
438.0, 0.1602, 69.15
439.0, 0.1589, 69.36
440.0, 0.1578, 69.54
441.0, 0.1563, 69.77
442.0, 0.1551, 69.98
443.0, 0.1537, 70.19
444.0, 0.1525, 70.39
445.0, 0.1512, 70.59
446.0, 0.1500, 70.80
447.0, 0.1490, 70.95
448.0, 0.1480, 71.12
449.0, 0.1471, 71.27
450.0, 0.1465, 71.37
