Sample Name, Sample-64
Time, February 13 18:35:00 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5034, 0.31
231.0, 2.5046, 0.31
232.0, 2.5164, 0.30
233.0, 2.5145, 0.31
234.0, 2.5289, 0.30
235.0, 2.5297, 0.30
236.0, 2.5260, 0.30
237.0, 2.5219, 0.30
238.0, 2.5347, 0.29
239.0, 2.5302, 0.30
240.0, 2.5259, 0.30
241.0, 2.5216, 0.30
242.0, 2.5137, 0.31
243.0, 2.5163, 0.30
244.0, 2.4979, 0.32
245.0, 2.4938, 0.32
246.0, 2.4900, 0.32
247.0, 2.4736, 0.34
248.0, 2.4688, 0.34
249.0, 2.4576, 0.35
250.0, 2.4573, 0.35
251.0, 2.4583, 0.35
252.0, 2.4437, 0.36
253.0, 2.4322, 0.37
254.0, 2.4188, 0.38
255.0, 2.4118, 0.39
256.0, 2.4097, 0.39
257.0, 2.3890, 0.41
258.0, 2.3835, 0.41
259.0, 2.3716, 0.43
260.0, 2.3601, 0.44
261.0, 2.3441, 0.45
262.0, 2.3404, 0.46
263.0, 2.3289, 0.47
264.0, 2.3175, 0.48
265.0, 2.3137, 0.49
266.0, 2.3115, 0.49
267.0, 2.2998, 0.50
268.0, 2.2970, 0.50
269.0, 2.2905, 0.51
270.0, 2.2840, 0.52
271.0, 2.2769, 0.53
272.0, 2.2649, 0.54
273.0, 2.2650, 0.54
274.0, 2.2577, 0.55
275.0, 2.2483, 0.56
276.0, 2.2422, 0.57
277.0, 2.2353, 0.58
278.0, 2.2369, 0.58
279.0, 2.2279, 0.59
280.0, 2.2235, 0.60
281.0, 2.2172, 0.61
282.0, 2.2124, 0.61
283.0, 2.2084, 0.62
284.0, 2.2090, 0.62
285.0, 2.2079, 0.62
286.0, 2.1950, 0.64
287.0, 2.1896, 0.65
288.0, 2.1897, 0.65
289.0, 2.1840, 0.65
290.0, 2.1793, 0.66
291.0, 2.1797, 0.66
292.0, 2.1646, 0.68
293.0, 2.1611, 0.69
294.0, 2.1388, 0.73
295.0, 2.0830, 0.83
296.0, 1.9981, 1.00
297.0, 1.8861, 1.30
298.0, 1.8077, 1.56
299.0, 1.5061, 3.12
300.0, 1.3307, 4.67
301.0, 1.1791, 6.62
302.0, 1.0478, 8.96
303.0, 0.9314, 11.71
304.0, 0.8381, 14.52
305.0, 0.7553, 17.57
306.0, 0.6819, 20.80
307.0, 0.6195, 24.02
308.0, 0.5722, 26.78
309.0, 0.5340, 29.24
310.0, 0.5030, 31.41
311.0, 0.4774, 33.31
312.0, 0.4571, 34.91
313.0, 0.4415, 36.18
314.0, 0.4293, 37.21
315.0, 0.4190, 38.10
316.0, 0.4108, 38.84
317.0, 0.4031, 39.53
318.0, 0.3958, 40.20
319.0, 0.3894, 40.80
320.0, 0.3840, 41.31
321.0, 0.3790, 41.78
322.0, 0.3747, 42.20
323.0, 0.3704, 42.62
324.0, 0.3659, 43.06
325.0, 0.3622, 43.43
326.0, 0.3587, 43.79
327.0, 0.3552, 44.13
328.0, 0.3521, 44.45
329.0, 0.3491, 44.76
330.0, 0.3471, 44.97
331.0, 0.3415, 45.55
332.0, 0.3379, 45.93
333.0, 0.3345, 46.29
334.0, 0.3316, 46.60
335.0, 0.3282, 46.96
336.0, 0.3251, 47.31
337.0, 0.3218, 47.67
338.0, 0.3189, 47.98
339.0, 0.3170, 48.20
340.0, 0.3064, 49.38
341.0, 0.3041, 49.65
342.0, 0.3018, 49.92
343.0, 0.2989, 50.25
344.0, 0.2954, 50.65
345.0, 0.2931, 50.93
346.0, 0.2906, 51.21
347.0, 0.2879, 51.54
348.0, 0.2855, 51.82
349.0, 0.2829, 52.13
350.0, 0.2806, 52.41
351.0, 0.2779, 52.73
352.0, 0.2754, 53.04
353.0, 0.2730, 53.34
354.0, 0.2700, 53.70
355.0, 0.2677, 53.98
356.0, 0.2649, 54.34
357.0, 0.2625, 54.64
358.0, 0.2595, 55.02
359.0, 0.2569, 55.35
360.0, 0.2540, 55.72
361.0, 0.2516, 56.03
362.0, 0.2492, 56.34
363.0, 0.2469, 56.64
364.0, 0.2445, 56.95
365.0, 0.2417, 57.32
366.0, 0.2389, 57.69
367.0, 0.2366, 58.00
368.0, 0.2339, 58.36
369.0, 0.2313, 58.71
370.0, 0.2301, 58.87
371.0, 0.2282, 59.12
372.0, 0.2258, 59.46
373.0, 0.2232, 59.82
374.0, 0.2214, 60.06
375.0, 0.2196, 60.31
376.0, 0.2176, 60.60
377.0, 0.2153, 60.90
378.0, 0.2132, 61.20
379.0, 0.2109, 61.53
380.0, 0.2086, 61.86
381.0, 0.2064, 62.17
382.0, 0.2043, 62.47
383.0, 0.2024, 62.75
384.0, 0.2011, 62.94
385.0, 0.1984, 63.33
386.0, 0.1965, 63.60
387.0, 0.1945, 63.91
388.0, 0.1927, 64.16
389.0, 0.1908, 64.45
390.0, 0.1889, 64.73
391.0, 0.1869, 65.03
392.0, 0.1852, 65.28
393.0, 0.1831, 65.59
394.0, 0.1813, 65.88
395.0, 0.1795, 66.14
396.0, 0.1777, 66.42
397.0, 0.1760, 66.68
398.0, 0.1745, 66.91
399.0, 0.1730, 67.14
400.0, 0.1715, 67.38
401.0, 0.1697, 67.65
402.0, 0.1679, 67.93
403.0, 0.1662, 68.20
404.0, 0.1645, 68.46
405.0, 0.1633, 68.66
406.0, 0.1617, 68.92
407.0, 0.1601, 69.17
408.0, 0.1587, 69.39
409.0, 0.1573, 69.62
410.0, 0.1558, 69.86
411.0, 0.1545, 70.06
412.0, 0.1532, 70.27
413.0, 0.1519, 70.48
414.0, 0.1503, 70.75
415.0, 0.1492, 70.93
416.0, 0.1478, 71.16
417.0, 0.1464, 71.38
418.0, 0.1450, 71.61
419.0, 0.1436, 71.84
420.0, 0.1423, 72.06
421.0, 0.1411, 72.27
422.0, 0.1400, 72.44
423.0, 0.1388, 72.64
424.0, 0.1376, 72.84
425.0, 0.1366, 73.02
426.0, 0.1354, 73.21
427.0, 0.1342, 73.41
428.0, 0.1329, 73.63
429.0, 0.1318, 73.82
430.0, 0.1307, 74.00
431.0, 0.1295, 74.22
432.0, 0.1285, 74.39
433.0, 0.1275, 74.56
434.0, 0.1263, 74.76
435.0, 0.1252, 74.95
436.0, 0.1243, 75.10
437.0, 0.1232, 75.30
438.0, 0.1221, 75.50
439.0, 0.1210, 75.68
440.0, 0.1199, 75.88
441.0, 0.1188, 76.07
442.0, 0.1178, 76.24
443.0, 0.1170, 76.39
444.0, 0.1159, 76.57
445.0, 0.1148, 76.78
446.0, 0.1139, 76.93
447.0, 0.1129, 77.12
448.0, 0.1121, 77.24
449.0, 0.1113, 77.40
450.0, 0.1109, 77.47
451.0, 0.1090, 77.81
452.0, 0.1080, 77.98
453.0, 0.1072, 78.12
454.0, 0.1062, 78.31
455.0, 0.1054, 78.45
456.0, 0.1044, 78.64
457.0, 0.1037, 78.75
458.0, 0.1028, 78.92
459.0, 0.1021, 79.06
460.0, 0.1013, 79.20
461.0, 0.1006, 79.32
462.0, 0.0998, 79.48
463.0, 0.0989, 79.64
464.0, 0.0980, 79.80
465.0, 0.0973, 79.94
466.0, 0.0965, 80.07
467.0, 0.0959, 80.19
468.0, 0.0949, 80.36
469.0, 0.0941, 80.52
470.0, 0.0934, 80.64
471.0, 0.0929, 80.74
472.0, 0.0922, 80.88
473.0, 0.0914, 81.02
474.0, 0.0906, 81.17
475.0, 0.0902, 81.24
476.0, 0.0891, 81.46
477.0, 0.0883, 81.60
478.0, 0.0875, 81.74
479.0, 0.0869, 81.87
480.0, 0.0862, 81.99
481.0, 0.0856, 82.12
482.0, 0.0848, 82.26
483.0, 0.0840, 82.41
484.0, 0.0834, 82.52
485.0, 0.0828, 82.64
486.0, 0.0823, 82.73
487.0, 0.0814, 82.90
488.0, 0.0807, 83.04
489.0, 0.0799, 83.20
490.0, 0.0791, 83.34
491.0, 0.0785, 83.46
492.0, 0.0778, 83.59
493.0, 0.0773, 83.70
494.0, 0.0768, 83.79
495.0, 0.0762, 83.91
496.0, 0.0756, 84.03
497.0, 0.0750, 84.14
498.0, 0.0743, 84.28
499.0, 0.0737, 84.40
500.0, 0.0731, 84.51
501.0, 0.0726, 84.61
502.0, 0.0721, 84.70
503.0, 0.0714, 84.84
504.0, 0.0709, 84.94
505.0, 0.0703, 85.05
506.0, 0.0697, 85.18
507.0, 0.0691, 85.30
508.0, 0.0685, 85.40
509.0, 0.0680, 85.50
510.0, 0.0673, 85.65
511.0, 0.0668, 85.75
512.0, 0.0665, 85.80
513.0, 0.0660, 85.91
514.0, 0.0655, 86.01
515.0, 0.0649, 86.11
516.0, 0.0642, 86.26
517.0, 0.0638, 86.33
518.0, 0.0634, 86.42
519.0, 0.0630, 86.50
520.0, 0.0626, 86.59
521.0, 0.0620, 86.70
522.0, 0.0616, 86.78
523.0, 0.0611, 86.87
524.0, 0.0605, 86.99
525.0, 0.0601, 87.07
526.0, 0.0596, 87.18
527.0, 0.0593, 87.25
528.0, 0.0586, 87.37
529.0, 0.0582, 87.46
530.0, 0.0577, 87.56
531.0, 0.0573, 87.64
532.0, 0.0569, 87.71
533.0, 0.0564, 87.82
534.0, 0.0559, 87.93
535.0, 0.0555, 88.00
536.0, 0.0551, 88.07
537.0, 0.0546, 88.19
538.0, 0.0542, 88.26
539.0, 0.0537, 88.37
540.0, 0.0534, 88.42
541.0, 0.0531, 88.50
542.0, 0.0527, 88.58
543.0, 0.0522, 88.67
544.0, 0.0521, 88.70
