Sample Name, Sample-49
Time, February 06 11:15:30 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9039, 12.48
301.0, 0.8095, 15.50
302.0, 0.7218, 18.97
303.0, 0.6466, 22.56
304.0, 0.5845, 26.03
305.0, 0.5270, 29.72
306.0, 0.4716, 33.76
307.0, 0.4281, 37.32
308.0, 0.3925, 40.50
309.0, 0.3643, 43.22
310.0, 0.3417, 45.53
311.0, 0.3234, 47.49
312.0, 0.3088, 49.11
313.0, 0.2977, 50.38
314.0, 0.2885, 51.46
315.0, 0.2810, 52.37
316.0, 0.2749, 53.10
317.0, 0.2692, 53.80
318.0, 0.2639, 54.46
319.0, 0.2592, 55.05
320.0, 0.2551, 55.58
321.0, 0.2514, 56.05
322.0, 0.2480, 56.49
323.0, 0.2447, 56.92
324.0, 0.2417, 57.32
325.0, 0.2386, 57.73
326.0, 0.2358, 58.10
327.0, 0.2333, 58.43
328.0, 0.2307, 58.79
329.0, 0.2282, 59.13
330.0, 0.2265, 59.36
331.0, 0.2218, 60.01
332.0, 0.2189, 60.40
333.0, 0.2164, 60.75
334.0, 0.2138, 61.12
335.0, 0.2110, 61.52
336.0, 0.2082, 61.91
337.0, 0.2057, 62.27
338.0, 0.2036, 62.58
339.0, 0.2021, 62.80
340.0, 0.1877, 64.91
341.0, 0.1859, 65.18
342.0, 0.1839, 65.47
343.0, 0.1824, 65.71
344.0, 0.1805, 66.00
345.0, 0.1787, 66.27
346.0, 0.1772, 66.50
347.0, 0.1756, 66.75
348.0, 0.1737, 67.04
349.0, 0.1722, 67.27
350.0, 0.1706, 67.51
351.0, 0.1693, 67.71
352.0, 0.1679, 67.94
353.0, 0.1658, 68.26
354.0, 0.1640, 68.55
355.0, 0.1621, 68.86
356.0, 0.1603, 69.14
357.0, 0.1585, 69.43
358.0, 0.1565, 69.75
359.0, 0.1545, 70.06
360.0, 0.1524, 70.41
361.0, 0.1504, 70.72
362.0, 0.1488, 70.99
363.0, 0.1476, 71.18
364.0, 0.1463, 71.40
365.0, 0.1444, 71.71
366.0, 0.1427, 71.99
367.0, 0.1410, 72.27
368.0, 0.1389, 72.63
369.0, 0.1372, 72.91
370.0, 0.1366, 73.01
371.0, 0.1350, 73.29
372.0, 0.1331, 73.60
373.0, 0.1318, 73.83
374.0, 0.1303, 74.08
375.0, 0.1290, 74.31
376.0, 0.1276, 74.55
377.0, 0.1261, 74.80
378.0, 0.1248, 75.02
379.0, 0.1235, 75.25
380.0, 0.1220, 75.50
381.0, 0.1205, 75.76
382.0, 0.1194, 75.96
383.0, 0.1180, 76.21
384.0, 0.1175, 76.30
385.0, 0.1154, 76.66
386.0, 0.1143, 76.87
387.0, 0.1131, 77.08
388.0, 0.1120, 77.28
389.0, 0.1107, 77.50
390.0, 0.1096, 77.70
391.0, 0.1084, 77.92
392.0, 0.1074, 78.10
393.0, 0.1062, 78.32
394.0, 0.1050, 78.52
395.0, 0.1039, 78.72
396.0, 0.1028, 78.91
397.0, 0.1016, 79.14
398.0, 0.1007, 79.31
399.0, 0.0997, 79.49
400.0, 0.0986, 79.68
401.0, 0.0975, 79.89
402.0, 0.0965, 80.08
403.0, 0.0956, 80.24
404.0, 0.0945, 80.44
405.0, 0.0937, 80.59
406.0, 0.0927, 80.78
407.0, 0.0917, 80.97
408.0, 0.0908, 81.13
409.0, 0.0901, 81.27
410.0, 0.0891, 81.44
411.0, 0.0884, 81.58
412.0, 0.0877, 81.72
413.0, 0.0869, 81.86
414.0, 0.0861, 82.01
415.0, 0.0854, 82.16
416.0, 0.0844, 82.33
417.0, 0.0838, 82.45
418.0, 0.0829, 82.62
419.0, 0.0821, 82.78
420.0, 0.0815, 82.89
421.0, 0.0807, 83.04
422.0, 0.0801, 83.16
423.0, 0.0794, 83.30
424.0, 0.0787, 83.42
425.0, 0.0781, 83.54
426.0, 0.0772, 83.71
427.0, 0.0766, 83.83
428.0, 0.0761, 83.94
429.0, 0.0754, 84.07
430.0, 0.0748, 84.17
431.0, 0.0742, 84.30
432.0, 0.0736, 84.41
433.0, 0.0730, 84.53
434.0, 0.0724, 84.64
435.0, 0.0718, 84.76
436.0, 0.0713, 84.86
437.0, 0.0707, 84.98
438.0, 0.0701, 85.09
439.0, 0.0696, 85.20
440.0, 0.0691, 85.29
441.0, 0.0686, 85.40
442.0, 0.0680, 85.50
443.0, 0.0674, 85.63
444.0, 0.0669, 85.73
445.0, 0.0663, 85.84
446.0, 0.0657, 85.95
447.0, 0.0653, 86.03
448.0, 0.0652, 86.06
449.0, 0.0648, 86.13
450.0, 0.0648, 86.14
