Sample Name, Sample-54
Time, February 06 11:21:39 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9716, 10.68
301.0, 0.8925, 12.81
302.0, 0.8191, 15.17
303.0, 0.7566, 17.51
304.0, 0.7043, 19.76
305.0, 0.6548, 22.14
306.0, 0.6077, 24.68
307.0, 0.5700, 26.91
308.0, 0.5380, 28.97
309.0, 0.5125, 30.73
310.0, 0.4913, 32.26
311.0, 0.4741, 33.56
312.0, 0.4601, 34.67
313.0, 0.4488, 35.58
314.0, 0.4390, 36.39
315.0, 0.4312, 37.05
316.0, 0.4245, 37.62
317.0, 0.4181, 38.18
318.0, 0.4120, 38.73
319.0, 0.4062, 39.25
320.0, 0.4008, 39.74
321.0, 0.3962, 40.16
322.0, 0.3918, 40.57
323.0, 0.3873, 41.00
324.0, 0.3831, 41.39
325.0, 0.3792, 41.77
326.0, 0.3756, 42.11
327.0, 0.3718, 42.48
328.0, 0.3683, 42.82
329.0, 0.3651, 43.15
330.0, 0.3629, 43.36
331.0, 0.3571, 43.94
332.0, 0.3532, 44.34
333.0, 0.3496, 44.71
334.0, 0.3460, 45.08
335.0, 0.3425, 45.45
336.0, 0.3386, 45.85
337.0, 0.3356, 46.17
338.0, 0.3324, 46.51
339.0, 0.3300, 46.78
340.0, 0.2990, 50.23
341.0, 0.2971, 50.46
342.0, 0.2959, 50.60
343.0, 0.2943, 50.78
344.0, 0.2931, 50.92
345.0, 0.2910, 51.16
346.0, 0.2897, 51.32
347.0, 0.2882, 51.50
348.0, 0.2866, 51.69
349.0, 0.2850, 51.88
350.0, 0.2839, 52.01
351.0, 0.2825, 52.19
352.0, 0.2813, 52.33
353.0, 0.2790, 52.60
354.0, 0.2772, 52.82
355.0, 0.2744, 53.16
356.0, 0.2721, 53.44
357.0, 0.2700, 53.71
358.0, 0.2672, 54.05
359.0, 0.2650, 54.33
360.0, 0.2624, 54.65
361.0, 0.2598, 54.97
362.0, 0.2576, 55.26
363.0, 0.2559, 55.48
364.0, 0.2535, 55.79
365.0, 0.2510, 56.10
366.0, 0.2481, 56.49
367.0, 0.2453, 56.85
368.0, 0.2421, 57.27
369.0, 0.2388, 57.70
370.0, 0.2374, 57.89
371.0, 0.2420, 57.28
372.0, 0.2397, 57.58
373.0, 0.2380, 57.80
374.0, 0.2362, 58.05
375.0, 0.2347, 58.25
376.0, 0.2331, 58.47
377.0, 0.2311, 58.74
378.0, 0.2293, 58.98
379.0, 0.2275, 59.22
380.0, 0.2256, 59.49
381.0, 0.2237, 59.75
382.0, 0.2222, 59.95
383.0, 0.2206, 60.17
384.0, 0.2197, 60.30
385.0, 0.2169, 60.69
386.0, 0.2153, 60.91
387.0, 0.2135, 61.16
388.0, 0.2123, 61.33
389.0, 0.2104, 61.60
390.0, 0.2087, 61.85
391.0, 0.2070, 62.09
392.0, 0.2052, 62.34
393.0, 0.2036, 62.57
394.0, 0.2021, 62.80
395.0, 0.2004, 63.04
396.0, 0.1988, 63.28
397.0, 0.1972, 63.51
398.0, 0.1955, 63.75
399.0, 0.1942, 63.95
400.0, 0.1926, 64.18
401.0, 0.1910, 64.41
402.0, 0.1894, 64.66
403.0, 0.1880, 64.86
404.0, 0.1866, 65.08
405.0, 0.1850, 65.31
406.0, 0.1835, 65.54
407.0, 0.1820, 65.77
408.0, 0.1807, 65.97
409.0, 0.1793, 66.17
410.0, 0.1779, 66.39
411.0, 0.1767, 66.57
412.0, 0.1755, 66.76
413.0, 0.1742, 66.95
414.0, 0.1728, 67.18
415.0, 0.1715, 67.38
416.0, 0.1702, 67.57
417.0, 0.1688, 67.79
418.0, 0.1675, 68.00
419.0, 0.1661, 68.21
420.0, 0.1650, 68.38
421.0, 0.1637, 68.60
422.0, 0.1625, 68.79
423.0, 0.1614, 68.96
424.0, 0.1602, 69.15
425.0, 0.1591, 69.32
426.0, 0.1579, 69.52
427.0, 0.1567, 69.70
428.0, 0.1556, 69.89
429.0, 0.1545, 70.07
430.0, 0.1532, 70.27
431.0, 0.1522, 70.43
432.0, 0.1511, 70.62
433.0, 0.1500, 70.80
434.0, 0.1490, 70.96
435.0, 0.1480, 71.11
436.0, 0.1471, 71.26
437.0, 0.1460, 71.46
438.0, 0.1449, 71.63
439.0, 0.1439, 71.80
440.0, 0.1428, 71.98
441.0, 0.1416, 72.18
442.0, 0.1406, 72.35
443.0, 0.1395, 72.53
444.0, 0.1386, 72.68
445.0, 0.1375, 72.85
446.0, 0.1365, 73.04
447.0, 0.1354, 73.22
448.0, 0.1346, 73.35
449.0, 0.1339, 73.47
450.0, 0.1333, 73.57
