Sample Name, Sample-68
Time, February 13 18:42:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5083, 0.31
231.0, 2.5160, 0.30
232.0, 2.5140, 0.31
233.0, 2.5115, 0.31
234.0, 2.5265, 0.30
235.0, 2.5368, 0.29
236.0, 2.5359, 0.29
237.0, 2.5411, 0.29
238.0, 2.5366, 0.29
239.0, 2.5342, 0.29
240.0, 2.5368, 0.29
241.0, 2.5274, 0.30
242.0, 2.5283, 0.30
243.0, 2.5213, 0.30
244.0, 2.5073, 0.31
245.0, 2.5073, 0.31
246.0, 2.5017, 0.31
247.0, 2.4860, 0.33
248.0, 2.4873, 0.33
249.0, 2.4704, 0.34
250.0, 2.4739, 0.34
251.0, 2.4640, 0.34
252.0, 2.4502, 0.35
253.0, 2.4356, 0.37
254.0, 2.4308, 0.37
255.0, 2.4246, 0.38
256.0, 2.4179, 0.38
257.0, 2.4109, 0.39
258.0, 2.4078, 0.39
259.0, 2.3835, 0.41
260.0, 2.3710, 0.43
261.0, 2.3738, 0.42
262.0, 2.3601, 0.44
263.0, 2.3508, 0.45
264.0, 2.3447, 0.45
265.0, 2.3331, 0.46
266.0, 2.3237, 0.47
267.0, 2.3094, 0.49
268.0, 2.3000, 0.50
269.0, 2.2904, 0.51
270.0, 2.2827, 0.52
271.0, 2.2819, 0.52
272.0, 2.2645, 0.54
273.0, 2.2641, 0.54
274.0, 2.2539, 0.56
275.0, 2.2483, 0.56
276.0, 2.2479, 0.57
277.0, 2.2374, 0.58
278.0, 2.2397, 0.58
279.0, 2.2402, 0.58
280.0, 2.2360, 0.58
281.0, 2.2352, 0.58
282.0, 2.2337, 0.58
283.0, 2.2186, 0.60
284.0, 2.2092, 0.62
285.0, 2.2085, 0.62
286.0, 2.2025, 0.63
287.0, 2.1932, 0.64
288.0, 2.1930, 0.64
289.0, 2.1832, 0.66
290.0, 2.1892, 0.65
291.0, 2.1788, 0.66
292.0, 2.1798, 0.66
293.0, 2.1787, 0.66
294.0, 2.1590, 0.69
295.0, 2.1265, 0.75
296.0, 2.0701, 0.85
297.0, 1.9776, 1.05
298.0, 1.9093, 1.23
299.0, 1.6005, 2.51
300.0, 1.4097, 3.89
301.0, 1.2421, 5.73
302.0, 1.0893, 8.14
303.0, 0.9552, 11.09
304.0, 0.8471, 14.22
305.0, 0.7516, 17.72
306.0, 0.6661, 21.57
307.0, 0.5937, 25.49
308.0, 0.5392, 28.89
309.0, 0.4954, 31.96
310.0, 0.4605, 34.63
311.0, 0.4319, 36.99
312.0, 0.4093, 38.97
313.0, 0.3920, 40.55
