Sample Name, Sample-69
Time, February 13 18:43:39 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5204, 0.30
231.0, 2.5281, 0.30
232.0, 2.5275, 0.30
233.0, 2.5282, 0.30
234.0, 2.5505, 0.28
235.0, 2.5431, 0.29
236.0, 2.5479, 0.28
237.0, 2.5471, 0.28
238.0, 2.5506, 0.28
239.0, 2.5465, 0.28
240.0, 2.5446, 0.29
241.0, 2.5376, 0.29
242.0, 2.5388, 0.29
243.0, 2.5253, 0.30
244.0, 2.5195, 0.30
245.0, 2.5126, 0.31
246.0, 2.5113, 0.31
247.0, 2.5072, 0.31
248.0, 2.4947, 0.32
249.0, 2.4889, 0.32
250.0, 2.4830, 0.33
251.0, 2.4700, 0.34
252.0, 2.4665, 0.34
253.0, 2.4556, 0.35
254.0, 2.4438, 0.36
255.0, 2.4346, 0.37
256.0, 2.4272, 0.37
257.0, 2.4198, 0.38
258.0, 2.4170, 0.38
259.0, 2.3956, 0.40
260.0, 2.3929, 0.40
261.0, 2.3766, 0.42
262.0, 2.3743, 0.42
263.0, 2.3607, 0.44
264.0, 2.3450, 0.45
265.0, 2.3390, 0.46
266.0, 2.3250, 0.47
267.0, 2.3255, 0.47
268.0, 2.3152, 0.48
269.0, 2.3049, 0.50
270.0, 2.2946, 0.51
271.0, 2.2838, 0.52
272.0, 2.2931, 0.51
273.0, 2.2813, 0.52
274.0, 2.2767, 0.53
275.0, 2.2693, 0.54
276.0, 2.2578, 0.55
277.0, 2.2488, 0.56
278.0, 2.2441, 0.57
279.0, 2.2445, 0.57
280.0, 2.2426, 0.57
281.0, 2.2399, 0.58
282.0, 2.2445, 0.57
283.0, 2.2349, 0.58
284.0, 2.2236, 0.60
285.0, 2.2160, 0.61
286.0, 2.2132, 0.61
287.0, 2.2078, 0.62
288.0, 2.2023, 0.63
289.0, 2.2018, 0.63
290.0, 2.1939, 0.64
291.0, 2.1942, 0.64
292.0, 2.1888, 0.65
293.0, 2.1839, 0.65
294.0, 2.1782, 0.66
295.0, 2.1503, 0.71
296.0, 2.0886, 0.82
297.0, 1.9964, 1.01
298.0, 1.9358, 1.16
299.0, 1.6176, 2.41
300.0, 1.4234, 3.77
301.0, 1.2525, 5.59
302.0, 1.1019, 7.91
303.0, 0.9663, 10.81
304.0, 0.8559, 13.93
305.0, 0.7598, 17.39
306.0, 0.6727, 21.25
307.0, 0.5990, 25.18
308.0, 0.5441, 28.57
309.0, 0.4993, 31.67
310.0, 0.4636, 34.39
311.0, 0.4344, 36.78
312.0, 0.4114, 38.78
313.0, 0.3938, 40.38
314.0, 0.3802, 41.67
315.0, 0.3690, 42.75
316.0, 0.3601, 43.64
317.0, 0.3519, 44.47
318.0, 0.3445, 45.24
319.0, 0.3381, 45.91
320.0, 0.3326, 46.49
321.0, 0.3279, 47.00
322.0, 0.3238, 47.45
323.0, 0.3199, 47.87
324.0, 0.3162, 48.28
325.0, 0.3129, 48.66
326.0, 0.3098, 49.00
327.0, 0.3065, 49.37
328.0, 0.3037, 49.70
329.0, 0.3010, 50.00
330.0, 0.2994, 50.19
331.0, 0.2946, 50.74
332.0, 0.2916, 51.10
333.0, 0.2886, 51.45
334.0, 0.2861, 51.74
335.0, 0.2831, 52.11
336.0, 0.2805, 52.42
337.0, 0.2779, 52.74
338.0, 0.2755, 53.03
339.0, 0.2738, 53.24
340.0, 0.2659, 54.21
341.0, 0.2636, 54.50
342.0, 0.2609, 54.84
343.0, 0.2586, 55.13
344.0, 0.2563, 55.43
345.0, 0.2537, 55.76
346.0, 0.2515, 56.04
347.0, 0.2493, 56.32
348.0, 0.2470, 56.62
349.0, 0.2448, 56.91
350.0, 0.2432, 57.13
351.0, 0.2405, 57.48
352.0, 0.2388, 57.71
353.0, 0.2367, 57.99
354.0, 0.2343, 58.30
355.0, 0.2320, 58.62
356.0, 0.2295, 58.95
357.0, 0.2277, 59.20
358.0, 0.2253, 59.53
359.0, 0.2230, 59.84
360.0, 0.2213, 60.07
361.0, 0.2188, 60.42
362.0, 0.2169, 60.68
363.0, 0.2150, 60.95
364.0, 0.2128, 61.27
365.0, 0.2104, 61.61
366.0, 0.2085, 61.87
367.0, 0.2062, 62.20
368.0, 0.2039, 62.53
369.0, 0.2020, 62.81
370.0, 0.2011, 62.93
371.0, 0.1988, 63.28
372.0, 0.1967, 63.58
373.0, 0.1949, 63.84
374.0, 0.1933, 64.08
375.0, 0.1916, 64.33
376.0, 0.1899, 64.57
377.0, 0.1881, 64.84
