Sample Name, Sample-47
Time, February 06 11:12:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0248, 9.44
301.0, 0.9477, 11.28
302.0, 0.8736, 13.38
303.0, 0.8108, 15.46
304.0, 0.7568, 17.51
305.0, 0.7059, 19.68
306.0, 0.6583, 21.96
307.0, 0.6184, 24.08
308.0, 0.5857, 25.96
309.0, 0.5598, 27.56
310.0, 0.5382, 28.96
311.0, 0.5198, 30.21
312.0, 0.5048, 31.28
313.0, 0.4934, 32.11
314.0, 0.4835, 32.85
315.0, 0.4751, 33.49
316.0, 0.4678, 34.06
317.0, 0.4606, 34.62
318.0, 0.4540, 35.16
319.0, 0.4479, 35.65
320.0, 0.4423, 36.12
321.0, 0.4373, 36.53
322.0, 0.4324, 36.95
323.0, 0.4275, 37.37
324.0, 0.4228, 37.77
325.0, 0.4184, 38.16
326.0, 0.4143, 38.52
327.0, 0.4104, 38.86
328.0, 0.4067, 39.20
329.0, 0.4030, 39.53
330.0, 0.4007, 39.74
331.0, 0.3941, 40.36
332.0, 0.3899, 40.74
333.0, 0.3860, 41.12
334.0, 0.3820, 41.50
335.0, 0.3778, 41.90
336.0, 0.3736, 42.30
337.0, 0.3699, 42.66
338.0, 0.3666, 42.99
339.0, 0.3637, 43.28
340.0, 0.3275, 47.05
341.0, 0.3263, 47.18
342.0, 0.3239, 47.43
343.0, 0.3220, 47.65
344.0, 0.3206, 47.80
345.0, 0.3186, 48.02
346.0, 0.3168, 48.22
347.0, 0.3149, 48.43
348.0, 0.3136, 48.57
349.0, 0.3120, 48.75
350.0, 0.3101, 48.97
351.0, 0.3088, 49.11
352.0, 0.3075, 49.26
353.0, 0.3053, 49.52
354.0, 0.3028, 49.80
355.0, 0.3004, 50.07
356.0, 0.2976, 50.40
357.0, 0.2949, 50.71
358.0, 0.2921, 51.04
359.0, 0.2892, 51.39
360.0, 0.2868, 51.66
361.0, 0.2835, 52.05
362.0, 0.2810, 52.36
363.0, 0.2788, 52.63
364.0, 0.2761, 52.96
365.0, 0.2732, 53.30
366.0, 0.2699, 53.72
367.0, 0.2667, 54.12
368.0, 0.2629, 54.59
369.0, 0.2593, 55.05
370.0, 0.2581, 55.20
371.0, 0.2632, 54.56
372.0, 0.2606, 54.87
373.0, 0.2585, 55.15
374.0, 0.2566, 55.38
375.0, 0.2546, 55.64
376.0, 0.2526, 55.89
377.0, 0.2506, 56.15
378.0, 0.2484, 56.45
379.0, 0.2461, 56.74
380.0, 0.2440, 57.02
381.0, 0.2416, 57.33
382.0, 0.2399, 57.56
383.0, 0.2380, 57.82
384.0, 0.2369, 57.96
385.0, 0.2334, 58.42
386.0, 0.2316, 58.66
387.0, 0.2298, 58.91
388.0, 0.2282, 59.13
389.0, 0.2259, 59.44
390.0, 0.2241, 59.69
391.0, 0.2221, 59.97
392.0, 0.2201, 60.24
393.0, 0.2183, 60.50
394.0, 0.2160, 60.81
395.0, 0.2142, 61.07
396.0, 0.2123, 61.33
397.0, 0.2103, 61.62
398.0, 0.2085, 61.87
399.0, 0.2069, 62.10
400.0, 0.2053, 62.33
401.0, 0.2033, 62.61
402.0, 0.2015, 62.88
403.0, 0.1997, 63.14
404.0, 0.1979, 63.40
405.0, 0.1963, 63.64
406.0, 0.1945, 63.90
407.0, 0.1927, 64.16
408.0, 0.1911, 64.41
409.0, 0.1896, 64.63
410.0, 0.1878, 64.89
411.0, 0.1865, 65.09
412.0, 0.1849, 65.33
413.0, 0.1834, 65.55
414.0, 0.1817, 65.81
415.0, 0.1802, 66.04
416.0, 0.1786, 66.28
417.0, 0.1772, 66.49
418.0, 0.1758, 66.72
419.0, 0.1741, 66.97
420.0, 0.1727, 67.19
421.0, 0.1713, 67.41
422.0, 0.1698, 67.63
423.0, 0.1686, 67.83
424.0, 0.1673, 68.03
425.0, 0.1660, 68.24
426.0, 0.1645, 68.47
427.0, 0.1630, 68.71
428.0, 0.1616, 68.92
429.0, 0.1604, 69.12
430.0, 0.1591, 69.33
431.0, 0.1578, 69.53
432.0, 0.1564, 69.75
433.0, 0.1552, 69.95
434.0, 0.1541, 70.13
435.0, 0.1530, 70.30
436.0, 0.1518, 70.50
437.0, 0.1507, 70.69
438.0, 0.1493, 70.90
439.0, 0.1481, 71.11
440.0, 0.1469, 71.30
441.0, 0.1457, 71.50
442.0, 0.1445, 71.70
443.0, 0.1432, 71.90
444.0, 0.1420, 72.11
445.0, 0.1407, 72.33
446.0, 0.1396, 72.52
447.0, 0.1385, 72.69
448.0, 0.1376, 72.84
449.0, 0.1368, 72.98
450.0, 0.1362, 73.08
