Sample Name, Sample-66
Time, February 13 18:38:35 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5028, 0.31
231.0, 2.5151, 0.31
232.0, 2.5232, 0.30
233.0, 2.5199, 0.30
234.0, 2.5244, 0.30
235.0, 2.5297, 0.30
236.0, 2.5389, 0.29
237.0, 2.5430, 0.29
238.0, 2.5309, 0.29
239.0, 2.5301, 0.30
240.0, 2.5310, 0.29
241.0, 2.5215, 0.30
242.0, 2.5251, 0.30
243.0, 2.5111, 0.31
244.0, 2.5146, 0.31
245.0, 2.5041, 0.31
246.0, 2.4999, 0.32
247.0, 2.4896, 0.32
248.0, 2.4829, 0.33
249.0, 2.4762, 0.33
250.0, 2.4737, 0.34
251.0, 2.4581, 0.35
252.0, 2.4533, 0.35
253.0, 2.4417, 0.36
254.0, 2.4284, 0.37
255.0, 2.4177, 0.38
256.0, 2.4119, 0.39
257.0, 2.4060, 0.39
258.0, 2.3976, 0.40
259.0, 2.3870, 0.41
260.0, 2.3761, 0.42
261.0, 2.3681, 0.43
262.0, 2.3621, 0.43
263.0, 2.3466, 0.45
264.0, 2.3330, 0.46
265.0, 2.3240, 0.47
266.0, 2.3179, 0.48
267.0, 2.3060, 0.49
268.0, 2.3071, 0.49
269.0, 2.2938, 0.51
270.0, 2.2858, 0.52
271.0, 2.2793, 0.53
272.0, 2.2754, 0.53
273.0, 2.2647, 0.54
274.0, 2.2488, 0.56
275.0, 2.2423, 0.57
276.0, 2.2322, 0.59
277.0, 2.2353, 0.58
278.0, 2.2236, 0.60
279.0, 2.2275, 0.59
280.0, 2.2216, 0.60
281.0, 2.2217, 0.60
282.0, 2.2135, 0.61
283.0, 2.2115, 0.61
284.0, 2.2041, 0.62
285.0, 2.2018, 0.63
286.0, 2.1987, 0.63
287.0, 2.1970, 0.64
288.0, 2.1887, 0.65
289.0, 2.1893, 0.65
290.0, 2.1889, 0.65
291.0, 2.1789, 0.66
292.0, 2.1741, 0.67
293.0, 2.1624, 0.69
294.0, 2.1487, 0.71
295.0, 2.0982, 0.80
296.0, 2.0220, 0.95
297.0, 1.9148, 1.22
298.0, 1.8423, 1.44
299.0, 1.5315, 2.94
300.0, 1.3486, 4.48
301.0, 1.1899, 6.46
302.0, 1.0540, 8.83
303.0, 0.9326, 11.68
304.0, 0.8326, 14.70
305.0, 0.7451, 17.99
306.0, 0.6681, 21.47
307.0, 0.6013, 25.04
308.0, 0.5518, 28.07
309.0, 0.5112, 30.82
310.0, 0.4788, 33.20
311.0, 0.4519, 35.32
312.0, 0.4308, 37.08
313.0, 0.4146, 38.49
314.0, 0.4021, 39.61
315.0, 0.3913, 40.62
316.0, 0.3827, 41.43
317.0, 0.3748, 42.19
318.0, 0.3673, 42.93
319.0, 0.3607, 43.58
320.0, 0.3552, 44.14
321.0, 0.3501, 44.66
322.0, 0.3457, 45.11
323.0, 0.3413, 45.57
324.0, 0.3370, 46.03
325.0, 0.3331, 46.44
326.0, 0.3298, 46.80
327.0, 0.3262, 47.19
328.0, 0.3231, 47.52
329.0, 0.3199, 47.88
330.0, 0.3178, 48.11
331.0, 0.3120, 48.76
332.0, 0.3084, 49.16
333.0, 0.3045, 49.60
334.0, 0.3014, 49.96
335.0, 0.2981, 50.34
336.0, 0.2949, 50.71
337.0, 0.2916, 51.10
338.0, 0.2889, 51.42
339.0, 0.2869, 51.66
340.0, 0.2771, 52.84
341.0, 0.2741, 53.20
342.0, 0.2711, 53.57
343.0, 0.2680, 53.95
344.0, 0.2649, 54.33
345.0, 0.2621, 54.69
346.0, 0.2595, 55.01
347.0, 0.2567, 55.37
348.0, 0.2537, 55.76
349.0, 0.2510, 56.10
350.0, 0.2490, 56.37
351.0, 0.2465, 56.70
352.0, 0.2438, 57.05
353.0, 0.2409, 57.42
354.0, 0.2379, 57.82
355.0, 0.2351, 58.20
356.0, 0.2322, 58.59
357.0, 0.2295, 58.95
358.0, 0.2267, 59.34
359.0, 0.2238, 59.74
360.0, 0.2211, 60.10
361.0, 0.2186, 60.46
362.0, 0.2161, 60.80
363.0, 0.2136, 61.15
364.0, 0.2110, 61.51
365.0, 0.2083, 61.90
366.0, 0.2059, 62.25
367.0, 0.2033, 62.62
368.0, 0.2008, 62.98
369.0, 0.1981, 63.38
370.0, 0.1963, 63.64
371.0, 0.1944, 63.91
372.0, 0.1920, 64.27
373.0, 0.1896, 64.62
374.0, 0.1876, 64.92
375.0, 0.1855, 65.23
376.0, 0.1836, 65.53
377.0, 0.1815, 65.84
378.0, 0.1792, 66.19
379.0, 0.1769, 66.54
380.0, 0.1745, 66.91
381.0, 0.1723, 67.24
382.0, 0.1700, 67.61
383.0, 0.1682, 67.90
384.0, 0.1670, 68.08
385.0, 0.1642, 68.51
386.0, 0.1621, 68.85
387.0, 0.1602, 69.16
388.0, 0.1584, 69.44
389.0, 0.1565, 69.75
390.0, 0.1545, 70.07
391.0, 0.1524, 70.41
392.0, 0.1507, 70.68
393.0, 0.1488, 70.99
394.0, 0.1468, 71.32
395.0, 0.1451, 71.60
396.0, 0.1433, 71.90
397.0, 0.1416, 72.18
398.0, 0.1399, 72.46
399.0, 0.1384, 72.71
400.0, 0.1368, 72.97
401.0, 0.1352, 73.24
402.0, 0.1336, 73.51
403.0, 0.1321, 73.77
404.0, 0.1305, 74.04
405.0, 0.1292, 74.27
406.0, 0.1274, 74.58
407.0, 0.1258, 74.86
408.0, 0.1245, 75.08
409.0, 0.1230, 75.33
410.0, 0.1218, 75.55
411.0, 0.1204, 75.78
412.0, 0.1192, 75.99
413.0, 0.1179, 76.23
414.0, 0.1164, 76.49
415.0, 0.1152, 76.70
416.0, 0.1139, 76.93
417.0, 0.1127, 77.15
418.0, 0.1114, 77.38
419.0, 0.1100, 77.62
420.0, 0.1088, 77.84
421.0, 0.1076, 78.06
422.0, 0.1066, 78.24
423.0, 0.1055, 78.43
424.0, 0.1044, 78.63
425.0, 0.1034, 78.81
426.0, 0.1022, 79.02
427.0, 0.1012, 79.22
428.0, 0.1000, 79.44
429.0, 0.0990, 79.61
430.0, 0.0980, 79.81
431.0, 0.0967, 80.03
432.0, 0.0958, 80.20
433.0, 0.0948, 80.39
434.0, 0.0938, 80.57
435.0, 0.0930, 80.72
436.0, 0.0922, 80.87
437.0, 0.0911, 81.08
438.0, 0.0901, 81.26
439.0, 0.0892, 81.44
440.0, 0.0882, 81.63
441.0, 0.0873, 81.80
442.0, 0.0865, 81.94
443.0, 0.0856, 82.11
444.0, 0.0845, 82.32
445.0, 0.0836, 82.50
446.0, 0.0828, 82.63
447.0, 0.0819, 82.81
448.0, 0.0813, 82.93
449.0, 0.0805, 83.09
450.0, 0.0802, 83.14
451.0, 0.0787, 83.43
452.0, 0.0778, 83.60
453.0, 0.0770, 83.75
454.0, 0.0762, 83.91
455.0, 0.0755, 84.04
456.0, 0.0747, 84.20
457.0, 0.0741, 84.31
458.0, 0.0734, 84.46
459.0, 0.0728, 84.57
460.0, 0.0721, 84.71
461.0, 0.0714, 84.85
462.0, 0.0706, 85.00
463.0, 0.0701, 85.10
464.0, 0.0693, 85.24
465.0, 0.0687, 85.36
466.0, 0.0681, 85.49
467.0, 0.0675, 85.60
468.0, 0.0668, 85.75
469.0, 0.0662, 85.87
470.0, 0.0657, 85.96
471.0, 0.0652, 86.06
472.0, 0.0646, 86.18
473.0, 0.0639, 86.31
474.0, 0.0633, 86.43
475.0, 0.0630, 86.50
476.0, 0.0619, 86.72
477.0, 0.0613, 86.84
478.0, 0.0607, 86.96
479.0, 0.0601, 87.07
480.0, 0.0595, 87.20
481.0, 0.0590, 87.29
482.0, 0.0583, 87.43
483.0, 0.0579, 87.51
484.0, 0.0574, 87.62
485.0, 0.0569, 87.72
486.0, 0.0565, 87.81
487.0, 0.0559, 87.93
488.0, 0.0553, 88.04
489.0, 0.0547, 88.16
490.0, 0.0541, 88.30
491.0, 0.0536, 88.39
492.0, 0.0531, 88.49
493.0, 0.0528, 88.55
494.0, 0.0523, 88.65
495.0, 0.0519, 88.74
496.0, 0.0514, 88.84
497.0, 0.0511, 88.90
498.0, 0.0505, 89.03
499.0, 0.0501, 89.10
500.0, 0.0496, 89.21
501.0, 0.0492, 89.29
502.0, 0.0486, 89.40
