Sample Name, Sample-59
Time, February 06 11:28:50 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.8963, 12.70
301.0, 0.8111, 15.45
302.0, 0.7335, 18.47
303.0, 0.6668, 21.54
304.0, 0.6115, 24.46
305.0, 0.5601, 27.53
306.0, 0.5107, 30.85
307.0, 0.4718, 33.74
308.0, 0.4395, 36.35
309.0, 0.4139, 38.56
310.0, 0.3933, 40.43
311.0, 0.3757, 42.11
312.0, 0.3615, 43.50
313.0, 0.3509, 44.58
314.0, 0.3420, 45.50
315.0, 0.3346, 46.28
316.0, 0.3286, 46.93
317.0, 0.3227, 47.57
318.0, 0.3173, 48.16
319.0, 0.3126, 48.69
320.0, 0.3076, 49.25
321.0, 0.3036, 49.71
322.0, 0.2998, 50.14
323.0, 0.2961, 50.57
324.0, 0.2925, 50.99
325.0, 0.2893, 51.37
326.0, 0.2863, 51.72
327.0, 0.2833, 52.09
328.0, 0.2804, 52.44
329.0, 0.2776, 52.78
330.0, 0.2759, 52.98
331.0, 0.2710, 53.58
332.0, 0.2680, 53.95
333.0, 0.2651, 54.31
334.0, 0.2622, 54.68
335.0, 0.2593, 55.05
336.0, 0.2563, 55.42
337.0, 0.2538, 55.75
338.0, 0.2514, 56.06
339.0, 0.2494, 56.31
340.0, 0.2294, 58.97
341.0, 0.2281, 59.15
342.0, 0.2263, 59.39
343.0, 0.2245, 59.63
344.0, 0.2235, 59.78
345.0, 0.2215, 60.05
346.0, 0.2201, 60.24
347.0, 0.2188, 60.43
348.0, 0.2175, 60.61
349.0, 0.2160, 60.82
350.0, 0.2144, 61.03
351.0, 0.2135, 61.16
352.0, 0.2122, 61.35
353.0, 0.2100, 61.66
354.0, 0.2086, 61.86
355.0, 0.2065, 62.16
356.0, 0.2048, 62.40
357.0, 0.2034, 62.60
358.0, 0.2011, 62.94
359.0, 0.1992, 63.22
360.0, 0.1970, 63.53
361.0, 0.1950, 63.82
362.0, 0.1931, 64.10
363.0, 0.1919, 64.29
364.0, 0.1900, 64.56
365.0, 0.1881, 64.86
366.0, 0.1860, 65.16
367.0, 0.1841, 65.45
368.0, 0.1815, 65.85
369.0, 0.1793, 66.17
370.0, 0.1783, 66.33
371.0, 0.1792, 66.19
372.0, 0.1772, 66.50
373.0, 0.1757, 66.73
374.0, 0.1741, 66.97
375.0, 0.1726, 67.20
376.0, 0.1713, 67.41
377.0, 0.1695, 67.68
378.0, 0.1678, 67.96
379.0, 0.1661, 68.21
380.0, 0.1647, 68.44
381.0, 0.1630, 68.70
382.0, 0.1616, 68.93
383.0, 0.1601, 69.16
384.0, 0.1594, 69.27
385.0, 0.1570, 69.66
386.0, 0.1557, 69.87
387.0, 0.1541, 70.12
388.0, 0.1529, 70.32
389.0, 0.1514, 70.56
390.0, 0.1499, 70.81
391.0, 0.1483, 71.08
392.0, 0.1469, 71.31
393.0, 0.1456, 71.52
394.0, 0.1440, 71.78
395.0, 0.1425, 72.03
396.0, 0.1413, 72.22
397.0, 0.1400, 72.44
398.0, 0.1387, 72.66
399.0, 0.1376, 72.85
400.0, 0.1364, 73.04
401.0, 0.1351, 73.27
402.0, 0.1337, 73.50
403.0, 0.1325, 73.71
404.0, 0.1313, 73.91
405.0, 0.1301, 74.11
406.0, 0.1287, 74.35
407.0, 0.1276, 74.54
408.0, 0.1266, 74.71
409.0, 0.1255, 74.90
410.0, 0.1243, 75.11
411.0, 0.1234, 75.26
412.0, 0.1224, 75.45
413.0, 0.1214, 75.61
414.0, 0.1202, 75.82
415.0, 0.1193, 75.97
416.0, 0.1182, 76.17
417.0, 0.1172, 76.36
418.0, 0.1161, 76.53
419.0, 0.1152, 76.71
420.0, 0.1143, 76.86
421.0, 0.1132, 77.05
422.0, 0.1123, 77.21
423.0, 0.1115, 77.36
424.0, 0.1105, 77.53
425.0, 0.1097, 77.68
426.0, 0.1087, 77.86
427.0, 0.1077, 78.03
428.0, 0.1068, 78.19
429.0, 0.1059, 78.36
430.0, 0.1052, 78.50
431.0, 0.1043, 78.64
432.0, 0.1034, 78.81
433.0, 0.1025, 78.97
434.0, 0.1018, 79.11
435.0, 0.1011, 79.24
436.0, 0.1003, 79.37
437.0, 0.0994, 79.54
438.0, 0.0985, 79.71
439.0, 0.0978, 79.84
440.0, 0.0971, 79.97
441.0, 0.0962, 80.13
442.0, 0.0955, 80.25
443.0, 0.0948, 80.38
444.0, 0.0941, 80.53
445.0, 0.0933, 80.67
446.0, 0.0926, 80.79
447.0, 0.0920, 80.90
448.0, 0.0915, 81.00
449.0, 0.0910, 81.10
450.0, 0.0906, 81.17
