Sample Name, Sample-82
Time, February 06 11:59:24 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.8324, 14.71
301.0, 0.7412, 18.15
302.0, 0.6587, 21.95
303.0, 0.5895, 25.74
304.0, 0.5315, 29.41
305.0, 0.4775, 33.30
306.0, 0.4278, 37.35
307.0, 0.3877, 40.95
308.0, 0.3547, 44.19
309.0, 0.3291, 46.87
310.0, 0.3079, 49.22
311.0, 0.2909, 51.18
312.0, 0.2771, 52.83
313.0, 0.2665, 54.14
314.0, 0.2580, 55.21
315.0, 0.2512, 56.09
316.0, 0.2454, 56.84
317.0, 0.2401, 57.53
318.0, 0.2351, 58.19
319.0, 0.2310, 58.74
320.0, 0.2270, 59.30
321.0, 0.2238, 59.74
322.0, 0.2210, 60.12
323.0, 0.2180, 60.54
324.0, 0.2152, 60.92
325.0, 0.2126, 61.28
326.0, 0.2105, 61.59
327.0, 0.2083, 61.90
328.0, 0.2061, 62.21
329.0, 0.2040, 62.51
330.0, 0.2027, 62.71
331.0, 0.1990, 63.24
332.0, 0.1965, 63.61
333.0, 0.1945, 63.91
334.0, 0.1924, 64.21
335.0, 0.1902, 64.54
336.0, 0.1877, 64.91
337.0, 0.1860, 65.17
338.0, 0.1843, 65.42
339.0, 0.1829, 65.64
340.0, 0.1707, 67.51
341.0, 0.1695, 67.69
342.0, 0.1683, 67.87
343.0, 0.1669, 68.09
344.0, 0.1655, 68.31
345.0, 0.1639, 68.57
346.0, 0.1628, 68.73
347.0, 0.1618, 68.90
348.0, 0.1605, 69.11
349.0, 0.1593, 69.29
350.0, 0.1581, 69.48
351.0, 0.1570, 69.66
352.0, 0.1556, 69.88
353.0, 0.1540, 70.14
354.0, 0.1525, 70.39
355.0, 0.1509, 70.65
356.0, 0.1496, 70.87
357.0, 0.1482, 71.10
358.0, 0.1462, 71.41
359.0, 0.1445, 71.69
360.0, 0.1431, 71.92
361.0, 0.1415, 72.19
362.0, 0.1401, 72.43
363.0, 0.1392, 72.57
364.0, 0.1380, 72.78
365.0, 0.1363, 73.06
366.0, 0.1346, 73.34
367.0, 0.1336, 73.52
368.0, 0.1319, 73.80
369.0, 0.1303, 74.08
370.0, 0.1295, 74.21
371.0, 0.1284, 74.40
372.0, 0.1267, 74.69
373.0, 0.1258, 74.86
374.0, 0.1244, 75.09
375.0, 0.1232, 75.31
376.0, 0.1221, 75.50
377.0, 0.1207, 75.74
378.0, 0.1193, 75.98
379.0, 0.1179, 76.23
380.0, 0.1169, 76.40
381.0, 0.1155, 76.65
382.0, 0.1145, 76.82
383.0, 0.1133, 77.03
384.0, 0.1128, 77.12
385.0, 0.1108, 77.48
386.0, 0.1097, 77.68
387.0, 0.1087, 77.86
388.0, 0.1079, 78.01
389.0, 0.1068, 78.20
390.0, 0.1055, 78.44
391.0, 0.1044, 78.63
392.0, 0.1032, 78.84
393.0, 0.1023, 79.01
394.0, 0.1013, 79.20
395.0, 0.1003, 79.38
396.0, 0.0994, 79.53
397.0, 0.0984, 79.73
398.0, 0.0974, 79.90
399.0, 0.0967, 80.04
400.0, 0.0957, 80.23
401.0, 0.0947, 80.41
402.0, 0.0937, 80.59
403.0, 0.0929, 80.75
404.0, 0.0920, 80.91
405.0, 0.0913, 81.04
406.0, 0.0903, 81.23
407.0, 0.0894, 81.40
408.0, 0.0887, 81.53
409.0, 0.0881, 81.64
410.0, 0.0871, 81.84
411.0, 0.0863, 81.97
412.0, 0.0857, 82.09
413.0, 0.0849, 82.24
414.0, 0.0843, 82.36
415.0, 0.0836, 82.49
416.0, 0.0828, 82.64
417.0, 0.0822, 82.76
418.0, 0.0815, 82.89
419.0, 0.0807, 83.04
420.0, 0.0801, 83.16
421.0, 0.0794, 83.29
422.0, 0.0788, 83.41
423.0, 0.0783, 83.50
424.0, 0.0776, 83.64
425.0, 0.0770, 83.75
426.0, 0.0763, 83.88
427.0, 0.0758, 83.99
428.0, 0.0753, 84.09
429.0, 0.0748, 84.17
430.0, 0.0743, 84.27
431.0, 0.0738, 84.37
432.0, 0.0732, 84.49
433.0, 0.0727, 84.58
434.0, 0.0722, 84.69
435.0, 0.0717, 84.78
436.0, 0.0713, 84.87
437.0, 0.0708, 84.96
438.0, 0.0703, 85.06
439.0, 0.0698, 85.16
440.0, 0.0693, 85.25
441.0, 0.0688, 85.35
442.0, 0.0683, 85.44
443.0, 0.0678, 85.54
444.0, 0.0674, 85.62
445.0, 0.0668, 85.75
446.0, 0.0663, 85.85
447.0, 0.0661, 85.89
448.0, 0.0657, 85.96
449.0, 0.0655, 86.01
450.0, 0.0653, 86.05
