Sample Name, Sample-85
Time, February 06 12:03:01 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.8680, 13.55
301.0, 0.7800, 16.60
302.0, 0.6976, 20.06
303.0, 0.6272, 23.59
304.0, 0.5692, 26.97
305.0, 0.5148, 30.57
306.0, 0.4636, 34.38
307.0, 0.4227, 37.78
308.0, 0.3890, 40.83
309.0, 0.3628, 43.37
310.0, 0.3413, 45.58
311.0, 0.3237, 47.46
312.0, 0.3095, 49.04
313.0, 0.2988, 50.26
314.0, 0.2899, 51.30
315.0, 0.2827, 52.15
316.0, 0.2769, 52.86
317.0, 0.2713, 53.55
318.0, 0.2659, 54.22
319.0, 0.2614, 54.78
320.0, 0.2572, 55.31
321.0, 0.2536, 55.76
322.0, 0.2505, 56.16
323.0, 0.2471, 56.61
324.0, 0.2440, 57.02
325.0, 0.2411, 57.40
326.0, 0.2385, 57.75
327.0, 0.2358, 58.11
328.0, 0.2333, 58.44
329.0, 0.2311, 58.74
330.0, 0.2296, 58.94
331.0, 0.2249, 59.58
332.0, 0.2223, 59.94
333.0, 0.2198, 60.29
334.0, 0.2173, 60.63
335.0, 0.2147, 60.99
336.0, 0.2121, 61.36
337.0, 0.2098, 61.69
338.0, 0.2080, 61.94
339.0, 0.2063, 62.19
340.0, 0.1910, 64.42
341.0, 0.1896, 64.63
342.0, 0.1878, 64.90
343.0, 0.1864, 65.10
344.0, 0.1852, 65.28
345.0, 0.1835, 65.55
346.0, 0.1821, 65.75
347.0, 0.1807, 65.97
348.0, 0.1794, 66.16
349.0, 0.1780, 66.38
350.0, 0.1764, 66.63
351.0, 0.1753, 66.80
352.0, 0.1744, 66.93
353.0, 0.1724, 67.23
354.0, 0.1708, 67.48
355.0, 0.1690, 67.76
356.0, 0.1673, 68.03
357.0, 0.1657, 68.27
358.0, 0.1637, 68.59
359.0, 0.1620, 68.86
360.0, 0.1605, 69.11
361.0, 0.1589, 69.35
362.0, 0.1572, 69.63
363.0, 0.1560, 69.82
364.0, 0.1543, 70.09
365.0, 0.1525, 70.39
366.0, 0.1509, 70.64
367.0, 0.1494, 70.90
368.0, 0.1475, 71.21
369.0, 0.1455, 71.53
370.0, 0.1449, 71.63
371.0, 0.1448, 71.65
372.0, 0.1430, 71.95
373.0, 0.1416, 72.18
374.0, 0.1406, 72.35
375.0, 0.1391, 72.59
376.0, 0.1378, 72.81
377.0, 0.1366, 73.01
378.0, 0.1352, 73.26
379.0, 0.1338, 73.48
380.0, 0.1324, 73.72
381.0, 0.1310, 73.96
382.0, 0.1300, 74.13
383.0, 0.1287, 74.36
384.0, 0.1281, 74.46
385.0, 0.1262, 74.77
386.0, 0.1251, 74.97
387.0, 0.1240, 75.17
388.0, 0.1230, 75.34
389.0, 0.1216, 75.57
390.0, 0.1206, 75.76
391.0, 0.1194, 75.96
392.0, 0.1181, 76.18
393.0, 0.1170, 76.38
394.0, 0.1158, 76.59
395.0, 0.1147, 76.79
396.0, 0.1138, 76.96
397.0, 0.1124, 77.20
398.0, 0.1116, 77.34
399.0, 0.1108, 77.48
400.0, 0.1098, 77.67
401.0, 0.1088, 77.85
402.0, 0.1076, 78.06
403.0, 0.1066, 78.23
404.0, 0.1059, 78.36
405.0, 0.1049, 78.54
406.0, 0.1038, 78.74
407.0, 0.1028, 78.93
408.0, 0.1019, 79.09
409.0, 0.1012, 79.21
410.0, 0.1002, 79.40
411.0, 0.0994, 79.54
412.0, 0.0987, 79.66
413.0, 0.0979, 79.82
414.0, 0.0971, 79.97
415.0, 0.0963, 80.11
416.0, 0.0955, 80.27
417.0, 0.0948, 80.39
418.0, 0.0941, 80.52
419.0, 0.0932, 80.68
420.0, 0.0927, 80.79
421.0, 0.0918, 80.94
422.0, 0.0911, 81.07
423.0, 0.0905, 81.19
424.0, 0.0899, 81.30
425.0, 0.0892, 81.43
426.0, 0.0884, 81.58
427.0, 0.0878, 81.70
428.0, 0.0871, 81.83
429.0, 0.0865, 81.94
430.0, 0.0859, 82.06
431.0, 0.0852, 82.18
432.0, 0.0845, 82.32
433.0, 0.0839, 82.43
434.0, 0.0834, 82.53
435.0, 0.0829, 82.62
436.0, 0.0824, 82.72
437.0, 0.0819, 82.82
438.0, 0.0813, 82.93
439.0, 0.0807, 83.05
440.0, 0.0801, 83.15
441.0, 0.0796, 83.25
442.0, 0.0791, 83.34
443.0, 0.0785, 83.47
444.0, 0.0780, 83.56
445.0, 0.0777, 83.63
446.0, 0.0773, 83.70
447.0, 0.0769, 83.78
448.0, 0.0764, 83.86
449.0, 0.0761, 83.93
450.0, 0.0759, 83.96
