Sample Name, Sample-62
Time, February 13 18:31:29 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5052, 0.31
231.0, 2.5107, 0.31
232.0, 2.5025, 0.31
233.0, 2.5097, 0.31
234.0, 2.5165, 0.30
235.0, 2.5215, 0.30
236.0, 2.5182, 0.30
237.0, 2.5255, 0.30
238.0, 2.5313, 0.29
239.0, 2.5311, 0.29
240.0, 2.5280, 0.30
241.0, 2.5226, 0.30
242.0, 2.5075, 0.31
243.0, 2.5036, 0.31
244.0, 2.5048, 0.31
245.0, 2.4970, 0.32
246.0, 2.4878, 0.33
247.0, 2.4769, 0.33
248.0, 2.4700, 0.34
249.0, 2.4712, 0.34
250.0, 2.4665, 0.34
251.0, 2.4532, 0.35
252.0, 2.4395, 0.36
253.0, 2.4311, 0.37
254.0, 2.4156, 0.38
255.0, 2.4134, 0.39
256.0, 2.4019, 0.40
257.0, 2.3950, 0.40
258.0, 2.3827, 0.41
259.0, 2.3759, 0.42
260.0, 2.3612, 0.44
261.0, 2.3565, 0.44
262.0, 2.3442, 0.45
263.0, 2.3414, 0.46
264.0, 2.3271, 0.47
265.0, 2.3180, 0.48
266.0, 2.3041, 0.50
267.0, 2.2940, 0.51
268.0, 2.2908, 0.51
269.0, 2.2867, 0.52
270.0, 2.2801, 0.52
271.0, 2.2709, 0.54
272.0, 2.2642, 0.54
273.0, 2.2560, 0.55
274.0, 2.2423, 0.57
275.0, 2.2389, 0.58
276.0, 2.2316, 0.59
277.0, 2.2290, 0.59
278.0, 2.2266, 0.59
279.0, 2.2263, 0.59
280.0, 2.2172, 0.61
281.0, 2.2199, 0.60
282.0, 2.2141, 0.61
283.0, 2.2092, 0.62
284.0, 2.2062, 0.62
285.0, 2.1981, 0.63
286.0, 2.1922, 0.64
287.0, 2.1952, 0.64
288.0, 2.1884, 0.65
289.0, 2.1832, 0.66
290.0, 2.1770, 0.67
291.0, 2.1768, 0.67
292.0, 2.1669, 0.68
293.0, 2.1568, 0.70
294.0, 2.1410, 0.72
295.0, 2.1013, 0.79
296.0, 2.0338, 0.93
297.0, 1.9305, 1.17
298.0, 1.8550, 1.40
299.0, 1.5225, 3.00
300.0, 1.3282, 4.70
301.0, 1.1584, 6.94
302.0, 1.0069, 9.84
303.0, 0.8758, 13.31
304.0, 0.7693, 17.01
305.0, 0.6734, 21.21
306.0, 0.5889, 25.77
307.0, 0.5180, 30.34
308.0, 0.4643, 34.34
309.0, 0.4215, 37.89
310.0, 0.3867, 41.05
311.0, 0.3583, 43.82
312.0, 0.3365, 46.08
313.0, 0.3199, 47.87
314.0, 0.3068, 49.34
315.0, 0.2962, 50.56
316.0, 0.2878, 51.55
317.0, 0.2800, 52.48
318.0, 0.2728, 53.36
319.0, 0.2670, 54.08
320.0, 0.2619, 54.72
321.0, 0.2574, 55.28
322.0, 0.2535, 55.78
323.0, 0.2499, 56.25
324.0, 0.2464, 56.71
325.0, 0.2431, 57.14
326.0, 0.2404, 57.49
327.0, 0.2378, 57.84
328.0, 0.2352, 58.19
329.0, 0.2328, 58.51
330.0, 0.2311, 58.73
331.0, 0.2269, 59.31
332.0, 0.2244, 59.65
333.0, 0.2216, 60.03
334.0, 0.2193, 60.36
335.0, 0.2168, 60.70
336.0, 0.2146, 61.01
337.0, 0.2126, 61.29
338.0, 0.2107, 61.56
339.0, 0.2092, 61.77
340.0, 0.2030, 62.67
341.0, 0.2012, 62.92
342.0, 0.1988, 63.26
343.0, 0.1970, 63.54
344.0, 0.1952, 63.80
345.0, 0.1934, 64.06
346.0, 0.1916, 64.33
347.0, 0.1895, 64.63
348.0, 0.1879, 64.88
349.0, 0.1862, 65.13
350.0, 0.1845, 65.39
351.0, 0.1827, 65.67
352.0, 0.1811, 65.89
353.0, 0.1795, 66.15
354.0, 0.1776, 66.43
355.0, 0.1758, 66.71
