Sample Name, Sample-73
Time, February 06 11:48:07 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9165, 12.12
301.0, 0.8381, 14.52
302.0, 0.7673, 17.09
303.0, 0.7060, 19.68
304.0, 0.6548, 22.14
305.0, 0.6071, 24.71
306.0, 0.5619, 27.42
307.0, 0.5249, 29.86
308.0, 0.4945, 32.03
309.0, 0.4702, 33.87
310.0, 0.4499, 35.49
311.0, 0.4332, 36.88
312.0, 0.4198, 38.04
313.0, 0.4089, 39.00
314.0, 0.4000, 39.81
315.0, 0.3926, 40.50
316.0, 0.3859, 41.12
317.0, 0.3798, 41.70
318.0, 0.3737, 42.30
319.0, 0.3684, 42.82
320.0, 0.3633, 43.32
321.0, 0.3586, 43.79
322.0, 0.3545, 44.21
323.0, 0.3500, 44.67
324.0, 0.3457, 45.11
325.0, 0.3420, 45.50
326.0, 0.3382, 45.90
327.0, 0.3349, 46.25
328.0, 0.3318, 46.58
329.0, 0.3283, 46.96
330.0, 0.3260, 47.20
331.0, 0.3205, 47.81
332.0, 0.3168, 48.22
333.0, 0.3136, 48.57
334.0, 0.3102, 48.96
335.0, 0.3066, 49.36
336.0, 0.3029, 49.79
337.0, 0.2999, 50.14
338.0, 0.2972, 50.45
339.0, 0.2946, 50.74
340.0, 0.2666, 54.12
341.0, 0.2653, 54.29
342.0, 0.2633, 54.54
343.0, 0.2623, 54.67
344.0, 0.2609, 54.84
345.0, 0.2589, 55.10
346.0, 0.2576, 55.26
347.0, 0.2564, 55.42
348.0, 0.2551, 55.58
349.0, 0.2535, 55.78
350.0, 0.2519, 55.99
351.0, 0.2509, 56.11
352.0, 0.2498, 56.26
353.0, 0.2481, 56.49
354.0, 0.2459, 56.76
355.0, 0.2439, 57.03
356.0, 0.2417, 57.32
357.0, 0.2394, 57.63
358.0, 0.2372, 57.91
359.0, 0.2351, 58.20
360.0, 0.2331, 58.47
361.0, 0.2307, 58.79
362.0, 0.2283, 59.12
363.0, 0.2267, 59.33
364.0, 0.2249, 59.58
365.0, 0.2221, 59.97
366.0, 0.2199, 60.26
367.0, 0.2173, 60.64
368.0, 0.2141, 61.08
369.0, 0.2112, 61.49
370.0, 0.2100, 61.67
371.0, 0.2135, 61.16
372.0, 0.2110, 61.52
373.0, 0.2092, 61.77
374.0, 0.2075, 62.01
375.0, 0.2058, 62.26
376.0, 0.2043, 62.47
377.0, 0.2026, 62.73
378.0, 0.2007, 62.99
379.0, 0.1989, 63.25
380.0, 0.1970, 63.53
381.0, 0.1951, 63.81
382.0, 0.1935, 64.05
383.0, 0.1918, 64.30
384.0, 0.1910, 64.42
385.0, 0.1879, 64.87
386.0, 0.1863, 65.12
387.0, 0.1849, 65.33
388.0, 0.1836, 65.52
389.0, 0.1819, 65.78
390.0, 0.1802, 66.04
391.0, 0.1785, 66.29
392.0, 0.1769, 66.54
393.0, 0.1752, 66.80
394.0, 0.1737, 67.04
395.0, 0.1721, 67.29
396.0, 0.1708, 67.49
397.0, 0.1690, 67.77
398.0, 0.1676, 67.98
399.0, 0.1664, 68.18
400.0, 0.1649, 68.41
401.0, 0.1634, 68.64
402.0, 0.1620, 68.87
403.0, 0.1605, 69.10
404.0, 0.1592, 69.31
405.0, 0.1579, 69.51
406.0, 0.1564, 69.75
407.0, 0.1552, 69.95
408.0, 0.1540, 70.14
409.0, 0.1530, 70.31
410.0, 0.1516, 70.54
411.0, 0.1506, 70.70
412.0, 0.1494, 70.89
413.0, 0.1482, 71.09
414.0, 0.1470, 71.28
415.0, 0.1459, 71.46
416.0, 0.1447, 71.67
417.0, 0.1435, 71.86
418.0, 0.1423, 72.05
419.0, 0.1410, 72.28
420.0, 0.1400, 72.45
421.0, 0.1389, 72.62
422.0, 0.1380, 72.79
423.0, 0.1370, 72.95
424.0, 0.1359, 73.14
425.0, 0.1350, 73.29
426.0, 0.1338, 73.48
427.0, 0.1327, 73.68
428.0, 0.1318, 73.83
429.0, 0.1308, 73.99
430.0, 0.1298, 74.17
431.0, 0.1288, 74.33
432.0, 0.1278, 74.52
433.0, 0.1269, 74.66
434.0, 0.1259, 74.83
435.0, 0.1251, 74.97
436.0, 0.1242, 75.13
437.0, 0.1233, 75.28
438.0, 0.1224, 75.45
439.0, 0.1215, 75.60
440.0, 0.1204, 75.79
441.0, 0.1196, 75.93
442.0, 0.1186, 76.11
443.0, 0.1178, 76.24
444.0, 0.1170, 76.38
445.0, 0.1162, 76.53
446.0, 0.1153, 76.68
447.0, 0.1146, 76.80
448.0, 0.1140, 76.91
449.0, 0.1134, 77.02
450.0, 0.1130, 77.09
