Sample Name, Sample-60
Time, February 13 18:27:52 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.4982, 0.32
231.0, 2.5020, 0.31
232.0, 2.5122, 0.31
233.0, 2.5168, 0.30
234.0, 2.5265, 0.30
235.0, 2.5261, 0.30
236.0, 2.5333, 0.29
237.0, 2.5279, 0.30
238.0, 2.5323, 0.29
239.0, 2.5288, 0.30
240.0, 2.5186, 0.30
241.0, 2.5216, 0.30
242.0, 2.5110, 0.31
243.0, 2.5088, 0.31
244.0, 2.4918, 0.32
245.0, 2.4898, 0.32
246.0, 2.4858, 0.33
247.0, 2.4739, 0.34
248.0, 2.4690, 0.34
249.0, 2.4741, 0.34
250.0, 2.4578, 0.35
251.0, 2.4474, 0.36
252.0, 2.4262, 0.37
253.0, 2.4346, 0.37
254.0, 2.4150, 0.38
255.0, 2.4142, 0.39
256.0, 2.4132, 0.39
257.0, 2.3960, 0.40
258.0, 2.3864, 0.41
259.0, 2.3758, 0.42
260.0, 2.3682, 0.43
261.0, 2.3595, 0.44
262.0, 2.3497, 0.45
263.0, 2.3340, 0.46
264.0, 2.3257, 0.47
265.0, 2.3100, 0.49
266.0, 2.3058, 0.49
267.0, 2.2951, 0.51
268.0, 2.2884, 0.51
269.0, 2.2876, 0.52
270.0, 2.2779, 0.53
271.0, 2.2639, 0.54
272.0, 2.2649, 0.54
273.0, 2.2561, 0.55
274.0, 2.2474, 0.57
275.0, 2.2383, 0.58
276.0, 2.2326, 0.59
277.0, 2.2300, 0.59
278.0, 2.2318, 0.59
279.0, 2.2225, 0.60
280.0, 2.2206, 0.60
281.0, 2.2150, 0.61
282.0, 2.2150, 0.61
283.0, 2.2063, 0.62
284.0, 2.2022, 0.63
285.0, 2.2010, 0.63
286.0, 2.1949, 0.64
287.0, 2.1880, 0.65
288.0, 2.1876, 0.65
289.0, 2.1810, 0.66
290.0, 2.1874, 0.65
291.0, 2.1758, 0.67
292.0, 2.1693, 0.68
293.0, 2.1644, 0.68
294.0, 2.1473, 0.71
295.0, 2.1144, 0.77
296.0, 2.0538, 0.88
297.0, 1.9622, 1.09
298.0, 1.8959, 1.27
