Sample Name, Sample-61
Time, February 13 18:29:21 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.4954, 0.32
231.0, 2.5007, 0.32
232.0, 2.5185, 0.30
233.0, 2.5086, 0.31
234.0, 2.5116, 0.31
235.0, 2.5201, 0.30
236.0, 2.5214, 0.30
237.0, 2.5287, 0.30
238.0, 2.5288, 0.30
239.0, 2.5273, 0.30
240.0, 2.5262, 0.30
241.0, 2.5148, 0.31
242.0, 2.5140, 0.31
243.0, 2.5185, 0.30
244.0, 2.5054, 0.31
245.0, 2.4891, 0.32
246.0, 2.4884, 0.32
247.0, 2.4767, 0.33
248.0, 2.4670, 0.34
249.0, 2.4589, 0.35
250.0, 2.4514, 0.35
251.0, 2.4416, 0.36
252.0, 2.4322, 0.37
253.0, 2.4361, 0.37
254.0, 2.4252, 0.38
255.0, 2.4070, 0.39
256.0, 2.3998, 0.40
257.0, 2.3983, 0.40
258.0, 2.3881, 0.41
259.0, 2.3718, 0.42
260.0, 2.3668, 0.43
261.0, 2.3588, 0.44
262.0, 2.3496, 0.45
263.0, 2.3357, 0.46
264.0, 2.3245, 0.47
265.0, 2.3140, 0.49
266.0, 2.3058, 0.49
267.0, 2.3011, 0.50
268.0, 2.2878, 0.52
269.0, 2.2783, 0.53
270.0, 2.2693, 0.54
271.0, 2.2616, 0.55
272.0, 2.2517, 0.56
273.0, 2.2535, 0.56
274.0, 2.2482, 0.56
275.0, 2.2381, 0.58
276.0, 2.2347, 0.58
277.0, 2.2329, 0.58
278.0, 2.2235, 0.60
279.0, 2.2223, 0.60
280.0, 2.2135, 0.61
281.0, 2.2088, 0.62
282.0, 2.2053, 0.62
283.0, 2.2017, 0.63
284.0, 2.1943, 0.64
285.0, 2.1909, 0.64
286.0, 2.1858, 0.65
287.0, 2.1882, 0.65
288.0, 2.1810, 0.66
289.0, 2.1754, 0.67
290.0, 2.1743, 0.67
291.0, 2.1680, 0.68
292.0, 2.1666, 0.68
293.0, 2.1565, 0.70
294.0, 2.1477, 0.71
295.0, 2.1121, 0.77
296.0, 2.0551, 0.88
297.0, 1.9685, 1.08
298.0, 1.9064, 1.24
299.0, 1.6081, 2.47
300.0, 1.4222, 3.78
301.0, 1.2539, 5.57
302.0, 1.1082, 7.80
303.0, 0.9792, 10.49
304.0, 0.8733, 13.39
305.0, 0.7787, 16.65
306.0, 0.6944, 20.21
307.0, 0.6240, 23.77
308.0, 0.5698, 26.93
309.0, 0.5267, 29.73
310.0, 0.4917, 32.23
311.0, 0.4628, 34.45
312.0, 0.4402, 36.29
313.0, 0.4226, 37.79
314.0, 0.4092, 38.97
315.0, 0.3980, 40.00
316.0, 0.3887, 40.86
317.0, 0.3803, 41.65
318.0, 0.3725, 42.41
319.0, 0.3660, 43.05
320.0, 0.3602, 43.63
321.0, 0.3551, 44.15
322.0, 0.3506, 44.60
323.0, 0.3462, 45.06
324.0, 0.3419, 45.51
325.0, 0.3379, 45.93
326.0, 0.3347, 46.27
327.0, 0.3313, 46.63
328.0, 0.3283, 46.96
329.0, 0.3253, 47.28
330.0, 0.3235, 47.48
331.0, 0.3183, 48.05
332.0, 0.3150, 48.41
333.0, 0.3118, 48.78
334.0, 0.3090, 49.09
335.0, 0.3059, 49.44
336.0, 0.3033, 49.74
337.0, 0.3008, 50.03
338.0, 0.2982, 50.33
339.0, 0.2963, 50.54
340.0, 0.2870, 51.64
341.0, 0.2853, 51.85
342.0, 0.2828, 52.14
343.0, 0.2806, 52.41
344.0, 0.2787, 52.64
345.0, 0.2762, 52.94
346.0, 0.2742, 53.19
347.0, 0.2719, 53.47
348.0, 0.2700, 53.70
349.0, 0.2680, 53.95
350.0, 0.2663, 54.16
351.0, 0.2641, 54.43
352.0, 0.2621, 54.69
353.0, 0.2600, 54.96
354.0, 0.2580, 55.21
355.0, 0.2557, 55.50
356.0, 0.2537, 55.76
357.0, 0.2519, 55.99
358.0, 0.2495, 56.30
359.0, 0.2471, 56.61
360.0, 0.2449, 56.90
361.0, 0.2428, 57.17
362.0, 0.2407, 57.45
363.0, 0.2385, 57.75
364.0, 0.2364, 58.02
365.0, 0.2339, 58.36
366.0, 0.2320, 58.61
367.0, 0.2297, 58.92
