Sample Name, Sample-89
Time, February 06 12:07:36 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.0255, 94.29
301.0, 0.0237, 94.69
302.0, 0.0223, 94.99
303.0, 0.0211, 95.25
304.0, 0.0201, 95.47
305.0, 0.0194, 95.62
306.0, 0.0186, 95.82
307.0, 0.0178, 95.98
308.0, 0.0173, 96.09
309.0, 0.0167, 96.23
310.0, 0.0165, 96.28
311.0, 0.0161, 96.36
312.0, 0.0158, 96.43
313.0, 0.0156, 96.47
314.0, 0.0155, 96.49
315.0, 0.0153, 96.54
316.0, 0.0151, 96.59
317.0, 0.0147, 96.67
318.0, 0.0148, 96.65
319.0, 0.0147, 96.66
320.0, 0.0146, 96.68
321.0, 0.0146, 96.70
322.0, 0.0144, 96.73
323.0, 0.0144, 96.74
324.0, 0.0142, 96.79
325.0, 0.0139, 96.84
326.0, 0.0140, 96.83
327.0, 0.0138, 96.87
328.0, 0.0139, 96.86
329.0, 0.0138, 96.88
330.0, 0.0138, 96.87
331.0, 0.0136, 96.91
332.0, 0.0136, 96.92
333.0, 0.0137, 96.90
334.0, 0.0136, 96.91
335.0, 0.0136, 96.91
336.0, 0.0135, 96.94
337.0, 0.0139, 96.85
338.0, 0.0140, 96.83
339.0, 0.0140, 96.84
340.0, 0.0220, 95.07
341.0, 0.0215, 95.18
342.0, 0.0212, 95.23
343.0, 0.0211, 95.26
344.0, 0.0208, 95.32
345.0, 0.0200, 95.50
346.0, 0.0201, 95.48
347.0, 0.0197, 95.58
348.0, 0.0193, 95.65
349.0, 0.0187, 95.79
350.0, 0.0187, 95.79
351.0, 0.0184, 95.84
352.0, 0.0184, 95.85
353.0, 0.0179, 95.97
354.0, 0.0177, 96.01
355.0, 0.0175, 96.05
356.0, 0.0174, 96.07
357.0, 0.0171, 96.14
358.0, 0.0171, 96.15
359.0, 0.0168, 96.21
360.0, 0.0167, 96.22
361.0, 0.0169, 96.19
362.0, 0.0168, 96.20
363.0, 0.0170, 96.15
364.0, 0.0173, 96.10
365.0, 0.0172, 96.11
366.0, 0.0177, 96.01
367.0, 0.0182, 95.89
368.0, 0.0186, 95.81
369.0, 0.0189, 95.73
370.0, 0.0195, 95.60
371.0, 0.0138, 96.88
372.0, 0.0134, 96.96
373.0, 0.0131, 97.04
374.0, 0.0129, 97.08
375.0, 0.0126, 97.15
376.0, 0.0123, 97.20
377.0, 0.0121, 97.25
378.0, 0.0118, 97.32
379.0, 0.0114, 97.40
380.0, 0.0111, 97.48
381.0, 0.0108, 97.54
382.0, 0.0107, 97.56
383.0, 0.0104, 97.63
384.0, 0.0102, 97.67
385.0, 0.0100, 97.73
386.0, 0.0098, 97.76
387.0, 0.0094, 97.86
388.0, 0.0095, 97.85
389.0, 0.0090, 97.94
390.0, 0.0089, 97.97
391.0, 0.0088, 98.00
392.0, 0.0086, 98.04
393.0, 0.0083, 98.10
394.0, 0.0082, 98.14
395.0, 0.0081, 98.15
396.0, 0.0081, 98.14
397.0, 0.0079, 98.20
398.0, 0.0077, 98.25
399.0, 0.0076, 98.26
400.0, 0.0075, 98.28
401.0, 0.0072, 98.36
402.0, 0.0071, 98.38
403.0, 0.0070, 98.41
404.0, 0.0070, 98.41
405.0, 0.0070, 98.41
406.0, 0.0067, 98.47
407.0, 0.0066, 98.50
408.0, 0.0066, 98.49
409.0, 0.0066, 98.50
410.0, 0.0064, 98.55
411.0, 0.0062, 98.59
412.0, 0.0061, 98.61
413.0, 0.0060, 98.64
414.0, 0.0059, 98.65
415.0, 0.0061, 98.61
416.0, 0.0059, 98.66
417.0, 0.0057, 98.69
418.0, 0.0058, 98.67
419.0, 0.0056, 98.71
420.0, 0.0057, 98.69
421.0, 0.0057, 98.71
422.0, 0.0057, 98.69
423.0, 0.0056, 98.73
424.0, 0.0056, 98.73
425.0, 0.0056, 98.73
426.0, 0.0054, 98.76
427.0, 0.0054, 98.75
428.0, 0.0055, 98.75
429.0, 0.0055, 98.74
430.0, 0.0055, 98.73
431.0, 0.0056, 98.72
432.0, 0.0057, 98.70
433.0, 0.0057, 98.70
434.0, 0.0056, 98.72
435.0, 0.0056, 98.73
436.0, 0.0054, 98.75
437.0, 0.0056, 98.72
438.0, 0.0057, 98.70
439.0, 0.0057, 98.69
440.0, 0.0058, 98.68
441.0, 0.0059, 98.65
442.0, 0.0058, 98.66
443.0, 0.0059, 98.65
444.0, 0.0061, 98.62
445.0, 0.0061, 98.61
446.0, 0.0062, 98.59
447.0, 0.0063, 98.57
448.0, 0.0066, 98.50
449.0, 0.0067, 98.48
450.0, 0.0066, 98.48
