Sample Name, Sample-90
Time, February 06 12:09:15 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.0402, 91.15
301.0, 0.0404, 91.11
302.0, 0.0407, 91.06
303.0, 0.0408, 91.03
304.0, 0.0408, 91.03
305.0, 0.0410, 90.99
306.0, 0.0412, 90.95
307.0, 0.0412, 90.95
308.0, 0.0413, 90.92
309.0, 0.0415, 90.88
310.0, 0.0417, 90.85
311.0, 0.0418, 90.83
312.0, 0.0420, 90.78
313.0, 0.0422, 90.73
314.0, 0.0423, 90.72
315.0, 0.0426, 90.65
316.0, 0.0429, 90.60
317.0, 0.0430, 90.57
318.0, 0.0434, 90.50
319.0, 0.0436, 90.45
320.0, 0.0437, 90.44
321.0, 0.0439, 90.38
322.0, 0.0441, 90.34
323.0, 0.0444, 90.27
324.0, 0.0445, 90.26
325.0, 0.0447, 90.21
326.0, 0.0448, 90.21
327.0, 0.0450, 90.16
328.0, 0.0451, 90.13
329.0, 0.0454, 90.07
330.0, 0.0456, 90.02
331.0, 0.0458, 89.99
332.0, 0.0457, 90.01
333.0, 0.0459, 89.96
334.0, 0.0461, 89.92
335.0, 0.0463, 89.89
336.0, 0.0464, 89.87
337.0, 0.0468, 89.79
338.0, 0.0472, 89.69
339.0, 0.0473, 89.68
340.0, 0.0383, 91.56
341.0, 0.0380, 91.62
342.0, 0.0378, 91.67
343.0, 0.0373, 91.77
344.0, 0.0375, 91.72
345.0, 0.0370, 91.84
346.0, 0.0373, 91.77
347.0, 0.0371, 91.81
348.0, 0.0374, 91.76
349.0, 0.0370, 91.84
350.0, 0.0371, 91.82
351.0, 0.0370, 91.83
352.0, 0.0370, 91.84
353.0, 0.0367, 91.89
354.0, 0.0366, 91.91
355.0, 0.0368, 91.88
356.0, 0.0369, 91.86
357.0, 0.0370, 91.84
358.0, 0.0370, 91.84
359.0, 0.0368, 91.88
360.0, 0.0369, 91.86
361.0, 0.0369, 91.84
362.0, 0.0371, 91.80
363.0, 0.0375, 91.73
364.0, 0.0377, 91.69
365.0, 0.0380, 91.62
366.0, 0.0385, 91.53
367.0, 0.0389, 91.43
368.0, 0.0393, 91.36
369.0, 0.0394, 91.32
370.0, 0.0398, 91.24
371.0, 0.0359, 92.06
372.0, 0.0356, 92.13
373.0, 0.0357, 92.11
374.0, 0.0356, 92.13
375.0, 0.0355, 92.16
376.0, 0.0354, 92.16
377.0, 0.0353, 92.20
378.0, 0.0353, 92.20
379.0, 0.0352, 92.22
380.0, 0.0348, 92.30
381.0, 0.0345, 92.37
382.0, 0.0345, 92.37
383.0, 0.0343, 92.41
384.0, 0.0344, 92.39
385.0, 0.0343, 92.42
386.0, 0.0343, 92.41
387.0, 0.0340, 92.46
388.0, 0.0341, 92.45
389.0, 0.0342, 92.43
390.0, 0.0342, 92.43
391.0, 0.0341, 92.45
392.0, 0.0340, 92.48
393.0, 0.0340, 92.46
394.0, 0.0341, 92.46
395.0, 0.0340, 92.47
396.0, 0.0341, 92.45
397.0, 0.0338, 92.50
398.0, 0.0340, 92.48
399.0, 0.0342, 92.44
400.0, 0.0341, 92.46
401.0, 0.0339, 92.50
402.0, 0.0339, 92.49
403.0, 0.0339, 92.49
404.0, 0.0340, 92.46
405.0, 0.0342, 92.43
406.0, 0.0339, 92.50
407.0, 0.0338, 92.51
408.0, 0.0339, 92.50
409.0, 0.0341, 92.46
410.0, 0.0342, 92.43
411.0, 0.0342, 92.42
412.0, 0.0343, 92.40
413.0, 0.0344, 92.38
414.0, 0.0345, 92.35
415.0, 0.0347, 92.31
416.0, 0.0347, 92.31
417.0, 0.0348, 92.31
418.0, 0.0348, 92.31
419.0, 0.0347, 92.31
420.0, 0.0350, 92.26
421.0, 0.0349, 92.27
422.0, 0.0350, 92.26
423.0, 0.0348, 92.30
424.0, 0.0349, 92.28
425.0, 0.0351, 92.25
426.0, 0.0352, 92.21
427.0, 0.0354, 92.17
428.0, 0.0355, 92.16
429.0, 0.0356, 92.12
430.0, 0.0358, 92.10
431.0, 0.0358, 92.09
432.0, 0.0358, 92.08
433.0, 0.0360, 92.04
434.0, 0.0362, 92.01
435.0, 0.0362, 91.99
436.0, 0.0364, 91.97
437.0, 0.0365, 91.94
438.0, 0.0365, 91.93
439.0, 0.0366, 91.92
440.0, 0.0367, 91.90
441.0, 0.0368, 91.87
442.0, 0.0369, 91.86
443.0, 0.0369, 91.86
444.0, 0.0371, 91.82
445.0, 0.0371, 91.82
446.0, 0.0371, 91.81
447.0, 0.0374, 91.75
448.0, 0.0376, 91.70
449.0, 0.0380, 91.62
450.0, 0.0382, 91.59
