Sample Name, Sample-81
Time, February 05 15:54:38 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8613, 13.76
231.0, 0.8496, 14.14
232.0, 0.8384, 14.51
233.0, 0.8261, 14.93
234.0, 0.8119, 15.42
235.0, 0.7988, 15.89
236.0, 0.7860, 16.37
237.0, 0.7736, 16.84
238.0, 0.7614, 17.32
239.0, 0.7493, 17.81
240.0, 0.7376, 18.30
241.0, 0.7269, 18.75
242.0, 0.7165, 19.21
243.0, 0.7069, 19.64
244.0, 0.6982, 20.04
245.0, 0.6888, 20.47
246.0, 0.6793, 20.93
247.0, 0.6704, 21.36
248.0, 0.6617, 21.79
249.0, 0.6538, 22.19
250.0, 0.6462, 22.58
251.0, 0.6387, 22.98
252.0, 0.6314, 23.37
253.0, 0.6245, 23.74
254.0, 0.6180, 24.10
255.0, 0.6113, 24.47
256.0, 0.6051, 24.82
257.0, 0.5990, 25.18
258.0, 0.5951, 25.40
259.0, 0.5826, 26.15
260.0, 0.5745, 26.64
261.0, 0.5667, 27.12
262.0, 0.5586, 27.63
263.0, 0.5499, 28.19
264.0, 0.5414, 28.74
265.0, 0.5330, 29.31
266.0, 0.5249, 29.86
267.0, 0.5169, 30.42
268.0, 0.5093, 30.95
269.0, 0.5009, 31.56
270.0, 0.4922, 32.20
271.0, 0.4835, 32.85
272.0, 0.4751, 33.49
273.0, 0.4672, 34.10
274.0, 0.4596, 34.70
275.0, 0.4521, 35.31
276.0, 0.4446, 35.93
277.0, 0.4375, 36.52
278.0, 0.4311, 37.06
279.0, 0.4252, 37.56
280.0, 0.4194, 38.07
281.0, 0.4126, 38.68
282.0, 0.4058, 39.28
283.0, 0.3993, 39.88
284.0, 0.3931, 40.45
285.0, 0.3872, 41.01
286.0, 0.3811, 41.58
287.0, 0.3750, 42.16
288.0, 0.3696, 42.70
289.0, 0.3641, 43.24
290.0, 0.3591, 43.74
291.0, 0.3548, 44.18
292.0, 0.3505, 44.62
293.0, 0.3458, 45.10
294.0, 0.3411, 45.59
295.0, 0.3369, 46.04
296.0, 0.3326, 46.50
297.0, 0.3291, 46.87
298.0, 0.3270, 47.10
299.0, 0.3208, 47.77
300.0, 0.3170, 48.19
301.0, 0.3135, 48.59
302.0, 0.3102, 48.96
303.0, 0.3071, 49.31
304.0, 0.3043, 49.63
305.0, 0.3011, 49.99
306.0, 0.2980, 50.35
307.0, 0.2946, 50.75
308.0, 0.2914, 51.12
309.0, 0.2884, 51.48
310.0, 0.2854, 51.83
311.0, 0.2823, 52.20
312.0, 0.2792, 52.57
313.0, 0.2762, 52.95
314.0, 0.2734, 53.28
315.0, 0.2705, 53.64
316.0, 0.2676, 54.00
