Sample Name, Sample-83
Time, February 05 16:01:10 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.8243, 1.50
231.0, 1.8295, 1.48
232.0, 1.8287, 1.48
233.0, 1.8310, 1.48
234.0, 1.8287, 1.48
235.0, 1.8275, 1.49
236.0, 1.8244, 1.50
237.0, 1.8173, 1.52
238.0, 1.8135, 1.54
239.0, 1.8043, 1.57
240.0, 1.7939, 1.61
241.0, 1.7841, 1.64
242.0, 1.7757, 1.68
243.0, 1.7625, 1.73
244.0, 1.7503, 1.78
245.0, 1.7398, 1.82
246.0, 1.7245, 1.89
247.0, 1.7121, 1.94
248.0, 1.6990, 2.00
249.0, 1.6861, 2.06
250.0, 1.6736, 2.12
251.0, 1.6623, 2.18
252.0, 1.6495, 2.24
253.0, 1.6361, 2.31
254.0, 1.6242, 2.38
255.0, 1.6142, 2.43
256.0, 1.6035, 2.49
257.0, 1.5907, 2.57
258.0, 1.5835, 2.61
259.0, 1.5614, 2.75
260.0, 1.5472, 2.84
261.0, 1.5336, 2.93
262.0, 1.5194, 3.02
263.0, 1.5051, 3.13
264.0, 1.4891, 3.24
265.0, 1.4743, 3.35
266.0, 1.4608, 3.46
267.0, 1.4479, 3.56
268.0, 1.4350, 3.67
269.0, 1.4209, 3.79
270.0, 1.4059, 3.93
271.0, 1.3906, 4.07
272.0, 1.3762, 4.21
273.0, 1.3615, 4.35
274.0, 1.3473, 4.49
275.0, 1.3336, 4.64
276.0, 1.3201, 4.78
277.0, 1.3079, 4.92
278.0, 1.2945, 5.08
279.0, 1.2824, 5.22
280.0, 1.2704, 5.37
281.0, 1.2570, 5.53
282.0, 1.2422, 5.73
283.0, 1.2268, 5.93
284.0, 1.2127, 6.13
285.0, 1.1981, 6.34
286.0, 1.1830, 6.56
287.0, 1.1680, 6.79
288.0, 1.1529, 7.03
289.0, 1.1384, 7.27
290.0, 1.1248, 7.50
291.0, 1.1123, 7.72
292.0, 1.1011, 7.92
293.0, 1.0883, 8.16
294.0, 1.0743, 8.43
295.0, 1.0611, 8.69
296.0, 1.0481, 8.95
297.0, 1.0371, 9.18
298.0, 1.0315, 9.30
299.0, 1.0118, 9.73
300.0, 1.0000, 10.00
301.0, 0.9890, 10.26
302.0, 0.9793, 10.49
303.0, 0.9704, 10.71
304.0, 0.9605, 10.95
305.0, 0.9506, 11.21
306.0, 0.9404, 11.47
307.0, 0.9307, 11.73
308.0, 0.9207, 12.00
309.0, 0.9117, 12.26
310.0, 0.9022, 12.53
311.0, 0.8925, 12.81
312.0, 0.8832, 13.09
313.0, 0.8741, 13.36
314.0, 0.8656, 13.63
315.0, 0.8574, 13.89
316.0, 0.8483, 14.18
317.0, 0.8391, 14.48
318.0, 0.8293, 14.81
319.0, 0.8199, 15.14
320.0, 0.8102, 15.48
321.0, 0.8003, 15.84
322.0, 0.7910, 16.18
323.0, 0.7808, 16.56
324.0, 0.7707, 16.95
325.0, 0.7613, 17.32
326.0, 0.7517, 17.71
327.0, 0.7426, 18.09
328.0, 0.7334, 18.47
329.0, 0.7243, 18.87
330.0, 0.7182, 19.13
331.0, 0.7017, 19.87
332.0, 0.6908, 20.38
333.0, 0.6801, 20.89
334.0, 0.6689, 21.43
335.0, 0.6581, 21.97
336.0, 0.6474, 22.52
337.0, 0.6372, 23.06
338.0, 0.6271, 23.60
339.0, 0.6196, 24.01
340.0, 0.5517, 28.07
341.0, 0.5454, 28.49
342.0, 0.5390, 28.90
343.0, 0.5331, 29.30
344.0, 0.5277, 29.67
345.0, 0.5214, 30.10
346.0, 0.5155, 30.51
347.0, 0.5094, 30.95
348.0, 0.5033, 31.38
349.0, 0.4974, 31.81
350.0, 0.4922, 32.20
351.0, 0.4865, 32.62
352.0, 0.4809, 33.05
353.0, 0.4741, 33.56
354.0, 0.4673, 34.10
355.0, 0.4599, 34.68
356.0, 0.4529, 35.24
357.0, 0.4459, 35.82
358.0, 0.4388, 36.41
359.0, 0.4316, 37.02
360.0, 0.4249, 37.59
361.0, 0.4184, 38.16
362.0, 0.4125, 38.68
363.0, 0.4065, 39.22
364.0, 0.4004, 39.77
365.0, 0.3940, 40.37
366.0, 0.3868, 41.04
367.0, 0.3793, 41.76
368.0, 0.3721, 42.45
369.0, 0.3655, 43.10
370.0, 0.3616, 43.49
371.0, 0.3636, 43.29
372.0, 0.3581, 43.85
373.0, 0.3528, 44.38
374.0, 0.3478, 44.89
375.0, 0.3429, 45.41
376.0, 0.3385, 45.87
377.0, 0.3333, 46.42
378.0, 0.3281, 46.98
379.0, 0.3229, 47.55
380.0, 0.3177, 48.12
381.0, 0.3129, 48.66
382.0, 0.3082, 49.18
383.0, 0.3038, 49.68
384.0, 0.3015, 49.95
385.0, 0.2942, 50.79
386.0, 0.2900, 51.29
387.0, 0.2857, 51.80
388.0, 0.2818, 52.26
389.0, 0.2777, 52.76
390.0, 0.2733, 53.30
391.0, 0.2690, 53.83
392.0, 0.2649, 54.34
393.0, 0.2605, 54.88
394.0, 0.2565, 55.40
395.0, 0.2525, 55.91
396.0, 0.2485, 56.43
397.0, 0.2447, 56.92
398.0, 0.2413, 57.37
399.0, 0.2378, 57.84
400.0, 0.2344, 58.29
401.0, 0.2311, 58.73
402.0, 0.2273, 59.25
403.0, 0.2239, 59.71
404.0, 0.2203, 60.21
405.0, 0.2174, 60.62
406.0, 0.2139, 61.10
407.0, 0.2107, 61.56
408.0, 0.2077, 61.99
409.0, 0.2048, 62.40
410.0, 0.2020, 62.80
411.0, 0.1993, 63.19
412.0, 0.1969, 63.55
413.0, 0.1941, 63.96
414.0, 0.1912, 64.38
415.0, 0.1884, 64.80
416.0, 0.1857, 65.21
417.0, 0.1833, 65.58
418.0, 0.1808, 65.95
419.0, 0.1782, 66.34
420.0, 0.1759, 66.70
421.0, 0.1736, 67.05
422.0, 0.1713, 67.40
423.0, 0.1694, 67.70
424.0, 0.1674, 68.01
425.0, 0.1654, 68.33
426.0, 0.1631, 68.69
427.0, 0.1608, 69.05
428.0, 0.1587, 69.39
429.0, 0.1566, 69.73
430.0, 0.1546, 70.05
431.0, 0.1525, 70.39
432.0, 0.1505, 70.71
433.0, 0.1486, 71.02
434.0, 0.1469, 71.30
435.0, 0.1454, 71.54
436.0, 0.1438, 71.81
437.0, 0.1423, 72.06
438.0, 0.1405, 72.36
439.0, 0.1389, 72.63
440.0, 0.1372, 72.92
441.0, 0.1356, 73.18
442.0, 0.1340, 73.45
443.0, 0.1323, 73.73
444.0, 0.1309, 73.98
445.0, 0.1294, 74.23
446.0, 0.1282, 74.44
447.0, 0.1268, 74.68
448.0, 0.1254, 74.93
449.0, 0.1241, 75.15
450.0, 0.1234, 75.27
451.0, 0.1206, 75.75
452.0, 0.1192, 75.99
453.0, 0.1180, 76.21
454.0, 0.1166, 76.45
455.0, 0.1154, 76.67
456.0, 0.1141, 76.90
457.0, 0.1128, 77.12
458.0, 0.1116, 77.34
459.0, 0.1104, 77.55
460.0, 0.1093, 77.75
461.0, 0.1082, 77.95
462.0, 0.1069, 78.18
463.0, 0.1058, 78.38
464.0, 0.1046, 78.60
465.0, 0.1033, 78.82
466.0, 0.1021, 79.04
467.0, 0.1010, 79.25
468.0, 0.0998, 79.47
469.0, 0.0988, 79.64
470.0, 0.0978, 79.83
471.0, 0.0969, 80.01
472.0, 0.0959, 80.18
473.0, 0.0949, 80.38
474.0, 0.0938, 80.57
475.0, 0.0933, 80.67
476.0, 0.0915, 81.00
477.0, 0.0904, 81.20
478.0, 0.0894, 81.40
479.0, 0.0885, 81.57
480.0, 0.0873, 81.79
481.0, 0.0864, 81.96
482.0, 0.0855, 82.13
483.0, 0.0843, 82.36
484.0, 0.0835, 82.51
485.0, 0.0825, 82.70
486.0, 0.0817, 82.86
487.0, 0.0806, 83.06
488.0, 0.0799, 83.19
489.0, 0.0789, 83.40
490.0, 0.0781, 83.53
491.0, 0.0773, 83.70
492.0, 0.0764, 83.88
493.0, 0.0754, 84.06
494.0, 0.0746, 84.22
495.0, 0.0739, 84.35
496.0, 0.0730, 84.53
497.0, 0.0722, 84.68
498.0, 0.0715, 84.83
499.0, 0.0705, 85.01
500.0, 0.0698, 85.15
