Sample Name, Sample-91
Time, February 05 16:22:07 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.8990, 1.26
231.0, 1.9068, 1.24
232.0, 1.9126, 1.22
233.0, 1.9178, 1.21
234.0, 1.9239, 1.19
235.0, 1.9291, 1.18
236.0, 1.9320, 1.17
237.0, 1.9324, 1.17
238.0, 1.9319, 1.17
239.0, 1.9317, 1.17
240.0, 1.9322, 1.17
241.0, 1.9275, 1.18
242.0, 1.9218, 1.20
243.0, 1.9192, 1.20
244.0, 1.9138, 1.22
245.0, 1.9090, 1.23
246.0, 1.9040, 1.25
247.0, 1.8977, 1.27
248.0, 1.8897, 1.29
249.0, 1.8809, 1.32
250.0, 1.8721, 1.34
251.0, 1.8635, 1.37
252.0, 1.8535, 1.40
253.0, 1.8454, 1.43
254.0, 1.8405, 1.44
255.0, 1.8305, 1.48
256.0, 1.8253, 1.50
257.0, 1.8162, 1.53
258.0, 1.8078, 1.56
259.0, 1.7935, 1.61
260.0, 1.7839, 1.64
261.0, 1.7761, 1.67
262.0, 1.7671, 1.71
263.0, 1.7577, 1.75
264.0, 1.7480, 1.79
265.0, 1.7391, 1.82
266.0, 1.7303, 1.86
267.0, 1.7243, 1.89
268.0, 1.7142, 1.93
269.0, 1.7062, 1.97
270.0, 1.6984, 2.00
271.0, 1.6883, 2.05
272.0, 1.6809, 2.08
273.0, 1.6731, 2.12
274.0, 1.6683, 2.15
275.0, 1.6598, 2.19
276.0, 1.6528, 2.22
277.0, 1.6483, 2.25
278.0, 1.6412, 2.28
279.0, 1.6367, 2.31
280.0, 1.6329, 2.33
281.0, 1.6258, 2.37
282.0, 1.6205, 2.40
283.0, 1.6135, 2.44
284.0, 1.6063, 2.48
285.0, 1.5996, 2.51
286.0, 1.5948, 2.54
287.0, 1.5867, 2.59
288.0, 1.5803, 2.63
289.0, 1.5754, 2.66
290.0, 1.5712, 2.68
291.0, 1.5648, 2.72
292.0, 1.5587, 2.76
293.0, 1.5539, 2.79
294.0, 1.5468, 2.84
295.0, 1.5396, 2.89
296.0, 1.5312, 2.94
297.0, 1.5238, 2.99
298.0, 1.5202, 3.02
299.0, 1.5069, 3.11
300.0, 1.4993, 3.17
301.0, 1.4920, 3.22
302.0, 1.4840, 3.28
303.0, 1.4744, 3.35
304.0, 1.4668, 3.41
305.0, 1.4576, 3.49
306.0, 1.4486, 3.56
307.0, 1.4394, 3.64
308.0, 1.4297, 3.72
309.0, 1.4202, 3.80
310.0, 1.4110, 3.88
311.0, 1.3998, 3.98
312.0, 1.3895, 4.08
313.0, 1.3794, 4.17
314.0, 1.3695, 4.27
315.0, 1.3608, 4.36
316.0, 1.3521, 4.44
317.0, 1.3409, 4.56
318.0, 1.3279, 4.70
319.0, 1.3164, 4.83
320.0, 1.3041, 4.96
321.0, 1.2916, 5.11
322.0, 1.2783, 5.27
323.0, 1.2642, 5.44
324.0, 1.2512, 5.61
325.0, 1.2375, 5.79
326.0, 1.2257, 5.95
327.0, 1.2132, 6.12
328.0, 1.2025, 6.27
329.0, 1.1888, 6.47
330.0, 1.1810, 6.59
331.0, 1.1587, 6.94
332.0, 1.1426, 7.20
333.0, 1.1283, 7.44
334.0, 1.1127, 7.72
335.0, 1.0965, 8.01
336.0, 1.0796, 8.33
337.0, 1.0639, 8.63
338.0, 1.0497, 8.92
339.0, 1.0364, 9.20
340.0, 0.8698, 13.50
341.0, 0.8662, 13.61
342.0, 0.8614, 13.76
