Sample Name, Sample-26
Time, February 05 11:34:07 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5360, 29.11
231.0, 0.5294, 29.55
232.0, 0.5230, 29.99
233.0, 0.5159, 30.48
234.0, 0.5087, 30.99
235.0, 0.5024, 31.45
236.0, 0.4961, 31.91
237.0, 0.4902, 32.34
238.0, 0.4842, 32.80
239.0, 0.4784, 33.24
240.0, 0.4726, 33.69
241.0, 0.4672, 34.10
242.0, 0.4624, 34.48
243.0, 0.4579, 34.84
244.0, 0.4533, 35.21
245.0, 0.4484, 35.62
246.0, 0.4436, 36.01
247.0, 0.4390, 36.39
248.0, 0.4347, 36.75
249.0, 0.4306, 37.10
250.0, 0.4267, 37.44
251.0, 0.4229, 37.77
252.0, 0.4193, 38.08
253.0, 0.4159, 38.38
254.0, 0.4130, 38.63
255.0, 0.4102, 38.88
256.0, 0.4076, 39.12
257.0, 0.4050, 39.35
258.0, 0.4035, 39.49
259.0, 0.3991, 39.89
260.0, 0.3965, 40.14
261.0, 0.3940, 40.37
262.0, 0.3916, 40.59
263.0, 0.3892, 40.82
264.0, 0.3868, 41.04
265.0, 0.3847, 41.24
266.0, 0.3826, 41.44
267.0, 0.3807, 41.62
268.0, 0.3787, 41.81
269.0, 0.3769, 41.98
270.0, 0.3750, 42.17
271.0, 0.3733, 42.33
272.0, 0.3712, 42.54
273.0, 0.3696, 42.70
274.0, 0.3679, 42.87
275.0, 0.3660, 43.05
276.0, 0.3644, 43.22
277.0, 0.3623, 43.42
278.0, 0.3607, 43.59
279.0, 0.3590, 43.75
280.0, 0.3574, 43.91
281.0, 0.3554, 44.12
282.0, 0.3530, 44.36
283.0, 0.3505, 44.62
284.0, 0.3480, 44.87
285.0, 0.3453, 45.16
286.0, 0.3426, 45.44
287.0, 0.3397, 45.74
288.0, 0.3369, 46.03
289.0, 0.3341, 46.34
290.0, 0.3312, 46.64
291.0, 0.3285, 46.94
292.0, 0.3257, 47.23
293.0, 0.3229, 47.54
294.0, 0.3198, 47.88
295.0, 0.3172, 48.17
296.0, 0.3144, 48.49
297.0, 0.3121, 48.74
298.0, 0.3108, 48.89
299.0, 0.3066, 49.36
300.0, 0.3039, 49.67
301.0, 0.3014, 49.95
302.0, 0.2993, 50.20
303.0, 0.2972, 50.44
304.0, 0.2949, 50.71
305.0, 0.2927, 50.97
306.0, 0.2901, 51.27
307.0, 0.2877, 51.56
308.0, 0.2853, 51.84
309.0, 0.2828, 52.15
310.0, 0.2803, 52.44
311.0, 0.2778, 52.75
312.0, 0.2755, 53.02
313.0, 0.2731, 53.33
314.0, 0.2708, 53.60
315.0, 0.2685, 53.89
316.0, 0.2665, 54.14
317.0, 0.2640, 54.45
318.0, 0.2611, 54.81
319.0, 0.2586, 55.13
320.0, 0.2560, 55.47
321.0, 0.2534, 55.80
322.0, 0.2508, 56.13
323.0, 0.2480, 56.50
324.0, 0.2451, 56.88
325.0, 0.2426, 57.19
326.0, 0.2401, 57.53
327.0, 0.2380, 57.81
328.0, 0.2354, 58.15
329.0, 0.2331, 58.46
330.0, 0.2315, 58.68
331.0, 0.2272, 59.26
332.0, 0.2244, 59.65
333.0, 0.2216, 60.03
334.0, 0.2191, 60.38
335.0, 0.2166, 60.73
336.0, 0.2141, 61.09
337.0, 0.2119, 61.38
338.0, 0.2095, 61.73
339.0, 0.2080, 61.94
340.0, 0.2022, 62.77
341.0, 0.2001, 63.08
342.0, 0.1984, 63.32
343.0, 0.1968, 63.56
344.0, 0.1950, 63.83
345.0, 0.1932, 64.10
346.0, 0.1912, 64.38
347.0, 0.1897, 64.61
348.0, 0.1885, 64.79
349.0, 0.1867, 65.06
350.0, 0.1858, 65.20
351.0, 0.1840, 65.46
352.0, 0.1829, 65.63
353.0, 0.1813, 65.88
354.0, 0.1792, 66.19
355.0, 0.1772, 66.49
356.0, 0.1754, 66.77
357.0, 0.1737, 67.04
358.0, 0.1718, 67.33
359.0, 0.1701, 67.59
360.0, 0.1686, 67.83
361.0, 0.1671, 68.06
362.0, 0.1653, 68.34
363.0, 0.1640, 68.55
364.0, 0.1621, 68.84
365.0, 0.1607, 69.08
366.0, 0.1590, 69.35
367.0, 0.1572, 69.63
368.0, 0.1556, 69.88
369.0, 0.1543, 70.10
370.0, 0.1538, 70.17
371.0, 0.1495, 70.87
372.0, 0.1475, 71.20
373.0, 0.1460, 71.45
374.0, 0.1442, 71.74
375.0, 0.1427, 72.00
376.0, 0.1410, 72.28
377.0, 0.1392, 72.58
378.0, 0.1373, 72.90
379.0, 0.1356, 73.19
380.0, 0.1337, 73.50
381.0, 0.1320, 73.80
382.0, 0.1305, 74.05
383.0, 0.1288, 74.33
384.0, 0.1281, 74.46
385.0, 0.1255, 74.91
386.0, 0.1239, 75.17
387.0, 0.1224, 75.44
388.0, 0.1210, 75.69
389.0, 0.1195, 75.95
390.0, 0.1179, 76.23
391.0, 0.1166, 76.46
392.0, 0.1152, 76.69
393.0, 0.1139, 76.94
394.0, 0.1126, 77.17
395.0, 0.1112, 77.41
396.0, 0.1099, 77.65
397.0, 0.1086, 77.88
398.0, 0.1076, 78.05
399.0, 0.1065, 78.25
400.0, 0.1051, 78.51
401.0, 0.1041, 78.69
402.0, 0.1028, 78.92
403.0, 0.1018, 79.11
404.0, 0.1006, 79.33
405.0, 0.0995, 79.53
406.0, 0.0983, 79.75
407.0, 0.0972, 79.95
408.0, 0.0962, 80.12
409.0, 0.0953, 80.30
410.0, 0.0943, 80.47
411.0, 0.0935, 80.64
412.0, 0.0927, 80.78
413.0, 0.0917, 80.96
414.0, 0.0908, 81.14
415.0, 0.0900, 81.29
416.0, 0.0890, 81.47
417.0, 0.0881, 81.63
418.0, 0.0873, 81.80
419.0, 0.0866, 81.92
420.0, 0.0858, 82.08
421.0, 0.0850, 82.23
422.0, 0.0844, 82.35
423.0, 0.0836, 82.49
424.0, 0.0829, 82.62
425.0, 0.0823, 82.73
426.0, 0.0815, 82.88
427.0, 0.0809, 83.01
428.0, 0.0801, 83.16
429.0, 0.0795, 83.28
430.0, 0.0787, 83.42
431.0, 0.0780, 83.56
432.0, 0.0773, 83.69
433.0, 0.0766, 83.84
434.0, 0.0761, 83.92
435.0, 0.0755, 84.05
436.0, 0.0750, 84.15
437.0, 0.0744, 84.26
438.0, 0.0738, 84.37
439.0, 0.0734, 84.44
440.0, 0.0727, 84.58
441.0, 0.0724, 84.65
442.0, 0.0718, 84.76
443.0, 0.0714, 84.85
444.0, 0.0709, 84.94
445.0, 0.0704, 85.03
446.0, 0.0700, 85.12
447.0, 0.0696, 85.18
448.0, 0.0692, 85.27
449.0, 0.0690, 85.32
450.0, 0.0689, 85.32
451.0, 0.0681, 85.49
452.0, 0.0672, 85.65
453.0, 0.0668, 85.74
454.0, 0.0663, 85.85
455.0, 0.0657, 85.97
456.0, 0.0651, 86.08
457.0, 0.0645, 86.19
458.0, 0.0640, 86.30
459.0, 0.0635, 86.39
460.0, 0.0630, 86.50
461.0, 0.0625, 86.60
462.0, 0.0619, 86.71
463.0, 0.0614, 86.82
464.0, 0.0607, 86.96
465.0, 0.0603, 87.03
466.0, 0.0598, 87.13
467.0, 0.0593, 87.23
468.0, 0.0588, 87.34
469.0, 0.0585, 87.41
470.0, 0.0581, 87.48
471.0, 0.0576, 87.57
472.0, 0.0572, 87.65
473.0, 0.0568, 87.75
474.0, 0.0562, 87.86
475.0, 0.0561, 87.89
476.0, 0.0553, 88.04
477.0, 0.0549, 88.13
