Sample Name, Sample-118
Time, February 05 17:35:33 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5950, 25.41
231.0, 0.5859, 25.95
232.0, 0.5775, 26.46
233.0, 0.5680, 27.04
234.0, 0.5577, 27.69
235.0, 0.5467, 28.40
236.0, 0.5369, 29.05
237.0, 0.5272, 29.71
238.0, 0.5175, 30.38
239.0, 0.5081, 31.04
240.0, 0.4990, 31.70
241.0, 0.4911, 32.28
242.0, 0.4834, 32.86
243.0, 0.4764, 33.39
244.0, 0.4698, 33.90
245.0, 0.4631, 34.43
246.0, 0.4564, 34.96
247.0, 0.4502, 35.47
248.0, 0.4444, 35.94
249.0, 0.4391, 36.39
250.0, 0.4340, 36.82
251.0, 0.4291, 37.23
252.0, 0.4248, 37.60
253.0, 0.4206, 37.97
254.0, 0.4169, 38.29
255.0, 0.4132, 38.61
256.0, 0.4099, 38.92
257.0, 0.4063, 39.24
258.0, 0.4043, 39.42
259.0, 0.3981, 39.99
260.0, 0.3940, 40.36
261.0, 0.3903, 40.71
262.0, 0.3861, 41.10
263.0, 0.3822, 41.48
264.0, 0.3780, 41.88
265.0, 0.3741, 42.26
266.0, 0.3699, 42.66
267.0, 0.3660, 43.05
268.0, 0.3624, 43.41
269.0, 0.3584, 43.81
270.0, 0.3541, 44.25
271.0, 0.3496, 44.71
272.0, 0.3451, 45.18
273.0, 0.3411, 45.60
274.0, 0.3369, 46.04
275.0, 0.3326, 46.49
276.0, 0.3283, 46.96
277.0, 0.3240, 47.42
278.0, 0.3201, 47.86
279.0, 0.3161, 48.30
280.0, 0.3123, 48.72
281.0, 0.3079, 49.22
282.0, 0.3031, 49.76
283.0, 0.2978, 50.37
284.0, 0.2930, 50.93
285.0, 0.2883, 51.49
286.0, 0.2835, 52.06
287.0, 0.2782, 52.70
288.0, 0.2733, 53.29
289.0, 0.2681, 53.94
290.0, 0.2632, 54.55
291.0, 0.2586, 55.13
292.0, 0.2542, 55.69
293.0, 0.2497, 56.27
294.0, 0.2452, 56.85
295.0, 0.2414, 57.36
296.0, 0.2377, 57.85
297.0, 0.2347, 58.25
298.0, 0.2330, 58.48
299.0, 0.2281, 59.15
300.0, 0.2251, 59.55
301.0, 0.2225, 59.91
302.0, 0.2202, 60.23
303.0, 0.2179, 60.55
304.0, 0.2159, 60.83
305.0, 0.2135, 61.17
306.0, 0.2112, 61.49
307.0, 0.2091, 61.79
308.0, 0.2067, 62.12
309.0, 0.2046, 62.43
310.0, 0.2026, 62.72
311.0, 0.2004, 63.04
312.0, 0.1982, 63.35
313.0, 0.1961, 63.66
314.0, 0.1943, 63.93
315.0, 0.1924, 64.21
316.0, 0.1905, 64.49
317.0, 0.1882, 64.83
318.0, 0.1861, 65.15
319.0, 0.1838, 65.50
320.0, 0.1813, 65.87
321.0, 0.1792, 66.19
322.0, 0.1771, 66.52
323.0, 0.1746, 66.90
324.0, 0.1723, 67.25
325.0, 0.1699, 67.63
326.0, 0.1676, 67.98
327.0, 0.1657, 68.28
328.0, 0.1636, 68.61
329.0, 0.1615, 68.94
330.0, 0.1601, 69.16
331.0, 0.1560, 69.83
332.0, 0.1537, 70.19
333.0, 0.1512, 70.60
334.0, 0.1486, 71.02
335.0, 0.1460, 71.44
336.0, 0.1436, 71.84
337.0, 0.1415, 72.20
338.0, 0.1394, 72.55
339.0, 0.1383, 72.73
340.0, 0.1383, 72.74
341.0, 0.1360, 73.12
342.0, 0.1339, 73.47
343.0, 0.1316, 73.86
344.0, 0.1295, 74.22
345.0, 0.1273, 74.60
346.0, 0.1249, 75.01
347.0, 0.1229, 75.35
348.0, 0.1212, 75.65
349.0, 0.1191, 76.01
350.0, 0.1175, 76.29
351.0, 0.1157, 76.61
352.0, 0.1138, 76.96
353.0, 0.1116, 77.34
354.0, 0.1094, 77.73
355.0, 0.1075, 78.08
356.0, 0.1057, 78.39
357.0, 0.1038, 78.74
358.0, 0.1020, 79.07
359.0, 0.1006, 79.32
360.0, 0.0989, 79.63
361.0, 0.0975, 79.88
362.0, 0.0965, 80.08
363.0, 0.0953, 80.30
364.0, 0.0938, 80.57
365.0, 0.0926, 80.81
366.0, 0.0914, 81.02
367.0, 0.0903, 81.23
368.0, 0.0893, 81.41
369.0, 0.0888, 81.51
370.0, 0.0885, 81.57
371.0, 0.0804, 83.10
372.0, 0.0789, 83.39
373.0, 0.0773, 83.69
374.0, 0.0759, 83.96
375.0, 0.0745, 84.24
376.0, 0.0733, 84.47
377.0, 0.0715, 84.82
378.0, 0.0700, 85.11
379.0, 0.0686, 85.38
380.0, 0.0670, 85.69
381.0, 0.0659, 85.93
382.0, 0.0647, 86.16
383.0, 0.0634, 86.42
384.0, 0.0628, 86.53
385.0, 0.0608, 86.94
386.0, 0.0597, 87.16
387.0, 0.0584, 87.42
388.0, 0.0572, 87.65
389.0, 0.0562, 87.87
390.0, 0.0551, 88.08
391.0, 0.0543, 88.25
392.0, 0.0533, 88.46
393.0, 0.0521, 88.70
394.0, 0.0511, 88.90
395.0, 0.0501, 89.09
396.0, 0.0490, 89.33
397.0, 0.0481, 89.52
398.0, 0.0474, 89.66
399.0, 0.0465, 89.84
400.0, 0.0456, 90.04
401.0, 0.0449, 90.18
402.0, 0.0440, 90.36
403.0, 0.0433, 90.52
404.0, 0.0424, 90.71
405.0, 0.0416, 90.86
406.0, 0.0408, 91.02
407.0, 0.0402, 91.15
408.0, 0.0395, 91.30
409.0, 0.0390, 91.42
410.0, 0.0384, 91.54
411.0, 0.0377, 91.68
412.0, 0.0371, 91.81
413.0, 0.0364, 91.95
414.0, 0.0359, 92.07
415.0, 0.0354, 92.17
416.0, 0.0347, 92.31
417.0, 0.0343, 92.42
418.0, 0.0337, 92.54
419.0, 0.0332, 92.65
420.0, 0.0328, 92.73
