Sample Name, Sample-29
Time, February 05 11:41:54 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8234, 15.02
231.0, 0.8183, 15.19
232.0, 0.8133, 15.37
233.0, 0.8084, 15.55
234.0, 0.8028, 15.75
235.0, 0.7975, 15.94
236.0, 0.7925, 16.13
237.0, 0.7874, 16.32
238.0, 0.7821, 16.51
239.0, 0.7770, 16.71
240.0, 0.7717, 16.91
241.0, 0.7669, 17.11
242.0, 0.7622, 17.29
243.0, 0.7576, 17.47
244.0, 0.7532, 17.65
245.0, 0.7481, 17.86
246.0, 0.7428, 18.08
247.0, 0.7379, 18.29
248.0, 0.7332, 18.48
249.0, 0.7282, 18.70
250.0, 0.7235, 18.90
251.0, 0.7189, 19.10
252.0, 0.7143, 19.31
253.0, 0.7097, 19.51
254.0, 0.7055, 19.70
255.0, 0.7015, 19.89
256.0, 0.6976, 20.06
257.0, 0.6940, 20.23
258.0, 0.6914, 20.35
259.0, 0.6843, 20.69
260.0, 0.6801, 20.89
261.0, 0.6756, 21.11
262.0, 0.6713, 21.32
263.0, 0.6668, 21.54
264.0, 0.6625, 21.75
265.0, 0.6582, 21.97
266.0, 0.6542, 22.17
267.0, 0.6503, 22.37
268.0, 0.6464, 22.57
269.0, 0.6428, 22.76
270.0, 0.6385, 22.99
271.0, 0.6344, 23.20
272.0, 0.6302, 23.43
273.0, 0.6260, 23.66
274.0, 0.6222, 23.87
275.0, 0.6181, 24.09
276.0, 0.6141, 24.32
277.0, 0.6101, 24.54
278.0, 0.6066, 24.74
279.0, 0.6028, 24.95
280.0, 0.5993, 25.16
281.0, 0.5953, 25.39
282.0, 0.5910, 25.64
283.0, 0.5866, 25.91
284.0, 0.5822, 26.17
285.0, 0.5780, 26.42
286.0, 0.5735, 26.70
287.0, 0.5690, 26.98
288.0, 0.5646, 27.25
289.0, 0.5601, 27.53
290.0, 0.5563, 27.78
291.0, 0.5524, 28.03
292.0, 0.5482, 28.30
293.0, 0.5439, 28.58
294.0, 0.5394, 28.88
295.0, 0.5355, 29.14
296.0, 0.5311, 29.44
297.0, 0.5273, 29.70
298.0, 0.5250, 29.86
299.0, 0.5184, 30.31
300.0, 0.5142, 30.61
301.0, 0.5100, 30.90
302.0, 0.5066, 31.14
303.0, 0.5030, 31.41
304.0, 0.4992, 31.68
