Sample Name, Sample-98
Time, February 05 16:38:57 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.8449, 1.43
231.0, 1.8526, 1.40
232.0, 1.8589, 1.38
233.0, 1.8677, 1.36
234.0, 1.8722, 1.34
235.0, 1.8758, 1.33
236.0, 1.8798, 1.32
237.0, 1.8807, 1.32
238.0, 1.8799, 1.32
239.0, 1.8770, 1.33
240.0, 1.8757, 1.33
241.0, 1.8737, 1.34
242.0, 1.8674, 1.36
243.0, 1.8650, 1.36
244.0, 1.8602, 1.38
245.0, 1.8530, 1.40
246.0, 1.8480, 1.42
247.0, 1.8396, 1.45
248.0, 1.8315, 1.47
249.0, 1.8245, 1.50
250.0, 1.8181, 1.52
251.0, 1.8108, 1.55
252.0, 1.8014, 1.58
253.0, 1.7948, 1.60
254.0, 1.7854, 1.64
255.0, 1.7811, 1.66
256.0, 1.7712, 1.69
257.0, 1.7651, 1.72
258.0, 1.7576, 1.75
259.0, 1.7461, 1.79
260.0, 1.7353, 1.84
261.0, 1.7259, 1.88
262.0, 1.7158, 1.92
263.0, 1.7065, 1.97
264.0, 1.6958, 2.01
265.0, 1.6871, 2.06
266.0, 1.6766, 2.11
267.0, 1.6720, 2.13
268.0, 1.6629, 2.17
269.0, 1.6541, 2.22
270.0, 1.6453, 2.26
271.0, 1.6383, 2.30
272.0, 1.6306, 2.34
273.0, 1.6233, 2.38
274.0, 1.6149, 2.43
275.0, 1.6088, 2.46
276.0, 1.6011, 2.51
277.0, 1.5966, 2.53
278.0, 1.5937, 2.55
279.0, 1.5876, 2.58
280.0, 1.5833, 2.61
281.0, 1.5784, 2.64
282.0, 1.5719, 2.68
283.0, 1.5652, 2.72
284.0, 1.5602, 2.75
285.0, 1.5543, 2.79
286.0, 1.5492, 2.82
287.0, 1.5420, 2.87
288.0, 1.5337, 2.93
289.0, 1.5276, 2.97
290.0, 1.5210, 3.01
291.0, 1.5162, 3.05
292.0, 1.5119, 3.08
293.0, 1.5042, 3.13
294.0, 1.4986, 3.17
295.0, 1.4915, 3.22
296.0, 1.4841, 3.28
297.0, 1.4788, 3.32
298.0, 1.4731, 3.36
299.0, 1.4617, 3.45
300.0, 1.4534, 3.52
301.0, 1.4456, 3.58
302.0, 1.4382, 3.65
303.0, 1.4301, 3.71
304.0, 1.4219, 3.79
305.0, 1.4142, 3.85
306.0, 1.4053, 3.93
307.0, 1.3950, 4.03
308.0, 1.3866, 4.11
309.0, 1.3779, 4.19
310.0, 1.3689, 4.28
311.0, 1.3573, 4.39
312.0, 1.3478, 4.49
313.0, 1.3393, 4.58
314.0, 1.3290, 4.69
315.0, 1.3200, 4.79
316.0, 1.3101, 4.90
317.0, 1.2989, 5.02
318.0, 1.2884, 5.15
319.0, 1.2766, 5.29
320.0, 1.2648, 5.44
321.0, 1.2532, 5.58
322.0, 1.2412, 5.74
323.0, 1.2276, 5.92
324.0, 1.2139, 6.11
325.0, 1.2015, 6.29
326.0, 1.1889, 6.47
327.0, 1.1774, 6.65
328.0, 1.1631, 6.87
329.0, 1.1516, 7.05
330.0, 1.1435, 7.19
331.0, 1.1217, 7.56
332.0, 1.1065, 7.82
333.0, 1.0903, 8.12
334.0, 1.0742, 8.43
335.0, 1.0586, 8.74
336.0, 1.0426, 9.07
337.0, 1.0275, 9.39
338.0, 1.0132, 9.70
339.0, 1.0010, 9.98
340.0, 0.8338, 14.66
341.0, 0.8295, 14.81
342.0, 0.8255, 14.94
343.0, 0.8210, 15.10
344.0, 0.8162, 15.27
345.0, 0.8114, 15.44
346.0, 0.8039, 15.71
347.0, 0.7983, 15.91
348.0, 0.7941, 16.07
349.0, 0.7867, 16.34
350.0, 0.7810, 16.56
351.0, 0.7740, 16.83
352.0, 0.7664, 17.12
353.0, 0.7568, 17.51
354.0, 0.7465, 17.93
355.0, 0.7359, 18.37
356.0, 0.7255, 18.82
357.0, 0.7143, 19.30
358.0, 0.7027, 19.83
359.0, 0.6920, 20.32
360.0, 0.6819, 20.80
361.0, 0.6708, 21.34
362.0, 0.6602, 21.87
363.0, 0.6496, 22.41
364.0, 0.6392, 22.95
365.0, 0.6284, 23.53
366.0, 0.6151, 24.26
367.0, 0.6025, 24.97
368.0, 0.5900, 25.70
369.0, 0.5782, 26.41
370.0, 0.5715, 26.83
371.0, 0.5826, 26.15
372.0, 0.5735, 26.70
373.0, 0.5648, 27.24
374.0, 0.5561, 27.79
375.0, 0.5478, 28.33
376.0, 0.5402, 28.83
377.0, 0.5318, 29.39
378.0, 0.5231, 29.99
379.0, 0.5141, 30.61
380.0, 0.5055, 31.22
381.0, 0.4976, 31.80
382.0, 0.4896, 32.39
383.0, 0.4821, 32.96
384.0, 0.4780, 33.26
385.0, 0.4657, 34.22
386.0, 0.4587, 34.78
387.0, 0.4515, 35.36
388.0, 0.4449, 35.90
389.0, 0.4376, 36.51
390.0, 0.4304, 37.12
391.0, 0.4228, 37.78
392.0, 0.4159, 38.38
393.0, 0.4089, 39.01
394.0, 0.4020, 39.63
395.0, 0.3952, 40.25
396.0, 0.3886, 40.87
397.0, 0.3825, 41.45
398.0, 0.3767, 42.01
399.0, 0.3708, 42.58
400.0, 0.3653, 43.12
401.0, 0.3595, 43.70
402.0, 0.3536, 44.30
403.0, 0.3477, 44.90
404.0, 0.3418, 45.52
405.0, 0.3366, 46.07
406.0, 0.3312, 46.65
407.0, 0.3258, 47.23
408.0, 0.3207, 47.78
409.0, 0.3160, 48.30
410.0, 0.3116, 48.80
411.0, 0.3072, 49.29
412.0, 0.3032, 49.75
413.0, 0.2989, 50.24
414.0, 0.2943, 50.78
415.0, 0.2900, 51.29
416.0, 0.2855, 51.82
417.0, 0.2815, 52.30
418.0, 0.2776, 52.77
419.0, 0.2736, 53.26
420.0, 0.2700, 53.71
421.0, 0.2664, 54.15
422.0, 0.2629, 54.59
423.0, 0.2596, 55.00
424.0, 0.2567, 55.38
425.0, 0.2536, 55.77
426.0, 0.2500, 56.23
427.0, 0.2466, 56.67
428.0, 0.2433, 57.11
429.0, 0.2403, 57.50
430.0, 0.2372, 57.92
431.0, 0.2341, 58.33
432.0, 0.2311, 58.74
433.0, 0.2283, 59.11
434.0, 0.2258, 59.46
435.0, 0.2233, 59.80
436.0, 0.2209, 60.13
437.0, 0.2186, 60.45
438.0, 0.2159, 60.83
439.0, 0.2134, 61.18
440.0, 0.2107, 61.56
441.0, 0.2083, 61.90
442.0, 0.2057, 62.27
443.0, 0.2035, 62.59
444.0, 0.2011, 62.94
445.0, 0.1989, 63.26
446.0, 0.1970, 63.54
447.0, 0.1949, 63.84
448.0, 0.1930, 64.12
449.0, 0.1914, 64.36
450.0, 0.1901, 64.55
451.0, 0.1864, 65.10
452.0, 0.1844, 65.41
453.0, 0.1824, 65.70
454.0, 0.1805, 65.99
455.0, 0.1786, 66.28
456.0, 0.1767, 66.57
457.0, 0.1748, 66.86
458.0, 0.1731, 67.13
459.0, 0.1716, 67.36
460.0, 0.1699, 67.63
461.0, 0.1682, 67.89
462.0, 0.1664, 68.17
463.0, 0.1648, 68.42
464.0, 0.1629, 68.72
465.0, 0.1612, 68.98
466.0, 0.1596, 69.24
467.0, 0.1578, 69.54
468.0, 0.1560, 69.83
469.0, 0.1545, 70.06
470.0, 0.1530, 70.31
471.0, 0.1516, 70.53
472.0, 0.1501, 70.78
473.0, 0.1485, 71.04
474.0, 0.1468, 71.32
475.0, 0.1460, 71.45
476.0, 0.1433, 71.90
477.0, 0.1415, 72.20
478.0, 0.1400, 72.45
479.0, 0.1382, 72.74
480.0, 0.1366, 73.01
481.0, 0.1350, 73.29
482.0, 0.1336, 73.51
483.0, 0.1322, 73.76
484.0, 0.1310, 73.97
485.0, 0.1293, 74.25
486.0, 0.1278, 74.50
487.0, 0.1263, 74.76
488.0, 0.1249, 75.01
489.0, 0.1232, 75.30
490.0, 0.1221, 75.49
491.0, 0.1207, 75.74
492.0, 0.1193, 75.98
493.0, 0.1179, 76.23
494.0, 0.1167, 76.44
495.0, 0.1155, 76.65
496.0, 0.1146, 76.81
497.0, 0.1133, 77.04
498.0, 0.1119, 77.28
499.0, 0.1106, 77.51
500.0, 0.1095, 77.72
501.0, 0.1084, 77.91
502.0, 0.1073, 78.11
503.0, 0.1060, 78.34
504.0, 0.1050, 78.53
505.0, 0.1039, 78.72
506.0, 0.1029, 78.90
507.0, 0.1020, 79.06
508.0, 0.1009, 79.27
509.0, 0.1000, 79.44
510.0, 0.0989, 79.64
511.0, 0.0978, 79.84
512.0, 0.0969, 80.00
513.0, 0.0959, 80.19
514.0, 0.0949, 80.37
515.0, 0.0939, 80.55
516.0, 0.0929, 80.73
517.0, 0.0921, 80.90
518.0, 0.0911, 81.08
519.0, 0.0903, 81.22
520.0, 0.0897, 81.34
521.0, 0.0888, 81.51
522.0, 0.0878, 81.69
523.0, 0.0868, 81.88
524.0, 0.0860, 82.03
525.0, 0.0852, 82.19
526.0, 0.0843, 82.36
527.0, 0.0835, 82.51
528.0, 0.0826, 82.67
529.0, 0.0818, 82.83
530.0, 0.0811, 82.97
531.0, 0.0805, 83.09
532.0, 0.0797, 83.23
533.0, 0.0790, 83.38
534.0, 0.0782, 83.52
535.0, 0.0774, 83.68
536.0, 0.0767, 83.80
537.0, 0.0760, 83.95
538.0, 0.0753, 84.09
539.0, 0.0746, 84.23
540.0, 0.0737, 84.39
541.0, 0.0731, 84.50
542.0, 0.0726, 84.60
543.0, 0.0721, 84.71
544.0, 0.0714, 84.83
545.0, 0.0707, 84.97
546.0, 0.0704, 85.04
547.0, 0.0692, 85.28
548.0, 0.0685, 85.41
549.0, 0.0677, 85.56
550.0, 0.0671, 85.69
551.0, 0.0663, 85.84
552.0, 0.0657, 85.96
553.0, 0.0650, 86.09
554.0, 0.0644, 86.21
555.0, 0.0639, 86.32
556.0, 0.0635, 86.41
557.0, 0.0630, 86.50
558.0, 0.0626, 86.58
559.0, 0.0623, 86.63
560.0, 0.0614, 86.81
561.0, 0.0611, 86.88
562.0, 0.0607, 86.95
563.0, 0.0602, 87.05
564.0, 0.0598, 87.13
565.0, 0.0595, 87.19
566.0, 0.0592, 87.27
567.0, 0.0588, 87.35
568.0, 0.0582, 87.45
569.0, 0.0578, 87.55
570.0, 0.0574, 87.63
571.0, 0.0568, 87.73
572.0, 0.0563, 87.83
573.0, 0.0560, 87.90
574.0, 0.0555, 88.00
575.0, 0.0552, 88.07
576.0, 0.0542, 88.26
577.0, 0.0537, 88.37
578.0, 0.0532, 88.47
579.0, 0.0528, 88.56
580.0, 0.0524, 88.64
581.0, 0.0519, 88.73
582.0, 0.0516, 88.80
583.0, 0.0511, 88.90
584.0, 0.0508, 88.96
585.0, 0.0508, 88.96
586.0, 0.0495, 89.23
587.0, 0.0491, 89.30
588.0, 0.0489, 89.35
589.0, 0.0487, 89.38
590.0, 0.0481, 89.51
591.0, 0.0479, 89.56
592.0, 0.0476, 89.62
593.0, 0.0473, 89.68
594.0, 0.0471, 89.73
595.0, 0.0467, 89.80
596.0, 0.0464, 89.86
597.0, 0.0461, 89.92
598.0, 0.0458, 89.99
599.0, 0.0454, 90.07
600.0, 0.0451, 90.15
601.0, 0.0447, 90.21
602.0, 0.0445, 90.26
603.0, 0.0442, 90.33
604.0, 0.0438, 90.40
605.0, 0.0435, 90.46
606.0, 0.0433, 90.52
607.0, 0.0430, 90.58
608.0, 0.0427, 90.63
609.0, 0.0424, 90.70
610.0, 0.0421, 90.75
611.0, 0.0418, 90.83
612.0, 0.0414, 90.90
613.0, 0.0412, 90.95
614.0, 0.0408, 91.04
615.0, 0.0406, 91.08
616.0, 0.0405, 91.10
617.0, 0.0401, 91.19
618.0, 0.0398, 91.24
619.0, 0.0396, 91.29
620.0, 0.0394, 91.34
621.0, 0.0389, 91.43
622.0, 0.0387, 91.47
623.0, 0.0385, 91.51
624.0, 0.0383, 91.57
625.0, 0.0380, 91.61
626.0, 0.0378, 91.66
627.0, 0.0375, 91.72
628.0, 0.0373, 91.77
629.0, 0.0371, 91.82
630.0, 0.0368, 91.87
631.0, 0.0366, 91.91
632.0, 0.0365, 91.94
633.0, 0.0361, 92.01
634.0, 0.0359, 92.06
635.0, 0.0357, 92.11
636.0, 0.0354, 92.17
637.0, 0.0352, 92.21
638.0, 0.0352, 92.21
639.0, 0.0350, 92.27
640.0, 0.0348, 92.29
641.0, 0.0346, 92.34
642.0, 0.0344, 92.38
643.0, 0.0342, 92.44
644.0, 0.0341, 92.46
645.0, 0.0338, 92.51
646.0, 0.0337, 92.53
647.0, 0.0336, 92.57
648.0, 0.0332, 92.63
649.0, 0.0331, 92.66
650.0, 0.0329, 92.71
651.0, 0.0326, 92.76
652.0, 0.0326, 92.77
653.0, 0.0325, 92.78
654.0, 0.0322, 92.86
655.0, 0.0320, 92.90
656.0, 0.0320, 92.91
657.0, 0.0317, 92.96
658.0, 0.0316, 92.98
659.0, 0.0315, 93.01
660.0, 0.0312, 93.06
661.0, 0.0312, 93.07
662.0, 0.0310, 93.12
663.0, 0.0307, 93.18
664.0, 0.0306, 93.19
665.0, 0.0305, 93.21
666.0, 0.0303, 93.26
667.0, 0.0301, 93.31
668.0, 0.0299, 93.35
669.0, 0.0298, 93.36
670.0, 0.0295, 93.43
671.0, 0.0294, 93.46
672.0, 0.0293, 93.48
673.0, 0.0290, 93.53
674.0, 0.0290, 93.55
675.0, 0.0289, 93.57
676.0, 0.0286, 93.62
677.0, 0.0286, 93.62
678.0, 0.0284, 93.66
679.0, 0.0283, 93.69
680.0, 0.0282, 93.72
681.0, 0.0279, 93.77
682.0, 0.0278, 93.81
683.0, 0.0277, 93.83
684.0, 0.0276, 93.85
685.0, 0.0274, 93.89
686.0, 0.0273, 93.90
687.0, 0.0272, 93.92
688.0, 0.0271, 93.96
689.0, 0.0268, 94.01
690.0, 0.0266, 94.06
691.0, 0.0266, 94.06
692.0, 0.0265, 94.08
693.0, 0.0264, 94.11
694.0, 0.0263, 94.13
695.0, 0.0261, 94.16
696.0, 0.0260, 94.20
697.0, 0.0257, 94.25
698.0, 0.0257, 94.25
699.0, 0.0256, 94.27
700.0, 0.0255, 94.30
