Sample Name, Sample-105
Time, February 05 17:00:02 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.7358, 1.84
231.0, 1.7432, 1.81
232.0, 1.7477, 1.79
233.0, 1.7554, 1.76
234.0, 1.7606, 1.74
235.0, 1.7682, 1.71
236.0, 1.7689, 1.70
237.0, 1.7702, 1.70
238.0, 1.7712, 1.69
239.0, 1.7703, 1.70
240.0, 1.7664, 1.71
241.0, 1.7648, 1.72
242.0, 1.7607, 1.74
243.0, 1.7548, 1.76
244.0, 1.7498, 1.78
245.0, 1.7431, 1.81
246.0, 1.7382, 1.83
247.0, 1.7316, 1.86
248.0, 1.7250, 1.88
249.0, 1.7155, 1.93
250.0, 1.7106, 1.95
251.0, 1.7019, 1.99
252.0, 1.6946, 2.02
253.0, 1.6862, 2.06
254.0, 1.6778, 2.10
255.0, 1.6695, 2.14
256.0, 1.6624, 2.18
257.0, 1.6558, 2.21
258.0, 1.6505, 2.24
259.0, 1.6365, 2.31
260.0, 1.6271, 2.36
261.0, 1.6183, 2.41
262.0, 1.6090, 2.46
263.0, 1.6000, 2.51
264.0, 1.5896, 2.57
265.0, 1.5816, 2.62
266.0, 1.5727, 2.67
267.0, 1.5657, 2.72
268.0, 1.5583, 2.77
269.0, 1.5505, 2.81
270.0, 1.5435, 2.86
271.0, 1.5365, 2.91
272.0, 1.5305, 2.95
273.0, 1.5239, 2.99
274.0, 1.5174, 3.04
275.0, 1.5106, 3.09
276.0, 1.5076, 3.11
277.0, 1.5027, 3.14
278.0, 1.4998, 3.16
279.0, 1.4961, 3.19
280.0, 1.4925, 3.22
281.0, 1.4892, 3.24
282.0, 1.4856, 3.27
283.0, 1.4830, 3.29
284.0, 1.4783, 3.32
285.0, 1.4750, 3.35
286.0, 1.4720, 3.37
287.0, 1.4688, 3.40
288.0, 1.4638, 3.44
289.0, 1.4600, 3.47
290.0, 1.4589, 3.48
291.0, 1.4565, 3.50
292.0, 1.4540, 3.52
293.0, 1.4508, 3.54
294.0, 1.4471, 3.57
295.0, 1.4437, 3.60
296.0, 1.4415, 3.62
297.0, 1.4389, 3.64
298.0, 1.4373, 3.65
299.0, 1.4316, 3.70
300.0, 1.4271, 3.74
301.0, 1.4233, 3.77
302.0, 1.4197, 3.80
303.0, 1.4149, 3.85
304.0, 1.4101, 3.89
305.0, 1.4049, 3.94
306.0, 1.3996, 3.98
307.0, 1.3936, 4.04
308.0, 1.3891, 4.08
309.0, 1.3828, 4.14
310.0, 1.3759, 4.21
311.0, 1.3700, 4.27
312.0, 1.3633, 4.33
313.0, 1.3566, 4.40
314.0, 1.3499, 4.47
315.0, 1.3457, 4.51
316.0, 1.3392, 4.58
317.0, 1.3338, 4.64
318.0, 1.3261, 4.72
319.0, 1.3197, 4.79
320.0, 1.3133, 4.86
321.0, 1.3063, 4.94
322.0, 1.3004, 5.01
323.0, 1.2933, 5.09
324.0, 1.2867, 5.17
325.0, 1.2798, 5.25
326.0, 1.2740, 5.32
327.0, 1.2676, 5.40
328.0, 1.2599, 5.50
329.0, 1.2541, 5.57
330.0, 1.2513, 5.61
331.0, 1.2409, 5.74
332.0, 1.2332, 5.85
333.0, 1.2260, 5.94
334.0, 1.2173, 6.06
335.0, 1.2098, 6.17
336.0, 1.2029, 6.27
337.0, 1.1952, 6.38
338.0, 1.1858, 6.52
339.0, 1.1720, 6.73
340.0, 0.9001, 12.59
341.0, 0.9071, 12.38
342.0, 0.9144, 12.18
343.0, 0.9217, 11.98
344.0, 0.9290, 11.78
345.0, 0.9361, 11.59
346.0, 0.9434, 11.39
347.0, 0.9517, 11.18
348.0, 0.9601, 10.96
349.0, 0.9658, 10.82
350.0, 0.9720, 10.67
351.0, 0.9774, 10.53
352.0, 0.9813, 10.44
353.0, 0.9838, 10.38
354.0, 0.9839, 10.38
355.0, 0.9819, 10.43
356.0, 0.9788, 10.50
357.0, 0.9762, 10.56
358.0, 0.9726, 10.65
359.0, 0.9687, 10.75
360.0, 0.9634, 10.88
361.0, 0.9567, 11.05
362.0, 0.9500, 11.22
363.0, 0.9424, 11.42
364.0, 0.9328, 11.67
365.0, 0.9223, 11.96
366.0, 0.9088, 12.34
367.0, 0.8930, 12.79
368.0, 0.8761, 13.30
369.0, 0.8605, 13.79
370.0, 0.8508, 14.10
371.0, 0.9405, 11.47
372.0, 0.9346, 11.63
373.0, 0.9291, 11.77
374.0, 0.9245, 11.90
375.0, 0.9179, 12.08
376.0, 0.9118, 12.25
377.0, 0.9061, 12.41
378.0, 0.8992, 12.61
379.0, 0.8927, 12.80
380.0, 0.8864, 12.99
381.0, 0.8790, 13.21
382.0, 0.8712, 13.45
383.0, 0.8642, 13.67
384.0, 0.8600, 13.80
385.0, 0.8470, 14.22
386.0, 0.8398, 14.46
387.0, 0.8315, 14.74
388.0, 0.8237, 15.01
389.0, 0.8153, 15.30
390.0, 0.8065, 15.61
391.0, 0.7971, 15.95
392.0, 0.7879, 16.30
393.0, 0.7788, 16.64
394.0, 0.7693, 17.01
395.0, 0.7600, 17.38
396.0, 0.7507, 17.76
397.0, 0.7417, 18.13
398.0, 0.7333, 18.48
399.0, 0.7244, 18.86
400.0, 0.7166, 19.20
401.0, 0.7083, 19.58
402.0, 0.6983, 20.03
403.0, 0.6890, 20.46
404.0, 0.6796, 20.91
405.0, 0.6711, 21.32
406.0, 0.6620, 21.78
407.0, 0.6533, 22.22
408.0, 0.6448, 22.66
409.0, 0.6368, 23.08
410.0, 0.6292, 23.48
411.0, 0.6221, 23.88
412.0, 0.6149, 24.27
413.0, 0.6072, 24.71
414.0, 0.5990, 25.18
415.0, 0.5913, 25.63
416.0, 0.5834, 26.10
417.0, 0.5761, 26.54
418.0, 0.5688, 26.99
419.0, 0.5615, 27.45
420.0, 0.5547, 27.88
421.0, 0.5477, 28.33
422.0, 0.5413, 28.75
423.0, 0.5353, 29.15
424.0, 0.5296, 29.54
425.0, 0.5237, 29.95
426.0, 0.5170, 30.41
427.0, 0.5105, 30.87
428.0, 0.5040, 31.33
429.0, 0.4981, 31.76
430.0, 0.4923, 32.19
431.0, 0.4860, 32.66
432.0, 0.4800, 33.11
433.0, 0.4746, 33.53
434.0, 0.4695, 33.92
435.0, 0.4647, 34.30
436.0, 0.4599, 34.68
437.0, 0.4546, 35.10
438.0, 0.4492, 35.55
439.0, 0.4440, 35.98
440.0, 0.4388, 36.41
441.0, 0.4336, 36.85
442.0, 0.4285, 37.28
443.0, 0.4234, 37.72
444.0, 0.4184, 38.16
445.0, 0.4136, 38.58
446.0, 0.4095, 38.95
447.0, 0.4054, 39.32
448.0, 0.4012, 39.71
449.0, 0.3970, 40.08
450.0, 0.3945, 40.32
451.0, 0.3874, 40.98
452.0, 0.3837, 41.33
453.0, 0.3802, 41.67
454.0, 0.3765, 42.03
455.0, 0.3729, 42.37
456.0, 0.3695, 42.71
457.0, 0.3661, 43.04
458.0, 0.3629, 43.37
459.0, 0.3599, 43.66
460.0, 0.3569, 43.97
461.0, 0.3535, 44.31
462.0, 0.3501, 44.66
463.0, 0.3468, 45.00
464.0, 0.3434, 45.35
465.0, 0.3399, 45.72
466.0, 0.3366, 46.06
467.0, 0.3333, 46.42
468.0, 0.3301, 46.76
469.0, 0.3271, 47.09
470.0, 0.3239, 47.43
471.0, 0.3209, 47.77
472.0, 0.3181, 48.07
473.0, 0.3150, 48.42
474.0, 0.3121, 48.74
475.0, 0.3103, 48.94
476.0, 0.3053, 49.51
477.0, 0.3021, 49.87
478.0, 0.2991, 50.22
479.0, 0.2960, 50.58
480.0, 0.2928, 50.96
481.0, 0.2899, 51.30
482.0, 0.2873, 51.61
483.0, 0.2844, 51.96
484.0, 0.2817, 52.28
485.0, 0.2789, 52.61
486.0, 0.2761, 52.96
487.0, 0.2731, 53.32
488.0, 0.2704, 53.65
489.0, 0.2675, 54.02
490.0, 0.2649, 54.34
491.0, 0.2622, 54.67
492.0, 0.2597, 54.99
493.0, 0.2571, 55.32
494.0, 0.2547, 55.62
495.0, 0.2526, 55.90
496.0, 0.2504, 56.18
497.0, 0.2480, 56.50
498.0, 0.2456, 56.80
499.0, 0.2431, 57.13
500.0, 0.2407, 57.46
501.0, 0.2385, 57.74
502.0, 0.2363, 58.04
503.0, 0.2340, 58.35
504.0, 0.2318, 58.64
505.0, 0.2298, 58.91
506.0, 0.2278, 59.18
507.0, 0.2260, 59.42
508.0, 0.2241, 59.69
509.0, 0.2222, 59.96
510.0, 0.2201, 60.24
511.0, 0.2181, 60.52
512.0, 0.2161, 60.80
513.0, 0.2142, 61.07
514.0, 0.2123, 61.33
515.0, 0.2104, 61.60
516.0, 0.2085, 61.87
517.0, 0.2067, 62.12
518.0, 0.2051, 62.37
519.0, 0.2036, 62.58
520.0, 0.2020, 62.81
521.0, 0.2002, 63.06
522.0, 0.1983, 63.34
523.0, 0.1965, 63.61
524.0, 0.1948, 63.86
525.0, 0.1931, 64.11
526.0, 0.1914, 64.36
527.0, 0.1896, 64.62
528.0, 0.1880, 64.86
529.0, 0.1865, 65.08
530.0, 0.1850, 65.31
531.0, 0.1837, 65.50
532.0, 0.1824, 65.71
533.0, 0.1808, 65.95
534.0, 0.1792, 66.18
535.0, 0.1776, 66.44
536.0, 0.1762, 66.65
537.0, 0.1746, 66.89
538.0, 0.1732, 67.10
539.0, 0.1717, 67.34
540.0, 0.1702, 67.57
541.0, 0.1689, 67.78
542.0, 0.1677, 67.97
543.0, 0.1667, 68.13
544.0, 0.1654, 68.33
545.0, 0.1642, 68.52
546.0, 0.1634, 68.64
