Sample Name, Sample-22
Time, February 05 11:23:52 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9547, 11.10
231.0, 0.9493, 11.24
232.0, 0.9444, 11.37
233.0, 0.9389, 11.51
234.0, 0.9328, 11.67
235.0, 0.9264, 11.85
236.0, 0.9205, 12.01
237.0, 0.9147, 12.17
238.0, 0.9089, 12.33
239.0, 0.9028, 12.51
240.0, 0.8968, 12.68
241.0, 0.8908, 12.86
242.0, 0.8852, 13.03
243.0, 0.8798, 13.19
244.0, 0.8745, 13.35
245.0, 0.8689, 13.52
246.0, 0.8628, 13.72
247.0, 0.8568, 13.91
248.0, 0.8514, 14.08
249.0, 0.8457, 14.27
250.0, 0.8402, 14.45
251.0, 0.8348, 14.63
252.0, 0.8293, 14.81
253.0, 0.8240, 15.00
254.0, 0.8192, 15.16
255.0, 0.8150, 15.31
256.0, 0.8103, 15.48
257.0, 0.8057, 15.64
258.0, 0.8028, 15.75
259.0, 0.7947, 16.04
260.0, 0.7894, 16.24
261.0, 0.7843, 16.43
262.0, 0.7791, 16.63
263.0, 0.7739, 16.83
264.0, 0.7687, 17.04
265.0, 0.7642, 17.21
266.0, 0.7595, 17.40
267.0, 0.7550, 17.58
268.0, 0.7506, 17.76
269.0, 0.7456, 17.96
270.0, 0.7402, 18.19
271.0, 0.7356, 18.38
272.0, 0.7306, 18.60
273.0, 0.7260, 18.79
274.0, 0.7210, 19.01
275.0, 0.7161, 19.23
276.0, 0.7114, 19.43
277.0, 0.7066, 19.65
278.0, 0.7020, 19.86
279.0, 0.6977, 20.06
280.0, 0.6933, 20.27
281.0, 0.6885, 20.49
282.0, 0.6836, 20.72
283.0, 0.6784, 20.97
284.0, 0.6732, 21.22
285.0, 0.6680, 21.48
286.0, 0.6630, 21.73
287.0, 0.6577, 21.99
288.0, 0.6524, 22.26
289.0, 0.6477, 22.51
290.0, 0.6429, 22.76
291.0, 0.6382, 23.00
292.0, 0.6336, 23.25
293.0, 0.6289, 23.50
294.0, 0.6237, 23.79
295.0, 0.6189, 24.05
296.0, 0.6140, 24.32
297.0, 0.6095, 24.58
298.0, 0.6069, 24.72
299.0, 0.5993, 25.16
300.0, 0.5945, 25.44
301.0, 0.5901, 25.70
302.0, 0.5858, 25.95
303.0, 0.5816, 26.21
304.0, 0.5778, 26.44
305.0, 0.5732, 26.71
306.0, 0.5683, 27.02
307.0, 0.5636, 27.31
308.0, 0.5592, 27.59
309.0, 0.5548, 27.88
310.0, 0.5501, 28.17
311.0, 0.5455, 28.47
312.0, 0.5411, 28.77
313.0, 0.5365, 29.07
314.0, 0.5324, 29.35
315.0, 0.5284, 29.62
316.0, 0.5240, 29.92
317.0, 0.5200, 30.20
318.0, 0.5154, 30.52
319.0, 0.5108, 30.85
320.0, 0.5061, 31.18
321.0, 0.5016, 31.51
322.0, 0.4970, 31.85
323.0, 0.4923, 32.19
324.0, 0.4880, 32.51
325.0, 0.4834, 32.86
326.0, 0.4794, 33.16
327.0, 0.4755, 33.45
328.0, 0.4713, 33.78
329.0, 0.4674, 34.09
330.0, 0.4647, 34.30
331.0, 0.4576, 34.87
332.0, 0.4533, 35.21
333.0, 0.4490, 35.57
334.0, 0.4445, 35.93
335.0, 0.4401, 36.30
336.0, 0.4358, 36.66
337.0, 0.4322, 36.97
338.0, 0.4283, 37.30
339.0, 0.4255, 37.54
340.0, 0.3911, 40.64
341.0, 0.3893, 40.81
342.0, 0.3872, 41.00
343.0, 0.3848, 41.23
344.0, 0.3829, 41.41
345.0, 0.3807, 41.62
346.0, 0.3785, 41.83
347.0, 0.3764, 42.03
348.0, 0.3751, 42.16
349.0, 0.3723, 42.44
350.0, 0.3712, 42.54
351.0, 0.3689, 42.77
352.0, 0.3673, 42.93
353.0, 0.3646, 43.19
354.0, 0.3617, 43.48
355.0, 0.3594, 43.71
356.0, 0.3562, 44.04
357.0, 0.3534, 44.32
358.0, 0.3507, 44.60
359.0, 0.3476, 44.92
360.0, 0.3448, 45.20
361.0, 0.3415, 45.55
362.0, 0.3385, 45.87
363.0, 0.3362, 46.11
364.0, 0.3332, 46.43
365.0, 0.3302, 46.75
366.0, 0.3265, 47.15
367.0, 0.3229, 47.55
368.0, 0.3196, 47.91
369.0, 0.3159, 48.31
370.0, 0.3139, 48.54
371.0, 0.3183, 48.05
372.0, 0.3156, 48.35
373.0, 0.3135, 48.59
374.0, 0.3110, 48.87
375.0, 0.3085, 49.15
376.0, 0.3064, 49.38
377.0, 0.3040, 49.66
378.0, 0.3016, 49.94
379.0, 0.2992, 50.21
380.0, 0.2964, 50.54
381.0, 0.2941, 50.81
382.0, 0.2918, 51.07
383.0, 0.2898, 51.31
384.0, 0.2886, 51.45
385.0, 0.2846, 51.93
386.0, 0.2825, 52.18
387.0, 0.2802, 52.46
388.0, 0.2779, 52.73
389.0, 0.2756, 53.02
390.0, 0.2734, 53.29
391.0, 0.2710, 53.57
392.0, 0.2687, 53.86
393.0, 0.2665, 54.14
394.0, 0.2644, 54.40
395.0, 0.2619, 54.72
396.0, 0.2597, 55.00
397.0, 0.2574, 55.28
398.0, 0.2555, 55.52
399.0, 0.2534, 55.79
400.0, 0.2514, 56.05
401.0, 0.2496, 56.29
402.0, 0.2474, 56.57
403.0, 0.2452, 56.86
404.0, 0.2428, 57.18
405.0, 0.2410, 57.42
406.0, 0.2388, 57.70
407.0, 0.2368, 57.97
408.0, 0.2348, 58.24
409.0, 0.2328, 58.51
410.0, 0.2310, 58.76
411.0, 0.2293, 58.98
412.0, 0.2275, 59.22
413.0, 0.2257, 59.47
414.0, 0.2236, 59.75
415.0, 0.2217, 60.02
416.0, 0.2197, 60.30
417.0, 0.2179, 60.55
418.0, 0.2159, 60.82
419.0, 0.2142, 61.07
420.0, 0.2124, 61.33
421.0, 0.2106, 61.57
422.0, 0.2089, 61.81
423.0, 0.2074, 62.03
424.0, 0.2060, 62.23
425.0, 0.2043, 62.47
426.0, 0.2024, 62.75
427.0, 0.2006, 63.01
428.0, 0.1989, 63.26
429.0, 0.1970, 63.53
430.0, 0.1955, 63.75
431.0, 0.1939, 63.99
432.0, 0.1923, 64.22
433.0, 0.1907, 64.46
434.0, 0.1894, 64.66
435.0, 0.1878, 64.90
436.0, 0.1864, 65.10
437.0, 0.1851, 65.30
438.0, 0.1837, 65.51
439.0, 0.1822, 65.73
440.0, 0.1806, 65.98
441.0, 0.1792, 66.20
442.0, 0.1776, 66.43
