Sample Name, Sample-129
Time, February 05 18:08:38 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.2254, 5.95
231.0, 1.2129, 6.12
232.0, 1.2005, 6.30
233.0, 1.1855, 6.52
234.0, 1.1694, 6.77
235.0, 1.1533, 7.03
236.0, 1.1371, 7.29
237.0, 1.1209, 7.57
238.0, 1.1045, 7.86
239.0, 1.0876, 8.17
240.0, 1.0708, 8.50
241.0, 1.0539, 8.83
242.0, 1.0389, 9.14
243.0, 1.0249, 9.44
244.0, 1.0110, 9.75
245.0, 0.9967, 10.08
246.0, 0.9817, 10.43
247.0, 0.9677, 10.77
248.0, 0.9545, 11.10
249.0, 0.9418, 11.43
250.0, 0.9294, 11.77
251.0, 0.9176, 12.09
252.0, 0.9059, 12.42
253.0, 0.8944, 12.75
254.0, 0.8842, 13.06
255.0, 0.8742, 13.36
256.0, 0.8641, 13.68
257.0, 0.8538, 14.00
258.0, 0.8478, 14.20
259.0, 0.8283, 14.85
260.0, 0.8158, 15.28
261.0, 0.8035, 15.72
262.0, 0.7905, 16.20
263.0, 0.7772, 16.70
264.0, 0.7635, 17.24
265.0, 0.7503, 17.77
266.0, 0.7375, 18.30
267.0, 0.7256, 18.81
268.0, 0.7134, 19.35
269.0, 0.7006, 19.93
270.0, 0.6867, 20.57
271.0, 0.6738, 21.19
272.0, 0.6609, 21.83
273.0, 0.6485, 22.46
274.0, 0.6366, 23.09
275.0, 0.6249, 23.72
276.0, 0.6140, 24.32
277.0, 0.6034, 24.92
278.0, 0.5943, 25.45
279.0, 0.5854, 25.98
280.0, 0.5768, 26.50
281.0, 0.5677, 27.06
282.0, 0.5579, 27.67
283.0, 0.5484, 28.29
284.0, 0.5395, 28.87
285.0, 0.5310, 29.45
286.0, 0.5227, 30.01
287.0, 0.5143, 30.60
288.0, 0.5060, 31.19
289.0, 0.4985, 31.73
290.0, 0.4919, 32.22
291.0, 0.4857, 32.68
292.0, 0.4795, 33.15
293.0, 0.4732, 33.64
294.0, 0.4666, 34.15
295.0, 0.4604, 34.64
296.0, 0.4545, 35.12
297.0, 0.4492, 35.55
298.0, 0.4462, 35.79
299.0, 0.4380, 36.48
300.0, 0.4327, 36.92
301.0, 0.4277, 37.35
302.0, 0.4232, 37.74
303.0, 0.4190, 38.10
304.0, 0.4149, 38.47
305.0, 0.4101, 38.90
306.0, 0.4053, 39.33
307.0, 0.4007, 39.75
308.0, 0.3961, 40.17
309.0, 0.3915, 40.59
310.0, 0.3873, 41.00
311.0, 0.3829, 41.41
312.0, 0.3786, 41.82
313.0, 0.3741, 42.26
314.0, 0.3698, 42.68
315.0, 0.3660, 43.05
316.0, 0.3618, 43.47
317.0, 0.3575, 43.90
318.0, 0.3524, 44.42
319.0, 0.3472, 44.96
320.0, 0.3422, 45.48
321.0, 0.3373, 45.99
322.0, 0.3322, 46.53
323.0, 0.3268, 47.12
324.0, 0.3214, 47.71
325.0, 0.3167, 48.23
326.0, 0.3114, 48.82
327.0, 0.3067, 49.35
328.0, 0.3017, 49.92
329.0, 0.2967, 50.51
330.0, 0.2936, 50.86
331.0, 0.2842, 51.98
332.0, 0.2785, 52.67
333.0, 0.2730, 53.33
334.0, 0.2667, 54.11
335.0, 0.2610, 54.83
336.0, 0.2553, 55.55
337.0, 0.2501, 56.22
338.0, 0.2451, 56.87
339.0, 0.2414, 57.35
340.0, 0.2186, 60.45
341.0, 0.2151, 60.94
342.0, 0.2115, 61.45
343.0, 0.2074, 62.03
344.0, 0.2039, 62.53
345.0, 0.2005, 63.02
346.0, 0.1966, 63.59
347.0, 0.1932, 64.09
348.0, 0.1904, 64.51
349.0, 0.1866, 65.07
350.0, 0.1838, 65.49
351.0, 0.1806, 65.97
352.0, 0.1781, 66.37
353.0, 0.1748, 66.86
354.0, 0.1710, 67.45
355.0, 0.1675, 67.99
356.0, 0.1639, 68.57
357.0, 0.1605, 69.11
358.0, 0.1572, 69.63
359.0, 0.1544, 70.08
360.0, 0.1515, 70.54
361.0, 0.1488, 70.99
362.0, 0.1460, 71.44
363.0, 0.1436, 71.85
364.0, 0.1411, 72.27
365.0, 0.1386, 72.68
366.0, 0.1359, 73.14
367.0, 0.1331, 73.60
368.0, 0.1309, 73.97
369.0, 0.1283, 74.41
370.0, 0.1271, 74.63
371.0, 0.1230, 75.34
372.0, 0.1204, 75.79
373.0, 0.1179, 76.23
374.0, 0.1158, 76.60
375.0, 0.1136, 76.98
376.0, 0.1117, 77.32
377.0, 0.1092, 77.76
378.0, 0.1068, 78.20
379.0, 0.1046, 78.59
380.0, 0.1024, 79.00
381.0, 0.1002, 79.39
382.0, 0.0984, 79.73
383.0, 0.0964, 80.09
384.0, 0.0955, 80.26
385.0, 0.0926, 80.80
386.0, 0.0911, 81.08
387.0, 0.0893, 81.41
388.0, 0.0875, 81.75
389.0, 0.0860, 82.04
390.0, 0.0842, 82.38
391.0, 0.0825, 82.71
392.0, 0.0806, 83.06
393.0, 0.0790, 83.36
394.0, 0.0776, 83.64
395.0, 0.0759, 83.97
396.0, 0.0743, 84.28
397.0, 0.0730, 84.52
398.0, 0.0718, 84.76
399.0, 0.0704, 85.04
400.0, 0.0691, 85.30
401.0, 0.0677, 85.56
402.0, 0.0664, 85.82
403.0, 0.0651, 86.07
404.0, 0.0637, 86.36
405.0, 0.0626, 86.57
406.0, 0.0612, 86.86
407.0, 0.0602, 87.05
408.0, 0.0592, 87.26
409.0, 0.0581, 87.48
410.0, 0.0572, 87.66
411.0, 0.0562, 87.86
412.0, 0.0552, 88.07
413.0, 0.0543, 88.25
414.0, 0.0533, 88.44
415.0, 0.0525, 88.62
416.0, 0.0514, 88.83
417.0, 0.0506, 88.99
418.0, 0.0499, 89.15
419.0, 0.0491, 89.31
420.0, 0.0484, 89.46
421.0, 0.0476, 89.62
422.0, 0.0470, 89.75
423.0, 0.0463, 89.89
424.0, 0.0456, 90.03
425.0, 0.0450, 90.15
426.0, 0.0444, 90.29
427.0, 0.0437, 90.43
428.0, 0.0430, 90.58
429.0, 0.0423, 90.71
430.0, 0.0418, 90.82
431.0, 0.0413, 90.93
432.0, 0.0406, 91.08
433.0, 0.0401, 91.17
434.0, 0.0397, 91.27
435.0, 0.0394, 91.33
436.0, 0.0389, 91.42
437.0, 0.0384, 91.54
438.0, 0.0380, 91.62
439.0, 0.0376, 91.70
440.0, 0.0372, 91.79
441.0, 0.0369, 91.85
442.0, 0.0364, 91.97
443.0, 0.0361, 92.02
444.0, 0.0360, 92.05
445.0, 0.0356, 92.12
446.0, 0.0354, 92.16
447.0, 0.0352, 92.21
448.0, 0.0349, 92.28
449.0, 0.0347, 92.33
450.0, 0.0347, 92.33
451.0, 0.0336, 92.55
452.0, 0.0331, 92.66
453.0, 0.0327, 92.74
454.0, 0.0323, 92.83
455.0, 0.0320, 92.91
456.0, 0.0316, 92.98
457.0, 0.0309, 93.13
458.0, 0.0304, 93.23
459.0, 0.0301, 93.30
460.0, 0.0296, 93.41
461.0, 0.0293, 93.47
462.0, 0.0289, 93.57
463.0, 0.0286, 93.63
464.0, 0.0280, 93.75
465.0, 0.0276, 93.83
466.0, 0.0273, 93.92
467.0, 0.0268, 94.01
468.0, 0.0264, 94.10
469.0, 0.0260, 94.18
470.0, 0.0256, 94.28
471.0, 0.0253, 94.34
472.0, 0.0249, 94.42
473.0, 0.0244, 94.53
474.0, 0.0242, 94.58
475.0, 0.0239, 94.64
476.0, 0.0234, 94.76
477.0, 0.0231, 94.83
478.0, 0.0228, 94.89
479.0, 0.0225, 94.96
480.0, 0.0219, 95.08
481.0, 0.0216, 95.15
482.0, 0.0213, 95.22
483.0, 0.0208, 95.33
484.0, 0.0205, 95.38
485.0, 0.0202, 95.46
486.0, 0.0199, 95.51
487.0, 0.0195, 95.60
488.0, 0.0193, 95.66
489.0, 0.0189, 95.74
490.0, 0.0187, 95.79
491.0, 0.0184, 95.84
492.0, 0.0181, 95.92
493.0, 0.0177, 96.00
494.0, 0.0176, 96.04
495.0, 0.0172, 96.11
496.0, 0.0170, 96.15
497.0, 0.0167, 96.24
498.0, 0.0164, 96.29
499.0, 0.0159, 96.40
500.0, 0.0158, 96.44
501.0, 0.0155, 96.50
502.0, 0.0153, 96.54
503.0, 0.0150, 96.61
504.0, 0.0149, 96.63
505.0, 0.0146, 96.70
506.0, 0.0144, 96.74
507.0, 0.0143, 96.77
508.0, 0.0140, 96.83
509.0, 0.0138, 96.87
510.0, 0.0136, 96.91
511.0, 0.0133, 96.98
512.0, 0.0130, 97.06
513.0, 0.0127, 97.12
514.0, 0.0125, 97.15
515.0, 0.0124, 97.20
516.0, 0.0122, 97.22
517.0, 0.0120, 97.28
518.0, 0.0118, 97.32
519.0, 0.0117, 97.33
520.0, 0.0117, 97.35
521.0, 0.0114, 97.40
522.0, 0.0111, 97.48
523.0, 0.0109, 97.53
524.0, 0.0107, 97.57
525.0, 0.0104, 97.64
526.0, 0.0103, 97.66
527.0, 0.0100, 97.72
528.0, 0.0099, 97.75
529.0, 0.0098, 97.78
530.0, 0.0096, 97.80
531.0, 0.0095, 97.85
532.0, 0.0095, 97.85
533.0, 0.0093, 97.89
534.0, 0.0090, 97.95
535.0, 0.0089, 97.97
536.0, 0.0088, 98.00
537.0, 0.0086, 98.05
538.0, 0.0085, 98.07
539.0, 0.0083, 98.10
540.0, 0.0081, 98.14
541.0, 0.0081, 98.16
542.0, 0.0079, 98.20
543.0, 0.0079, 98.20
544.0, 0.0078, 98.22
545.0, 0.0076, 98.28
546.0, 0.0075, 98.29
547.0, 0.0071, 98.39
548.0, 0.0069, 98.41
549.0, 0.0066, 98.48
550.0, 0.0065, 98.52
551.0, 0.0063, 98.56
552.0, 0.0061, 98.60
553.0, 0.0060, 98.63
554.0, 0.0057, 98.69
555.0, 0.0056, 98.72
556.0, 0.0056, 98.72
557.0, 0.0055, 98.75
558.0, 0.0055, 98.74
559.0, 0.0056, 98.72
560.0, 0.0054, 98.76
561.0, 0.0055, 98.73
562.0, 0.0056, 98.73
563.0, 0.0057, 98.70
564.0, 0.0056, 98.71
565.0, 0.0057, 98.70
566.0, 0.0057, 98.69
567.0, 0.0057, 98.69
568.0, 0.0058, 98.67
569.0, 0.0058, 98.68
570.0, 0.0059, 98.66
571.0, 0.0058, 98.68
572.0, 0.0055, 98.74
573.0, 0.0055, 98.73
574.0, 0.0053, 98.78
575.0, 0.0053, 98.80
576.0, 0.0052, 98.81
577.0, 0.0050, 98.85
578.0, 0.0048, 98.91
579.0, 0.0046, 98.95
580.0, 0.0046, 98.95
581.0, 0.0043, 99.02
582.0, 0.0043, 99.00
583.0, 0.0042, 99.04
584.0, 0.0043, 99.02
585.0, 0.0043, 99.00
586.0, 0.0034, 99.21
587.0, 0.0034, 99.22
588.0, 0.0034, 99.21
589.0, 0.0036, 99.18
590.0, 0.0035, 99.19
591.0, 0.0036, 99.17
592.0, 0.0036, 99.17
593.0, 0.0037, 99.16
594.0, 0.0038, 99.14
595.0, 0.0037, 99.15
596.0, 0.0038, 99.12
597.0, 0.0039, 99.12
598.0, 0.0037, 99.16
599.0, 0.0037, 99.16
600.0, 0.0036, 99.18
601.0, 0.0035, 99.21
602.0, 0.0034, 99.21
603.0, 0.0034, 99.21
604.0, 0.0033, 99.25
605.0, 0.0032, 99.26
606.0, 0.0033, 99.24
607.0, 0.0032, 99.26
608.0, 0.0032, 99.26
609.0, 0.0032, 99.27
610.0, 0.0031, 99.28
611.0, 0.0031, 99.29
612.0, 0.0030, 99.32
613.0, 0.0029, 99.34
614.0, 0.0028, 99.36
615.0, 0.0029, 99.34
616.0, 0.0029, 99.34
617.0, 0.0029, 99.34
618.0, 0.0028, 99.35
619.0, 0.0028, 99.36
620.0, 0.0028, 99.35
621.0, 0.0027, 99.39
622.0, 0.0026, 99.40
