Sample Name, Sample-35
Time, February 05 11:57:01 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.5033, 3.14
231.0, 1.5002, 3.16
232.0, 1.4962, 3.19
233.0, 1.4938, 3.21
234.0, 1.4888, 3.24
235.0, 1.4825, 3.29
236.0, 1.4766, 3.34
237.0, 1.4700, 3.39
238.0, 1.4626, 3.45
239.0, 1.4542, 3.51
240.0, 1.4463, 3.58
241.0, 1.4381, 3.65
242.0, 1.4292, 3.72
243.0, 1.4211, 3.79
244.0, 1.4132, 3.86
245.0, 1.4031, 3.95
246.0, 1.3942, 4.03
247.0, 1.3843, 4.13
248.0, 1.3748, 4.22
249.0, 1.3652, 4.31
250.0, 1.3564, 4.40
251.0, 1.3468, 4.50
252.0, 1.3385, 4.59
253.0, 1.3303, 4.67
254.0, 1.3219, 4.77
255.0, 1.3134, 4.86
256.0, 1.3057, 4.95
257.0, 1.2974, 5.04
258.0, 1.2934, 5.09
259.0, 1.2786, 5.27
260.0, 1.2691, 5.38
261.0, 1.2612, 5.48
262.0, 1.2518, 5.60
263.0, 1.2430, 5.71
264.0, 1.2332, 5.85
265.0, 1.2244, 5.97
266.0, 1.2158, 6.08
267.0, 1.2084, 6.19
268.0, 1.2008, 6.30
269.0, 1.1932, 6.41
270.0, 1.1844, 6.54
271.0, 1.1757, 6.67
272.0, 1.1679, 6.79
273.0, 1.1600, 6.92
274.0, 1.1523, 7.04
275.0, 1.1446, 7.17
276.0, 1.1377, 7.28
277.0, 1.1296, 7.42
278.0, 1.1233, 7.53
279.0, 1.1173, 7.63
280.0, 1.1109, 7.75
281.0, 1.1042, 7.87
282.0, 1.0968, 8.00
283.0, 1.0888, 8.15
284.0, 1.0812, 8.30
285.0, 1.0732, 8.45
286.0, 1.0650, 8.61
287.0, 1.0571, 8.77
288.0, 1.0498, 8.92
289.0, 1.0418, 9.08
290.0, 1.0343, 9.24
291.0, 1.0276, 9.38
292.0, 1.0205, 9.54
293.0, 1.0133, 9.70
294.0, 1.0054, 9.88
295.0, 0.9975, 10.06
296.0, 0.9908, 10.21
297.0, 0.9839, 10.38
298.0, 0.9796, 10.48
299.0, 0.9676, 10.77
300.0, 0.9606, 10.95
301.0, 0.9526, 11.15
302.0, 0.9457, 11.33
303.0, 0.9385, 11.52
304.0, 0.9320, 11.70
305.0, 0.9242, 11.91
306.0, 0.9160, 12.13
307.0, 0.9082, 12.35
308.0, 0.9005, 12.57
309.0, 0.8924, 12.81
310.0, 0.8845, 13.05
311.0, 0.8761, 13.30
312.0, 0.8679, 13.55
313.0, 0.8601, 13.80
314.0, 0.8526, 14.04
315.0, 0.8453, 14.28
316.0, 0.8381, 14.52
317.0, 0.8303, 14.78
318.0, 0.8217, 15.08
319.0, 0.8133, 15.37
320.0, 0.8044, 15.69
321.0, 0.7961, 15.99
322.0, 0.7877, 16.30
323.0, 0.7792, 16.63
324.0, 0.7705, 16.96
325.0, 0.7627, 17.27
326.0, 0.7548, 17.59
327.0, 0.7470, 17.91
328.0, 0.7394, 18.22
329.0, 0.7325, 18.51
330.0, 0.7286, 18.68
331.0, 0.7150, 19.27
332.0, 0.7069, 19.64
333.0, 0.6984, 20.03
334.0, 0.6907, 20.39
335.0, 0.6831, 20.75
336.0, 0.6750, 21.13
337.0, 0.6676, 21.50
338.0, 0.6609, 21.83
339.0, 0.6545, 22.15
340.0, 0.5662, 27.15
341.0, 0.5649, 27.23
342.0, 0.5635, 27.32
343.0, 0.5625, 27.38
344.0, 0.5609, 27.49
345.0, 0.5588, 27.62
346.0, 0.5572, 27.72
347.0, 0.5563, 27.78
348.0, 0.5554, 27.84
349.0, 0.5531, 27.98
350.0, 0.5520, 28.05
351.0, 0.5506, 28.14
352.0, 0.5486, 28.28
353.0, 0.5459, 28.45
354.0, 0.5428, 28.66
355.0, 0.5392, 28.90
356.0, 0.5352, 29.16
357.0, 0.5320, 29.38
358.0, 0.5275, 29.69
359.0, 0.5237, 29.95
360.0, 0.5192, 30.25
361.0, 0.5153, 30.53
362.0, 0.5108, 30.84
363.0, 0.5068, 31.13
364.0, 0.5023, 31.45
365.0, 0.4973, 31.82
366.0, 0.4914, 32.26
367.0, 0.4847, 32.75
368.0, 0.4784, 33.24
369.0, 0.4722, 33.71
370.0, 0.4685, 34.00
371.0, 0.4868, 32.60
372.0, 0.4833, 32.86
373.0, 0.4804, 33.09
374.0, 0.4770, 33.35
375.0, 0.4736, 33.60
376.0, 0.4709, 33.82
377.0, 0.4677, 34.07
378.0, 0.4640, 34.36
379.0, 0.4605, 34.64
380.0, 0.4570, 34.91
381.0, 0.4537, 35.18
382.0, 0.4506, 35.43
383.0, 0.4471, 35.72
384.0, 0.4452, 35.87
385.0, 0.4396, 36.34
386.0, 0.4364, 36.61
387.0, 0.4331, 36.89
388.0, 0.4299, 37.16
389.0, 0.4267, 37.44
390.0, 0.4231, 37.74
391.0, 0.4196, 38.06
392.0, 0.4160, 38.37
393.0, 0.4123, 38.69
394.0, 0.4090, 38.99
395.0, 0.4052, 39.34
396.0, 0.4016, 39.66
397.0, 0.3986, 39.94
398.0, 0.3956, 40.21
399.0, 0.3924, 40.51
