Sample Name, Sample-39
Time, February 05 12:08:04 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6397, 22.93
231.0, 0.6355, 23.14
232.0, 0.6315, 23.36
233.0, 0.6275, 23.58
234.0, 0.6230, 23.82
235.0, 0.6189, 24.05
236.0, 0.6149, 24.27
237.0, 0.6109, 24.50
238.0, 0.6071, 24.71
239.0, 0.6029, 24.95
240.0, 0.5989, 25.18
241.0, 0.5950, 25.41
242.0, 0.5912, 25.64
243.0, 0.5878, 25.84
244.0, 0.5843, 26.04
245.0, 0.5805, 26.27
246.0, 0.5767, 26.50
247.0, 0.5728, 26.74
248.0, 0.5690, 26.98
249.0, 0.5656, 27.19
250.0, 0.5618, 27.43
251.0, 0.5584, 27.64
252.0, 0.5547, 27.88
253.0, 0.5512, 28.11
254.0, 0.5482, 28.30
255.0, 0.5451, 28.50
256.0, 0.5422, 28.70
257.0, 0.5392, 28.89
258.0, 0.5374, 29.02
259.0, 0.5320, 29.38
260.0, 0.5287, 29.60
261.0, 0.5258, 29.80
262.0, 0.5225, 30.03
263.0, 0.5193, 30.25
264.0, 0.5158, 30.49
265.0, 0.5125, 30.72
266.0, 0.5095, 30.94
267.0, 0.5065, 31.15
268.0, 0.5037, 31.36
269.0, 0.5007, 31.57
270.0, 0.4975, 31.81
271.0, 0.4943, 32.04
272.0, 0.4909, 32.29
273.0, 0.4877, 32.53
274.0, 0.4845, 32.77
275.0, 0.4811, 33.03
276.0, 0.4781, 33.26
277.0, 0.4748, 33.51
278.0, 0.4720, 33.73
279.0, 0.4695, 33.93
280.0, 0.4663, 34.18
281.0, 0.4630, 34.43
282.0, 0.4596, 34.70
283.0, 0.4560, 34.99
284.0, 0.4526, 35.27
285.0, 0.4490, 35.56
286.0, 0.4456, 35.84
287.0, 0.4419, 36.15
288.0, 0.4382, 36.46
289.0, 0.4348, 36.75
