Sample Name, Sample-14
Time, February 13 16:28:21 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1576, 6.96
231.0, 1.1450, 7.16
232.0, 1.1324, 7.37
233.0, 1.1176, 7.63
234.0, 1.1027, 7.89
235.0, 1.0880, 8.17
236.0, 1.0733, 8.45
237.0, 1.0585, 8.74
238.0, 1.0441, 9.04
239.0, 1.0291, 9.35
240.0, 1.0142, 9.68
241.0, 0.9991, 10.02
242.0, 0.9861, 10.33
243.0, 0.9729, 10.64
244.0, 0.9604, 10.96
245.0, 0.9468, 11.30
246.0, 0.9332, 11.66
247.0, 0.9201, 12.02
248.0, 0.9076, 12.37
249.0, 0.8959, 12.71
250.0, 0.8842, 13.06
251.0, 0.8726, 13.41
252.0, 0.8615, 13.76
253.0, 0.8508, 14.10
254.0, 0.8419, 14.39
255.0, 0.8328, 14.70
256.0, 0.8244, 14.98
257.0, 0.8158, 15.28
258.0, 0.8099, 15.49
259.0, 0.7949, 16.04
260.0, 0.7858, 16.38
261.0, 0.7767, 16.72
262.0, 0.7674, 17.08
263.0, 0.7579, 17.46
264.0, 0.7485, 17.84
265.0, 0.7392, 18.23
266.0, 0.7304, 18.60
267.0, 0.7218, 18.97
268.0, 0.7135, 19.34
269.0, 0.7044, 19.75
270.0, 0.6948, 20.19
271.0, 0.6855, 20.63
272.0, 0.6764, 21.07
273.0, 0.6673, 21.51
274.0, 0.6581, 21.97
275.0, 0.6491, 22.43
276.0, 0.6404, 22.89
277.0, 0.6318, 23.35
278.0, 0.6241, 23.76
279.0, 0.6162, 24.20
280.0, 0.6087, 24.62
281.0, 0.6011, 25.05
282.0, 0.5925, 25.55
283.0, 0.5842, 26.05
284.0, 0.5764, 26.52
285.0, 0.5683, 27.02
286.0, 0.5602, 27.53
287.0, 0.5521, 28.05
288.0, 0.5436, 28.60
289.0, 0.5355, 29.14
290.0, 0.5280, 29.65
291.0, 0.5211, 30.12
292.0, 0.5143, 30.60
293.0, 0.5076, 31.08
294.0, 0.5001, 31.61
295.0, 0.4930, 32.14
296.0, 0.4865, 32.62
297.0, 0.4805, 33.07
298.0, 0.4772, 33.32
299.0, 0.4674, 34.09
300.0, 0.4613, 34.57
301.0, 0.4558, 35.01
302.0, 0.4505, 35.44
303.0, 0.4454, 35.86
304.0, 0.4401, 36.30
305.0, 0.4350, 36.73
306.0, 0.4299, 37.16
307.0, 0.4246, 37.62
308.0, 0.4193, 38.08
309.0, 0.4140, 38.55
310.0, 0.4091, 38.99
311.0, 0.4041, 39.44
312.0, 0.3991, 39.89
313.0, 0.3942, 40.34
314.0, 0.3897, 40.76
315.0, 0.3854, 41.17
316.0, 0.3807, 41.62
317.0, 0.3759, 42.08
318.0, 0.3706, 42.60
319.0, 0.3656, 43.10
320.0, 0.3607, 43.58
321.0, 0.3557, 44.08
322.0, 0.3507, 44.60
323.0, 0.3456, 45.12
324.0, 0.3405, 45.66
325.0, 0.3357, 46.17
326.0, 0.3308, 46.69
327.0, 0.3266, 47.15
328.0, 0.3222, 47.63
329.0, 0.3177, 48.11
330.0, 0.3148, 48.43
331.0, 0.3070, 49.32
332.0, 0.3020, 49.89
333.0, 0.2974, 50.42
334.0, 0.2924, 51.00
335.0, 0.2874, 51.60
336.0, 0.2826, 52.17
337.0, 0.2780, 52.72
338.0, 0.2737, 53.25
339.0, 0.2714, 53.52
340.0, 0.2618, 54.72
341.0, 0.2570, 55.34
342.0, 0.2526, 55.89
343.0, 0.2486, 56.41
344.0, 0.2449, 56.90
345.0, 0.2408, 57.44
346.0, 0.2367, 57.98
347.0, 0.2332, 58.46
348.0, 0.2294, 58.97
349.0, 0.2256, 59.48
350.0, 0.2226, 59.89
351.0, 0.2189, 60.41
352.0, 0.2155, 60.88
353.0, 0.2123, 61.33
354.0, 0.2086, 61.85
355.0, 0.2049, 62.38
356.0, 0.2019, 62.82
357.0, 0.1985, 63.32
358.0, 0.1952, 63.80
359.0, 0.1921, 64.25
360.0, 0.1888, 64.74
361.0, 0.1858, 65.19
362.0, 0.1829, 65.62
363.0, 0.1806, 65.98
364.0, 0.1777, 66.42
365.0, 0.1751, 66.82
366.0, 0.1723, 67.26
367.0, 0.1692, 67.73
368.0, 0.1664, 68.17
369.0, 0.1639, 68.56
370.0, 0.1625, 68.78
371.0, 0.1588, 69.37
372.0, 0.1564, 69.76
373.0, 0.1543, 70.10
374.0, 0.1521, 70.46
375.0, 0.1499, 70.82
376.0, 0.1478, 71.15
377.0, 0.1458, 71.48
378.0, 0.1436, 71.85
379.0, 0.1413, 72.23
380.0, 0.1390, 72.60
381.0, 0.1370, 72.95
382.0, 0.1348, 73.32
383.0, 0.1331, 73.61
