Sample Name, Sample-151
Time, February 05 18:56:36 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1692, 6.77
231.0, 1.1607, 6.91
232.0, 1.1505, 7.07
233.0, 1.1394, 7.25
234.0, 1.1265, 7.47
235.0, 1.1132, 7.71
236.0, 1.0993, 7.96
237.0, 1.0857, 8.21
238.0, 1.0713, 8.49
239.0, 1.0568, 8.77
240.0, 1.0418, 9.08
241.0, 1.0273, 9.39
242.0, 1.0133, 9.70
243.0, 1.0009, 9.98
244.0, 0.9885, 10.27
245.0, 0.9756, 10.58
246.0, 0.9624, 10.90
247.0, 0.9502, 11.22
248.0, 0.9391, 11.50
249.0, 0.9279, 11.81
250.0, 0.9174, 12.09
251.0, 0.9067, 12.40
252.0, 0.8976, 12.66
253.0, 0.8884, 12.93
254.0, 0.8799, 13.19
255.0, 0.8718, 13.43
256.0, 0.8637, 13.69
257.0, 0.8555, 13.95
258.0, 0.8505, 14.11
259.0, 0.8358, 14.59
260.0, 0.8261, 14.92
261.0, 0.8166, 15.25
262.0, 0.8065, 15.61
263.0, 0.7963, 15.98
264.0, 0.7862, 16.36
265.0, 0.7756, 16.76
266.0, 0.7657, 17.15
267.0, 0.7563, 17.53
268.0, 0.7470, 17.91
269.0, 0.7372, 18.32
270.0, 0.7265, 18.77
271.0, 0.7162, 19.22
272.0, 0.7060, 19.68
273.0, 0.6959, 20.14
274.0, 0.6864, 20.59
275.0, 0.6767, 21.05
276.0, 0.6675, 21.50
277.0, 0.6585, 21.95
278.0, 0.6501, 22.38
279.0, 0.6425, 22.78
280.0, 0.6347, 23.19
281.0, 0.6263, 23.64
282.0, 0.6177, 24.12
283.0, 0.6087, 24.62
284.0, 0.5999, 25.13
285.0, 0.5913, 25.63
286.0, 0.5830, 26.12
287.0, 0.5745, 26.64
288.0, 0.5662, 27.15
289.0, 0.5580, 27.67
290.0, 0.5508, 28.13
291.0, 0.5441, 28.57
292.0, 0.5370, 29.04
293.0, 0.5295, 29.55
294.0, 0.5223, 30.04
295.0, 0.5155, 30.51
296.0, 0.5087, 30.99
297.0, 0.5027, 31.43
298.0, 0.4991, 31.69
299.0, 0.4892, 32.42
300.0, 0.4831, 32.87
301.0, 0.4771, 33.33
302.0, 0.4719, 33.74
303.0, 0.4672, 34.10
304.0, 0.4622, 34.50
305.0, 0.4569, 34.92
306.0, 0.4515, 35.36
307.0, 0.4461, 35.80
308.0, 0.4411, 36.22
309.0, 0.4360, 36.64
310.0, 0.4308, 37.09
311.0, 0.4253, 37.56
312.0, 0.4202, 38.00
313.0, 0.4148, 38.47
314.0, 0.4098, 38.92
315.0, 0.4051, 39.35
316.0, 0.4000, 39.81
317.0, 0.3946, 40.31
318.0, 0.3888, 40.85
319.0, 0.3830, 41.40
320.0, 0.3768, 42.00
321.0, 0.3712, 42.54
322.0, 0.3656, 43.09
323.0, 0.3595, 43.70
