Sample Name, Sample-152
Time, February 05 18:58:57 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1071, 7.81
231.0, 1.0977, 7.99
232.0, 1.0875, 8.17
233.0, 1.0755, 8.40
234.0, 1.0624, 8.66
235.0, 1.0489, 8.93
236.0, 1.0346, 9.24
237.0, 1.0206, 9.54
238.0, 1.0056, 9.87
239.0, 0.9905, 10.22
240.0, 0.9752, 10.59
241.0, 0.9606, 10.95
242.0, 0.9468, 11.30
243.0, 0.9336, 11.65
244.0, 0.9203, 12.02
245.0, 0.9071, 12.38
246.0, 0.8929, 12.80
247.0, 0.8797, 13.19
248.0, 0.8669, 13.59
249.0, 0.8545, 13.98
250.0, 0.8428, 14.36
251.0, 0.8317, 14.73
252.0, 0.8207, 15.11
253.0, 0.8098, 15.49
254.0, 0.8002, 15.84
255.0, 0.7909, 16.18
256.0, 0.7816, 16.53
257.0, 0.7725, 16.88
258.0, 0.7667, 17.11
259.0, 0.7491, 17.82
260.0, 0.7379, 18.29
261.0, 0.7272, 18.74
262.0, 0.7154, 19.26
263.0, 0.7036, 19.79
264.0, 0.6915, 20.35
265.0, 0.6795, 20.92
266.0, 0.6678, 21.49
267.0, 0.6565, 22.05
268.0, 0.6455, 22.62
269.0, 0.6335, 23.26
270.0, 0.6204, 23.97
271.0, 0.6078, 24.67
272.0, 0.5958, 25.36
273.0, 0.5839, 26.07
274.0, 0.5723, 26.77
275.0, 0.5608, 27.49
276.0, 0.5502, 28.17
277.0, 0.5402, 28.83
278.0, 0.5310, 29.45
279.0, 0.5223, 30.04
280.0, 0.5138, 30.64
281.0, 0.5048, 31.28
282.0, 0.4953, 31.97
283.0, 0.4863, 32.64
284.0, 0.4777, 33.29
285.0, 0.4694, 33.93
286.0, 0.4613, 34.57
287.0, 0.4535, 35.20
288.0, 0.4458, 35.82
289.0, 0.4386, 36.43
290.0, 0.4320, 36.98
291.0, 0.4262, 37.48
292.0, 0.4202, 38.00
293.0, 0.4143, 38.52
294.0, 0.4080, 39.08
295.0, 0.4023, 39.60
296.0, 0.3968, 40.10
297.0, 0.3917, 40.57
298.0, 0.3890, 40.83
299.0, 0.3810, 41.59
300.0, 0.3763, 42.04
301.0, 0.3716, 42.50
302.0, 0.3675, 42.90
303.0, 0.3637, 43.28
304.0, 0.3600, 43.66
305.0, 0.3558, 44.08
306.0, 0.3515, 44.51
307.0, 0.3471, 44.97
308.0, 0.3432, 45.38
309.0, 0.3390, 45.82
310.0, 0.3349, 46.25
311.0, 0.3310, 46.67
312.0, 0.3272, 47.07
313.0, 0.3231, 47.52
314.0, 0.3194, 47.93
315.0, 0.3158, 48.33
316.0, 0.3122, 48.73
317.0, 0.3083, 49.17
318.0, 0.3042, 49.64
319.0, 0.3000, 50.12
320.0, 0.2959, 50.60
321.0, 0.2917, 51.09
322.0, 0.2874, 51.59
323.0, 0.2827, 52.15
324.0, 0.2782, 52.70
325.0, 0.2739, 53.23
326.0, 0.2697, 53.75
327.0, 0.2658, 54.22
328.0, 0.2615, 54.76
329.0, 0.2572, 55.31
330.0, 0.2546, 55.65
331.0, 0.2468, 56.65
332.0, 0.2418, 57.30
333.0, 0.2370, 57.95
334.0, 0.2322, 58.58
335.0, 0.2272, 59.27
336.0, 0.2224, 59.92
337.0, 0.2180, 60.53
338.0, 0.2136, 61.15
339.0, 0.2106, 61.57
340.0, 0.1881, 64.84
341.0, 0.1856, 65.23
342.0, 0.1822, 65.74
343.0, 0.1788, 66.26
344.0, 0.1756, 66.74
345.0, 0.1725, 67.22
346.0, 0.1695, 67.68
347.0, 0.1666, 68.14
348.0, 0.1643, 68.50
349.0, 0.1612, 68.99
350.0, 0.1588, 69.37
351.0, 0.1560, 69.82
352.0, 0.1535, 70.23
353.0, 0.1508, 70.67
354.0, 0.1477, 71.16
355.0, 0.1447, 71.66
356.0, 0.1418, 72.15
357.0, 0.1390, 72.61
358.0, 0.1363, 73.06
359.0, 0.1340, 73.45
360.0, 0.1316, 73.85
361.0, 0.1291, 74.29
362.0, 0.1268, 74.68
363.0, 0.1248, 75.03
364.0, 0.1227, 75.38
365.0, 0.1202, 75.83
366.0, 0.1177, 76.26
367.0, 0.1155, 76.65
368.0, 0.1128, 77.12
369.0, 0.1109, 77.46
370.0, 0.1100, 77.62
371.0, 0.1068, 78.20
372.0, 0.1046, 78.59
373.0, 0.1026, 78.95
374.0, 0.1008, 79.29
375.0, 0.0989, 79.64
376.0, 0.0968, 80.03
377.0, 0.0947, 80.41
378.0, 0.0928, 80.77
379.0, 0.0910, 81.09
380.0, 0.0890, 81.47
381.0, 0.0871, 81.82
382.0, 0.0857, 82.10
383.0, 0.0839, 82.43
384.0, 0.0832, 82.57
385.0, 0.0806, 83.05
386.0, 0.0794, 83.30
387.0, 0.0778, 83.61
388.0, 0.0764, 83.86
389.0, 0.0750, 84.13
390.0, 0.0736, 84.40
391.0, 0.0722, 84.68
392.0, 0.0706, 84.99
393.0, 0.0692, 85.28
394.0, 0.0680, 85.51
395.0, 0.0665, 85.80
396.0, 0.0653, 86.05
397.0, 0.0641, 86.28
398.0, 0.0629, 86.52
399.0, 0.0616, 86.77
400.0, 0.0605, 86.99
401.0, 0.0596, 87.17
402.0, 0.0585, 87.40
403.0, 0.0575, 87.61
404.0, 0.0562, 87.86
405.0, 0.0553, 88.05
