Sample Name, Sample-67
Time, February 05 13:22:11 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.4377, 36.50
231.0, 0.4337, 36.84
232.0, 0.4296, 37.19
233.0, 0.4256, 37.53
234.0, 0.4215, 37.89
235.0, 0.4175, 38.23
236.0, 0.4137, 38.57
237.0, 0.4099, 38.91
238.0, 0.4063, 39.24
239.0, 0.4027, 39.56
240.0, 0.3989, 39.91
241.0, 0.3956, 40.22
242.0, 0.3924, 40.51
243.0, 0.3895, 40.78
244.0, 0.3864, 41.07
245.0, 0.3834, 41.36
246.0, 0.3802, 41.67
247.0, 0.3771, 41.96
248.0, 0.3743, 42.24
249.0, 0.3713, 42.53
250.0, 0.3688, 42.78
251.0, 0.3661, 43.04
252.0, 0.3634, 43.31
253.0, 0.3609, 43.56
254.0, 0.3588, 43.77
255.0, 0.3568, 43.98
256.0, 0.3547, 44.19
257.0, 0.3527, 44.39
258.0, 0.3517, 44.49
259.0, 0.3480, 44.87
260.0, 0.3459, 45.09
261.0, 0.3439, 45.30
262.0, 0.3417, 45.53
263.0, 0.3397, 45.74
264.0, 0.3377, 45.95
265.0, 0.3358, 46.15
266.0, 0.3341, 46.33
267.0, 0.3322, 46.54
268.0, 0.3304, 46.73
269.0, 0.3286, 46.93
270.0, 0.3266, 47.15
271.0, 0.3246, 47.36
272.0, 0.3225, 47.58
273.0, 0.3206, 47.79
274.0, 0.3188, 47.99
275.0, 0.3170, 48.20
276.0, 0.3149, 48.43
277.0, 0.3130, 48.64
278.0, 0.3113, 48.83
279.0, 0.3093, 49.06
280.0, 0.3073, 49.28
281.0, 0.3053, 49.51
282.0, 0.3029, 49.78
283.0, 0.3003, 50.08
284.0, 0.2978, 50.37
285.0, 0.2951, 50.68
286.0, 0.2925, 50.99
287.0, 0.2899, 51.30
288.0, 0.2873, 51.61
289.0, 0.2848, 51.90
290.0, 0.2822, 52.22
291.0, 0.2798, 52.50
292.0, 0.2776, 52.78
293.0, 0.2749, 53.10
294.0, 0.2722, 53.43
295.0, 0.2696, 53.75
296.0, 0.2673, 54.04
297.0, 0.2651, 54.31
298.0, 0.2638, 54.48
299.0, 0.2599, 54.97
300.0, 0.2577, 55.25
301.0, 0.2555, 55.53
302.0, 0.2534, 55.80
303.0, 0.2516, 56.03
304.0, 0.2498, 56.26
305.0, 0.2476, 56.55
306.0, 0.2455, 56.82
307.0, 0.2431, 57.13
308.0, 0.2409, 57.43
309.0, 0.2387, 57.71
310.0, 0.2367, 57.98
311.0, 0.2342, 58.31
312.0, 0.2322, 58.59
313.0, 0.2301, 58.87
314.0, 0.2280, 59.15
315.0, 0.2261, 59.41
316.0, 0.2243, 59.66
317.0, 0.2221, 59.96
318.0, 0.2198, 60.28
319.0, 0.2176, 60.59
320.0, 0.2152, 60.93
321.0, 0.2128, 61.26
322.0, 0.2108, 61.55
323.0, 0.2083, 61.90
324.0, 0.2061, 62.22
325.0, 0.2037, 62.57
326.0, 0.2013, 62.90
327.0, 0.1995, 63.17
328.0, 0.1976, 63.44
329.0, 0.1955, 63.76
330.0, 0.1938, 64.00
331.0, 0.1899, 64.58
332.0, 0.1874, 64.95
333.0, 0.1852, 65.28
334.0, 0.1830, 65.61
335.0, 0.1808, 65.95
336.0, 0.1786, 66.29
337.0, 0.1768, 66.56
338.0, 0.1749, 66.84
339.0, 0.1737, 67.04
340.0, 0.1673, 68.03
341.0, 0.1657, 68.28
342.0, 0.1645, 68.48
343.0, 0.1630, 68.70
344.0, 0.1616, 68.93
345.0, 0.1600, 69.18
346.0, 0.1585, 69.43
347.0, 0.1574, 69.60
348.0, 0.1563, 69.77
349.0, 0.1547, 70.04
350.0, 0.1539, 70.17
351.0, 0.1529, 70.32
352.0, 0.1520, 70.47
353.0, 0.1504, 70.74
354.0, 0.1489, 70.98
355.0, 0.1476, 71.19
356.0, 0.1459, 71.46
357.0, 0.1447, 71.67
358.0, 0.1433, 71.90
359.0, 0.1420, 72.11
360.0, 0.1405, 72.36
361.0, 0.1395, 72.53
362.0, 0.1383, 72.73
363.0, 0.1371, 72.93
364.0, 0.1358, 73.14
365.0, 0.1350, 73.28
366.0, 0.1337, 73.49
367.0, 0.1324, 73.73
368.0, 0.1310, 73.95
369.0, 0.1304, 74.07
370.0, 0.1302, 74.09
371.0, 0.1263, 74.77
372.0, 0.1248, 75.02
373.0, 0.1237, 75.22
374.0, 0.1224, 75.44
375.0, 0.1211, 75.66
376.0, 0.1202, 75.82
377.0, 0.1187, 76.09
378.0, 0.1173, 76.33
379.0, 0.1162, 76.53
380.0, 0.1145, 76.82
381.0, 0.1136, 76.98
382.0, 0.1126, 77.17
383.0, 0.1113, 77.39
384.0, 0.1108, 77.48
385.0, 0.1085, 77.90
386.0, 0.1076, 78.06
387.0, 0.1063, 78.28
388.0, 0.1053, 78.47
389.0, 0.1041, 78.69
390.0, 0.1031, 78.87
391.0, 0.1019, 79.09
392.0, 0.1009, 79.27
393.0, 0.0998, 79.47
394.0, 0.0989, 79.64
395.0, 0.0980, 79.80
396.0, 0.0968, 80.01
397.0, 0.0959, 80.19
398.0, 0.0949, 80.36
399.0, 0.0942, 80.50
400.0, 0.0933, 80.68
401.0, 0.0925, 80.81
402.0, 0.0915, 81.01
403.0, 0.0906, 81.16
404.0, 0.0895, 81.37
405.0, 0.0889, 81.48
406.0, 0.0880, 81.66
407.0, 0.0872, 81.82
408.0, 0.0864, 81.97
409.0, 0.0856, 82.11
410.0, 0.0849, 82.23
411.0, 0.0842, 82.37
412.0, 0.0836, 82.49
413.0, 0.0828, 82.64
414.0, 0.0820, 82.79
415.0, 0.0814, 82.92
416.0, 0.0808, 83.03
417.0, 0.0801, 83.16
418.0, 0.0794, 83.30
419.0, 0.0789, 83.38
420.0, 0.0785, 83.47
421.0, 0.0777, 83.63
422.0, 0.0772, 83.72
423.0, 0.0766, 83.82
424.0, 0.0762, 83.91
425.0, 0.0757, 84.01
426.0, 0.0750, 84.13
427.0, 0.0746, 84.21
428.0, 0.0739, 84.36
429.0, 0.0735, 84.43
430.0, 0.0730, 84.53
431.0, 0.0725, 84.62
432.0, 0.0719, 84.74
433.0, 0.0715, 84.82
434.0, 0.0712, 84.87
435.0, 0.0707, 84.98
436.0, 0.0701, 85.09
437.0, 0.0699, 85.14
438.0, 0.0694, 85.22
439.0, 0.0692, 85.27
440.0, 0.0688, 85.36
441.0, 0.0684, 85.43
442.0, 0.0680, 85.52
443.0, 0.0677, 85.57
444.0, 0.0675, 85.60
445.0, 0.0671, 85.68
446.0, 0.0670, 85.71
447.0, 0.0668, 85.75
448.0, 0.0664, 85.82
449.0, 0.0663, 85.85
450.0, 0.0661, 85.88
451.0, 0.0652, 86.06
452.0, 0.0647, 86.17
453.0, 0.0643, 86.23
454.0, 0.0637, 86.36
455.0, 0.0633, 86.44
456.0, 0.0629, 86.52
457.0, 0.0624, 86.62
458.0, 0.0618, 86.73
459.0, 0.0614, 86.81
460.0, 0.0611, 86.87
461.0, 0.0606, 86.97
462.0, 0.0602, 87.06
463.0, 0.0599, 87.12
464.0, 0.0594, 87.22
465.0, 0.0589, 87.32
466.0, 0.0585, 87.39
467.0, 0.0582, 87.46
468.0, 0.0577, 87.55
469.0, 0.0575, 87.61
470.0, 0.0571, 87.68
471.0, 0.0567, 87.76
472.0, 0.0563, 87.85
473.0, 0.0558, 87.95
474.0, 0.0554, 88.02
475.0, 0.0551, 88.08
476.0, 0.0543, 88.24
477.0, 0.0539, 88.32
478.0, 0.0535, 88.41
479.0, 0.0532, 88.47
480.0, 0.0527, 88.58
481.0, 0.0523, 88.66
482.0, 0.0519, 88.73
483.0, 0.0514, 88.83
484.0, 0.0509, 88.93
485.0, 0.0503, 89.06
486.0, 0.0501, 89.10
487.0, 0.0498, 89.17
488.0, 0.0493, 89.27
489.0, 0.0489, 89.36
490.0, 0.0485, 89.44
491.0, 0.0480, 89.54
492.0, 0.0475, 89.64
493.0, 0.0470, 89.74
494.0, 0.0468, 89.79
495.0, 0.0463, 89.89
496.0, 0.0459, 89.97
497.0, 0.0456, 90.03
498.0, 0.0451, 90.14
499.0, 0.0445, 90.26
500.0, 0.0441, 90.34
501.0, 0.0437, 90.44
502.0, 0.0434, 90.49
503.0, 0.0430, 90.58
504.0, 0.0426, 90.65
505.0, 0.0422, 90.73
506.0, 0.0418, 90.82
507.0, 0.0416, 90.86
508.0, 0.0412, 90.94
509.0, 0.0409, 91.01
510.0, 0.0405, 91.09
511.0, 0.0402, 91.17
512.0, 0.0398, 91.24
513.0, 0.0394, 91.32
514.0, 0.0391, 91.38
515.0, 0.0387, 91.47
516.0, 0.0384, 91.54
517.0, 0.0381, 91.60
518.0, 0.0377, 91.68
519.0, 0.0374, 91.74
520.0, 0.0373, 91.77
521.0, 0.0370, 91.82
522.0, 0.0366, 91.92
523.0, 0.0362, 92.00
524.0, 0.0358, 92.09
525.0, 0.0356, 92.14
526.0, 0.0353, 92.20
527.0, 0.0349, 92.27
528.0, 0.0346, 92.33
529.0, 0.0343, 92.41
530.0, 0.0340, 92.46
531.0, 0.0337, 92.53
532.0, 0.0337, 92.52
533.0, 0.0334, 92.60
534.0, 0.0331, 92.67
535.0, 0.0327, 92.74
536.0, 0.0324, 92.80
537.0, 0.0322, 92.85
538.0, 0.0320, 92.89
539.0, 0.0316, 92.97
540.0, 0.0314, 93.03
541.0, 0.0312, 93.06
542.0, 0.0310, 93.11
543.0, 0.0309, 93.13
544.0, 0.0308, 93.16
545.0, 0.0305, 93.23
546.0, 0.0302, 93.29
547.0, 0.0296, 93.42
548.0, 0.0293, 93.47
549.0, 0.0289, 93.55
550.0, 0.0288, 93.59
551.0, 0.0285, 93.66
552.0, 0.0282, 93.72
553.0, 0.0279, 93.79
554.0, 0.0276, 93.84
555.0, 0.0273, 93.91
556.0, 0.0273, 93.92
557.0, 0.0271, 93.96
558.0, 0.0270, 93.98
559.0, 0.0268, 94.01
560.0, 0.0266, 94.07
561.0, 0.0265, 94.07
562.0, 0.0265, 94.08
563.0, 0.0265, 94.07
564.0, 0.0265, 94.08
565.0, 0.0264, 94.10
566.0, 0.0264, 94.10
567.0, 0.0264, 94.10
568.0, 0.0263, 94.12
569.0, 0.0262, 94.15
570.0, 0.0260, 94.18
571.0, 0.0259, 94.22
572.0, 0.0256, 94.27
573.0, 0.0256, 94.28
574.0, 0.0252, 94.37
575.0, 0.0250, 94.40
576.0, 0.0247, 94.47
577.0, 0.0245, 94.52
578.0, 0.0241, 94.61
579.0, 0.0239, 94.65
580.0, 0.0237, 94.69
581.0, 0.0235, 94.73
582.0, 0.0234, 94.76
583.0, 0.0231, 94.82
584.0, 0.0231, 94.81
585.0, 0.0233, 94.78
586.0, 0.0220, 95.07
587.0, 0.0218, 95.10
588.0, 0.0218, 95.10
589.0, 0.0218, 95.11
590.0, 0.0216, 95.14
591.0, 0.0215, 95.17
592.0, 0.0215, 95.17
593.0, 0.0216, 95.16
594.0, 0.0215, 95.17
595.0, 0.0214, 95.19
596.0, 0.0214, 95.18
597.0, 0.0214, 95.20
598.0, 0.0212, 95.23
599.0, 0.0210, 95.27
600.0, 0.0209, 95.31
601.0, 0.0209, 95.31
602.0, 0.0208, 95.33
603.0, 0.0207, 95.35
604.0, 0.0204, 95.40
605.0, 0.0202, 95.45
606.0, 0.0202, 95.45
607.0, 0.0201, 95.48
608.0, 0.0200, 95.51
609.0, 0.0199, 95.52
610.0, 0.0198, 95.54
611.0, 0.0196, 95.59
612.0, 0.0194, 95.63
613.0, 0.0192, 95.67
614.0, 0.0190, 95.71
615.0, 0.0190, 95.72
616.0, 0.0191, 95.71
617.0, 0.0188, 95.77
618.0, 0.0187, 95.78
619.0, 0.0187, 95.79
620.0, 0.0185, 95.83
621.0, 0.0182, 95.89
622.0, 0.0182, 95.91
623.0, 0.0181, 95.92
624.0, 0.0178, 95.98
625.0, 0.0177, 96.01
626.0, 0.0176, 96.03
627.0, 0.0174, 96.07
628.0, 0.0173, 96.09
629.0, 0.0172, 96.12
630.0, 0.0170, 96.15
631.0, 0.0169, 96.18
632.0, 0.0169, 96.19
633.0, 0.0167, 96.23
634.0, 0.0166, 96.25
635.0, 0.0164, 96.29
636.0, 0.0163, 96.32
637.0, 0.0162, 96.34
638.0, 0.0162, 96.35
639.0, 0.0162, 96.35
640.0, 0.0161, 96.37
641.0, 0.0159, 96.41
642.0, 0.0157, 96.44
643.0, 0.0156, 96.47
644.0, 0.0155, 96.50
645.0, 0.0154, 96.52
646.0, 0.0154, 96.52
647.0, 0.0153, 96.54
648.0, 0.0152, 96.57
649.0, 0.0150, 96.60
650.0, 0.0148, 96.65
651.0, 0.0148, 96.64
652.0, 0.0147, 96.68
653.0, 0.0146, 96.69
654.0, 0.0145, 96.71
655.0, 0.0143, 96.75
656.0, 0.0143, 96.76
657.0, 0.0141, 96.80
658.0, 0.0142, 96.79
