Sample Name, Sample-43
Time, February 13 17:42:58 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0457, 9.00
231.0, 1.0388, 9.14
232.0, 1.0315, 9.30
233.0, 1.0237, 9.47
234.0, 1.0155, 9.65
235.0, 1.0075, 9.83
236.0, 1.0000, 10.00
237.0, 0.9931, 10.16
238.0, 0.9859, 10.33
239.0, 0.9791, 10.49
240.0, 0.9728, 10.65
241.0, 0.9663, 10.81
242.0, 0.9606, 10.95
243.0, 0.9554, 11.08
244.0, 0.9498, 11.22
245.0, 0.9437, 11.38
246.0, 0.9379, 11.54
247.0, 0.9316, 11.71
248.0, 0.9257, 11.87
249.0, 0.9202, 12.02
250.0, 0.9145, 12.18
251.0, 0.9087, 12.34
252.0, 0.9034, 12.49
253.0, 0.8976, 12.66
254.0, 0.8927, 12.80
255.0, 0.8879, 12.94
256.0, 0.8830, 13.09
257.0, 0.8776, 13.25
258.0, 0.8743, 13.36
259.0, 0.8656, 13.63
260.0, 0.8601, 13.80
261.0, 0.8544, 13.98
262.0, 0.8484, 14.18
263.0, 0.8420, 14.39
264.0, 0.8360, 14.59
265.0, 0.8298, 14.80
266.0, 0.8237, 15.01
267.0, 0.8179, 15.21
268.0, 0.8120, 15.42
269.0, 0.8059, 15.63
270.0, 0.7992, 15.88
271.0, 0.7924, 16.13
272.0, 0.7860, 16.37
273.0, 0.7790, 16.63
274.0, 0.7726, 16.88
275.0, 0.7653, 17.17
276.0, 0.7587, 17.43
277.0, 0.7521, 17.70
278.0, 0.7453, 17.98
279.0, 0.7393, 18.23
280.0, 0.7329, 18.50
281.0, 0.7260, 18.79
282.0, 0.7185, 19.12
283.0, 0.7114, 19.43
284.0, 0.7041, 19.76
285.0, 0.6974, 20.07
286.0, 0.6906, 20.39
287.0, 0.6831, 20.75
288.0, 0.6755, 21.11
289.0, 0.6684, 21.46
290.0, 0.6619, 21.78
291.0, 0.6554, 22.11
292.0, 0.6489, 22.45
293.0, 0.6425, 22.78
294.0, 0.6356, 23.14
295.0, 0.6290, 23.50
296.0, 0.6226, 23.85
297.0, 0.6168, 24.17
298.0, 0.6133, 24.36
299.0, 0.6032, 24.93
300.0, 0.5967, 25.31
301.0, 0.5910, 25.65
