Sample Name, Sample-47
Time, February 05 12:27:08 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7093, 19.53
231.0, 0.7041, 19.76
232.0, 0.6992, 19.99
233.0, 0.6935, 20.26
234.0, 0.6875, 20.53
235.0, 0.6820, 20.80
236.0, 0.6767, 21.05
237.0, 0.6714, 21.31
238.0, 0.6661, 21.57
239.0, 0.6609, 21.83
240.0, 0.6556, 22.10
241.0, 0.6506, 22.36
242.0, 0.6460, 22.60
243.0, 0.6412, 22.85
244.0, 0.6367, 23.09
245.0, 0.6321, 23.33
246.0, 0.6272, 23.59
247.0, 0.6224, 23.85
248.0, 0.6179, 24.10
249.0, 0.6134, 24.36
250.0, 0.6092, 24.59
251.0, 0.6047, 24.85
252.0, 0.6005, 25.09
253.0, 0.5965, 25.32
254.0, 0.5930, 25.53
255.0, 0.5897, 25.72
256.0, 0.5865, 25.91
257.0, 0.5829, 26.13
258.0, 0.5810, 26.24
259.0, 0.5752, 26.59
260.0, 0.5715, 26.82
261.0, 0.5680, 27.04
262.0, 0.5644, 27.26
263.0, 0.5609, 27.48
264.0, 0.5570, 27.73
265.0, 0.5539, 27.93
266.0, 0.5506, 28.14
267.0, 0.5474, 28.35
268.0, 0.5441, 28.57
269.0, 0.5408, 28.79
270.0, 0.5374, 29.01
271.0, 0.5340, 29.24
272.0, 0.5303, 29.49
273.0, 0.5270, 29.71
274.0, 0.5238, 29.94
275.0, 0.5203, 30.18
276.0, 0.5170, 30.41
277.0, 0.5137, 30.64
278.0, 0.5106, 30.86
279.0, 0.5074, 31.09
280.0, 0.5044, 31.30
281.0, 0.5007, 31.57
282.0, 0.4970, 31.84
283.0, 0.4931, 32.13
284.0, 0.4893, 32.41
285.0, 0.4851, 32.73
286.0, 0.4810, 33.03
287.0, 0.4769, 33.35
288.0, 0.4730, 33.65
289.0, 0.4691, 33.95
290.0, 0.4651, 34.27
291.0, 0.4615, 34.55
292.0, 0.4581, 34.82
293.0, 0.4543, 35.13
294.0, 0.4502, 35.46
295.0, 0.4464, 35.78
296.0, 0.4427, 36.08
297.0, 0.4393, 36.36
298.0, 0.4374, 36.52
299.0, 0.4315, 37.02
300.0, 0.4280, 37.32
301.0, 0.4244, 37.64
302.0, 0.4212, 37.92
303.0, 0.4180, 38.20
304.0, 0.4150, 38.46
305.0, 0.4113, 38.79
306.0, 0.4078, 39.10
307.0, 0.4043, 39.42
308.0, 0.4007, 39.75
309.0, 0.3971, 40.08
310.0, 0.3935, 40.41
311.0, 0.3900, 40.74
312.0, 0.3866, 41.06
313.0, 0.3834, 41.37
314.0, 0.3799, 41.69
315.0, 0.3765, 42.03
316.0, 0.3734, 42.32
317.0, 0.3702, 42.64
318.0, 0.3665, 43.00
319.0, 0.3626, 43.39
320.0, 0.3590, 43.75
321.0, 0.3555, 44.11
322.0, 0.3520, 44.47
323.0, 0.3483, 44.85
324.0, 0.3445, 45.24
325.0, 0.3408, 45.62
326.0, 0.3375, 45.97
327.0, 0.3343, 46.31
328.0, 0.3311, 46.65
329.0, 0.3279, 47.00
330.0, 0.3261, 47.19
331.0, 0.3201, 47.86
332.0, 0.3165, 48.25
333.0, 0.3130, 48.64
334.0, 0.3099, 48.99
335.0, 0.3062, 49.40
336.0, 0.3026, 49.81
337.0, 0.2995, 50.18
338.0, 0.2966, 50.52
339.0, 0.2943, 50.78
340.0, 0.2746, 53.14
341.0, 0.2730, 53.33
342.0, 0.2713, 53.55
343.0, 0.2694, 53.78
344.0, 0.2673, 54.03
345.0, 0.2658, 54.22
346.0, 0.2643, 54.41
347.0, 0.2623, 54.67
348.0, 0.2608, 54.85
349.0, 0.2587, 55.12
350.0, 0.2572, 55.31
351.0, 0.2560, 55.47
352.0, 0.2544, 55.66
353.0, 0.2529, 55.86
354.0, 0.2505, 56.17
355.0, 0.2484, 56.44
356.0, 0.2464, 56.71
357.0, 0.2444, 56.96
358.0, 0.2419, 57.29
359.0, 0.2403, 57.51
360.0, 0.2384, 57.76
361.0, 0.2362, 58.05
362.0, 0.2340, 58.35
363.0, 0.2323, 58.57
364.0, 0.2305, 58.82
365.0, 0.2285, 59.09
366.0, 0.2258, 59.46
367.0, 0.2234, 59.79
368.0, 0.2211, 60.10
369.0, 0.2188, 60.43
370.0, 0.2178, 60.56
371.0, 0.2175, 60.60
372.0, 0.2155, 60.88
373.0, 0.2141, 61.08
374.0, 0.2122, 61.35
375.0, 0.2103, 61.62
376.0, 0.2085, 61.87
377.0, 0.2065, 62.16
378.0, 0.2044, 62.46
379.0, 0.2027, 62.70
380.0, 0.2009, 62.97
381.0, 0.1990, 63.24
382.0, 0.1973, 63.49
383.0, 0.1953, 63.78
384.0, 0.1946, 63.89
385.0, 0.1917, 64.31
386.0, 0.1901, 64.55
387.0, 0.1883, 64.82
388.0, 0.1867, 65.05
389.0, 0.1849, 65.32
390.0, 0.1832, 65.59
391.0, 0.1814, 65.86
392.0, 0.1797, 66.11
