Sample Name, Sample-141
Time, February 05 18:36:03 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.3046, 4.96
231.0, 1.2965, 5.05
232.0, 1.2881, 5.15
233.0, 1.2766, 5.29
234.0, 1.2644, 5.44
235.0, 1.2509, 5.61
236.0, 1.2364, 5.80
237.0, 1.2216, 6.00
238.0, 1.2073, 6.20
239.0, 1.1921, 6.43
240.0, 1.1754, 6.68
241.0, 1.1602, 6.92
242.0, 1.1461, 7.14
243.0, 1.1313, 7.39
244.0, 1.1174, 7.63
245.0, 1.1042, 7.87
246.0, 1.0882, 8.16
247.0, 1.0746, 8.42
248.0, 1.0615, 8.68
249.0, 1.0485, 8.94
250.0, 1.0362, 9.20
251.0, 1.0242, 9.46
252.0, 1.0119, 9.73
253.0, 1.0014, 9.97
254.0, 0.9908, 10.21
255.0, 0.9810, 10.45
256.0, 0.9709, 10.69
257.0, 0.9613, 10.93
258.0, 0.9550, 11.09
259.0, 0.9359, 11.59
260.0, 0.9236, 11.92
261.0, 0.9108, 12.28
262.0, 0.8980, 12.65
263.0, 0.8843, 13.05
264.0, 0.8704, 13.48
265.0, 0.8569, 13.90
266.0, 0.8435, 14.34
267.0, 0.8297, 14.80
268.0, 0.8163, 15.26
269.0, 0.8027, 15.75
270.0, 0.7871, 16.33
271.0, 0.7722, 16.90
272.0, 0.7574, 17.48
273.0, 0.7432, 18.06
274.0, 0.7295, 18.64
275.0, 0.7154, 19.26
276.0, 0.7021, 19.86
277.0, 0.6896, 20.44
278.0, 0.6782, 20.98
279.0, 0.6679, 21.48
280.0, 0.6579, 21.98
281.0, 0.6471, 22.54
282.0, 0.6356, 23.14
283.0, 0.6249, 23.72
284.0, 0.6144, 24.30
285.0, 0.6043, 24.87
286.0, 0.5947, 25.43
287.0, 0.5851, 26.00
288.0, 0.5756, 26.57
289.0, 0.5671, 27.10
290.0, 0.5589, 27.61
291.0, 0.5519, 28.06
292.0, 0.5446, 28.53
293.0, 0.5371, 29.03
294.0, 0.5294, 29.55
295.0, 0.5224, 30.03
