Sample Name, Sample-144
Time, February 05 18:41:23 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1656, 6.83
231.0, 1.1541, 7.01
232.0, 1.1417, 7.22
233.0, 1.1267, 7.47
234.0, 1.1111, 7.74
235.0, 1.0952, 8.03
236.0, 1.0795, 8.33
237.0, 1.0639, 8.63
238.0, 1.0486, 8.94
239.0, 1.0330, 9.27
240.0, 1.0176, 9.60
241.0, 1.0031, 9.93
242.0, 0.9896, 10.24
243.0, 0.9771, 10.54
244.0, 0.9645, 10.85
245.0, 0.9518, 11.17
246.0, 0.9387, 11.51
247.0, 0.9268, 11.84
248.0, 0.9157, 12.14
249.0, 0.9046, 12.46
250.0, 0.8942, 12.76
251.0, 0.8841, 13.06
252.0, 0.8743, 13.36
253.0, 0.8650, 13.65
254.0, 0.8567, 13.91
255.0, 0.8484, 14.18
256.0, 0.8400, 14.45
257.0, 0.8322, 14.72
258.0, 0.8272, 14.89
259.0, 0.8108, 15.46
260.0, 0.8008, 15.82
261.0, 0.7906, 16.20
262.0, 0.7801, 16.59
263.0, 0.7690, 17.02
264.0, 0.7577, 17.47
265.0, 0.7468, 17.91
266.0, 0.7361, 18.36
267.0, 0.7258, 18.80
268.0, 0.7151, 19.27
269.0, 0.7043, 19.76
270.0, 0.6925, 20.30
271.0, 0.6810, 20.85
272.0, 0.6695, 21.40
273.0, 0.6586, 21.95
274.0, 0.6478, 22.50
275.0, 0.6370, 23.07
276.0, 0.6267, 23.62
277.0, 0.6167, 24.17
278.0, 0.6079, 24.67
279.0, 0.5989, 25.18
280.0, 0.5910, 25.65
281.0, 0.5820, 26.18
282.0, 0.5726, 26.76
283.0, 0.5637, 27.31
284.0, 0.5546, 27.88
285.0, 0.5459, 28.45
286.0, 0.5372, 29.03
287.0, 0.5286, 29.61
288.0, 0.5202, 30.18
289.0, 0.5124, 30.73
290.0, 0.5054, 31.23
291.0, 0.4987, 31.72
292.0, 0.4921, 32.20
293.0, 0.4854, 32.70
294.0, 0.4780, 33.27
295.0, 0.4712, 33.79
296.0, 0.4646, 34.31
297.0, 0.4585, 34.79
298.0, 0.4554, 35.04
299.0, 0.4457, 35.83
300.0, 0.4395, 36.35
301.0, 0.4341, 36.80
302.0, 0.4292, 37.22
303.0, 0.4244, 37.63
304.0, 0.4197, 38.04
305.0, 0.4146, 38.50
306.0, 0.4093, 38.96
307.0, 0.4044, 39.41
