Sample Name, Sample-149
Time, February 05 18:52:13 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8926, 12.81
231.0, 0.8825, 13.11
232.0, 0.8721, 13.42
233.0, 0.8601, 13.80
234.0, 0.8470, 14.22
235.0, 0.8342, 14.65
236.0, 0.8215, 15.08
237.0, 0.8084, 15.55
238.0, 0.7958, 16.00
239.0, 0.7826, 16.50
240.0, 0.7693, 17.01
241.0, 0.7569, 17.50
242.0, 0.7456, 17.97
243.0, 0.7344, 18.43
244.0, 0.7238, 18.89
245.0, 0.7129, 19.37
246.0, 0.7016, 19.88
247.0, 0.6912, 20.36
248.0, 0.6815, 20.82
249.0, 0.6722, 21.27
250.0, 0.6632, 21.72
251.0, 0.6543, 22.17
252.0, 0.6460, 22.59
253.0, 0.6378, 23.02
254.0, 0.6303, 23.42
255.0, 0.6234, 23.80
256.0, 0.6162, 24.20
257.0, 0.6091, 24.60
258.0, 0.6046, 24.86
259.0, 0.5911, 25.64
260.0, 0.5825, 26.15
261.0, 0.5737, 26.69
262.0, 0.5647, 27.24
263.0, 0.5552, 27.85
264.0, 0.5456, 28.47
265.0, 0.5363, 29.08
266.0, 0.5273, 29.70
267.0, 0.5185, 30.31
268.0, 0.5097, 30.92
269.0, 0.5005, 31.58
270.0, 0.4905, 32.32
271.0, 0.4809, 33.05
272.0, 0.4716, 33.76
273.0, 0.4629, 34.45
274.0, 0.4539, 35.17
275.0, 0.4453, 35.87
276.0, 0.4371, 36.55
277.0, 0.4291, 37.23
278.0, 0.4221, 37.84
279.0, 0.4157, 38.40
280.0, 0.4094, 38.96
281.0, 0.4026, 39.57
282.0, 0.3953, 40.24
283.0, 0.3882, 40.90
284.0, 0.3816, 41.53
285.0, 0.3750, 42.17
286.0, 0.3687, 42.79
287.0, 0.3626, 43.39
288.0, 0.3567, 43.98
289.0, 0.3510, 44.56
290.0, 0.3459, 45.09
291.0, 0.3412, 45.58
292.0, 0.3366, 46.07
293.0, 0.3321, 46.55
294.0, 0.3273, 47.07
295.0, 0.3228, 47.55
296.0, 0.3186, 48.02
297.0, 0.3148, 48.44
298.0, 0.3125, 48.70
299.0, 0.3065, 49.37
300.0, 0.3026, 49.81
301.0, 0.2992, 50.21
302.0, 0.2959, 50.59
303.0, 0.2928, 50.95
304.0, 0.2899, 51.30
305.0, 0.2864, 51.71
306.0, 0.2828, 52.14
307.0, 0.2797, 52.51
308.0, 0.2764, 52.91
309.0, 0.2733, 53.29
310.0, 0.2698, 53.73
311.0, 0.2663, 54.16
312.0, 0.2631, 54.56
313.0, 0.2599, 54.96
314.0, 0.2568, 55.36
315.0, 0.2537, 55.75
316.0, 0.2506, 56.16
317.0, 0.2474, 56.58
318.0, 0.2438, 57.04
319.0, 0.2401, 57.54
320.0, 0.2367, 57.98
321.0, 0.2330, 58.48
322.0, 0.2293, 58.98
323.0, 0.2257, 59.47
324.0, 0.2219, 59.99
325.0, 0.2183, 60.50
326.0, 0.2147, 60.99
327.0, 0.2113, 61.48
328.0, 0.2078, 61.97
329.0, 0.2044, 62.46
330.0, 0.2025, 62.73
331.0, 0.1958, 63.70
332.0, 0.1917, 64.32
333.0, 0.1877, 64.91
334.0, 0.1839, 65.49
335.0, 0.1800, 66.08
336.0, 0.1760, 66.67
337.0, 0.1726, 67.21
338.0, 0.1692, 67.74
339.0, 0.1669, 68.09
340.0, 0.1523, 70.42
341.0, 0.1498, 70.83
342.0, 0.1472, 71.25
343.0, 0.1447, 71.66
344.0, 0.1425, 72.03
345.0, 0.1400, 72.45
346.0, 0.1375, 72.87
347.0, 0.1355, 73.21
348.0, 0.1332, 73.58
349.0, 0.1308, 74.00
350.0, 0.1289, 74.32
351.0, 0.1270, 74.65
352.0, 0.1250, 74.98
353.0, 0.1229, 75.36
354.0, 0.1203, 75.81
355.0, 0.1182, 76.18
356.0, 0.1157, 76.61
357.0, 0.1137, 76.97
358.0, 0.1117, 77.33
359.0, 0.1096, 77.69
360.0, 0.1077, 78.04
361.0, 0.1056, 78.41
362.0, 0.1039, 78.71
363.0, 0.1023, 79.01
364.0, 0.1005, 79.33
365.0, 0.0991, 79.60
366.0, 0.0971, 79.96
367.0, 0.0954, 80.28
368.0, 0.0940, 80.53
369.0, 0.0925, 80.82
370.0, 0.0917, 80.96
371.0, 0.0876, 81.74
372.0, 0.0856, 82.11
373.0, 0.0842, 82.38
374.0, 0.0825, 82.69
375.0, 0.0809, 83.00
376.0, 0.0795, 83.27
377.0, 0.0779, 83.58
378.0, 0.0766, 83.83
379.0, 0.0751, 84.13
380.0, 0.0734, 84.44
381.0, 0.0721, 84.70
382.0, 0.0708, 84.95
383.0, 0.0695, 85.21
384.0, 0.0687, 85.36
385.0, 0.0663, 85.84
386.0, 0.0650, 86.10
387.0, 0.0638, 86.33
388.0, 0.0627, 86.55
389.0, 0.0616, 86.78
390.0, 0.0604, 87.01
391.0, 0.0593, 87.24
392.0, 0.0581, 87.48
393.0, 0.0568, 87.74
394.0, 0.0559, 87.92
395.0, 0.0548, 88.15
396.0, 0.0537, 88.38
397.0, 0.0526, 88.59
398.0, 0.0517, 88.78
399.0, 0.0507, 88.98
400.0, 0.0499, 89.15
401.0, 0.0490, 89.34
402.0, 0.0481, 89.52
403.0, 0.0471, 89.72
404.0, 0.0462, 89.91
405.0, 0.0454, 90.07
406.0, 0.0446, 90.25
407.0, 0.0437, 90.42
408.0, 0.0430, 90.58
409.0, 0.0421, 90.76
410.0, 0.0416, 90.87
411.0, 0.0409, 91.01
412.0, 0.0403, 91.13
413.0, 0.0398, 91.25
414.0, 0.0390, 91.40
415.0, 0.0386, 91.50
416.0, 0.0378, 91.66
417.0, 0.0374, 91.75
418.0, 0.0367, 91.90
419.0, 0.0362, 92.00
420.0, 0.0358, 92.09
421.0, 0.0352, 92.21
422.0, 0.0349, 92.29
423.0, 0.0344, 92.39
424.0, 0.0341, 92.46
425.0, 0.0336, 92.55
426.0, 0.0331, 92.67
427.0, 0.0326, 92.76
428.0, 0.0322, 92.86
429.0, 0.0318, 92.93
430.0, 0.0315, 93.00
431.0, 0.0312, 93.07
432.0, 0.0308, 93.14
433.0, 0.0304, 93.24
434.0, 0.0301, 93.31
435.0, 0.0297, 93.39
436.0, 0.0293, 93.47
437.0, 0.0292, 93.49
438.0, 0.0289, 93.55
439.0, 0.0287, 93.61
440.0, 0.0284, 93.67
441.0, 0.0283, 93.70
442.0, 0.0280, 93.76
443.0, 0.0278, 93.81
444.0, 0.0277, 93.83
445.0, 0.0275, 93.87
446.0, 0.0275, 93.86
447.0, 0.0274, 93.88
448.0, 0.0273, 93.91
449.0, 0.0271, 93.95
450.0, 0.0270, 93.96
451.0, 0.0262, 94.15
452.0, 0.0257, 94.25
453.0, 0.0256, 94.28
454.0, 0.0252, 94.37
455.0, 0.0249, 94.44
456.0, 0.0245, 94.52
457.0, 0.0240, 94.62
458.0, 0.0236, 94.71
459.0, 0.0234, 94.76
460.0, 0.0229, 94.85
461.0, 0.0225, 94.94
462.0, 0.0222, 95.01
463.0, 0.0219, 95.07
464.0, 0.0215, 95.16
465.0, 0.0213, 95.22
466.0, 0.0209, 95.30
467.0, 0.0206, 95.38
468.0, 0.0202, 95.45
469.0, 0.0201, 95.48
470.0, 0.0196, 95.58
471.0, 0.0194, 95.62
472.0, 0.0192, 95.68
