Sample Name, Sample-55
Time, February 05 12:50:28 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8054, 15.65
231.0, 0.8002, 15.84
232.0, 0.7946, 16.05
233.0, 0.7889, 16.26
234.0, 0.7828, 16.49
235.0, 0.7769, 16.71
236.0, 0.7715, 16.92
237.0, 0.7659, 17.14
238.0, 0.7600, 17.38
239.0, 0.7544, 17.60
240.0, 0.7489, 17.83
241.0, 0.7433, 18.06
242.0, 0.7384, 18.27
243.0, 0.7335, 18.47
244.0, 0.7290, 18.66
245.0, 0.7238, 18.89
246.0, 0.7184, 19.12
247.0, 0.7134, 19.35
248.0, 0.7085, 19.57
249.0, 0.7036, 19.79
250.0, 0.6988, 20.01
251.0, 0.6942, 20.22
252.0, 0.6898, 20.43
253.0, 0.6853, 20.64
254.0, 0.6812, 20.83
255.0, 0.6775, 21.01
256.0, 0.6733, 21.22
257.0, 0.6697, 21.40
258.0, 0.6672, 21.52
259.0, 0.6602, 21.87
260.0, 0.6559, 22.08
261.0, 0.6515, 22.31
262.0, 0.6474, 22.52
263.0, 0.6428, 22.76
264.0, 0.6384, 22.99
265.0, 0.6344, 23.21
266.0, 0.6303, 23.43
267.0, 0.6264, 23.64
268.0, 0.6223, 23.86
269.0, 0.6185, 24.07
270.0, 0.6140, 24.32
271.0, 0.6097, 24.56
272.0, 0.6054, 24.81
273.0, 0.6013, 25.05
274.0, 0.5971, 25.29
275.0, 0.5933, 25.51
276.0, 0.5893, 25.74
277.0, 0.5853, 25.98
278.0, 0.5813, 26.22
279.0, 0.5778, 26.44
280.0, 0.5740, 26.67
281.0, 0.5698, 26.93
282.0, 0.5652, 27.22
283.0, 0.5606, 27.51
284.0, 0.5561, 27.79
285.0, 0.5514, 28.09
286.0, 0.5470, 28.38
287.0, 0.5422, 28.70
288.0, 0.5373, 29.02
289.0, 0.5328, 29.32
290.0, 0.5285, 29.62
291.0, 0.5246, 29.88
292.0, 0.5205, 30.16
293.0, 0.5161, 30.47
294.0, 0.5116, 30.79
295.0, 0.5073, 31.09
296.0, 0.5029, 31.41
297.0, 0.4992, 31.68
298.0, 0.4969, 31.85
299.0, 0.4902, 32.35
300.0, 0.4863, 32.64
301.0, 0.4822, 32.95
302.0, 0.4787, 33.21
303.0, 0.4750, 33.50
304.0, 0.4715, 33.77
305.0, 0.4672, 34.10
306.0, 0.4632, 34.42
307.0, 0.4588, 34.77
308.0, 0.4547, 35.10
309.0, 0.4507, 35.43
310.0, 0.4463, 35.79
311.0, 0.4419, 36.15
312.0, 0.4378, 36.49
313.0, 0.4336, 36.85
314.0, 0.4299, 37.16
315.0, 0.4260, 37.49
316.0, 0.4224, 37.81
317.0, 0.4184, 38.16
318.0, 0.4137, 38.57
319.0, 0.4094, 38.96
320.0, 0.4050, 39.35
321.0, 0.4006, 39.76
322.0, 0.3964, 40.14
323.0, 0.3920, 40.55
324.0, 0.3877, 40.96
325.0, 0.3834, 41.36
326.0, 0.3794, 41.74
327.0, 0.3757, 42.11
328.0, 0.3717, 42.49
329.0, 0.3680, 42.85
330.0, 0.3657, 43.08
331.0, 0.3586, 43.80
332.0, 0.3543, 44.23
333.0, 0.3502, 44.65
334.0, 0.3461, 45.07
335.0, 0.3419, 45.50
336.0, 0.3379, 45.93
337.0, 0.3346, 46.28
338.0, 0.3311, 46.65
339.0, 0.3281, 46.97
340.0, 0.3015, 49.95
341.0, 0.2996, 50.16
342.0, 0.2977, 50.39
343.0, 0.2954, 50.66
344.0, 0.2932, 50.91
345.0, 0.2913, 51.13
346.0, 0.2898, 51.31
347.0, 0.2880, 51.52
348.0, 0.2864, 51.71
349.0, 0.2844, 51.96
350.0, 0.2833, 52.08
351.0, 0.2816, 52.28
352.0, 0.2800, 52.49
353.0, 0.2781, 52.72
354.0, 0.2756, 53.01
355.0, 0.2736, 53.26
356.0, 0.2711, 53.57
357.0, 0.2685, 53.89
358.0, 0.2659, 54.22
359.0, 0.2637, 54.49
360.0, 0.2614, 54.77
361.0, 0.2589, 55.09
362.0, 0.2565, 55.39
363.0, 0.2542, 55.70
364.0, 0.2516, 56.02
365.0, 0.2492, 56.34
366.0, 0.2466, 56.68
367.0, 0.2436, 57.07
368.0, 0.2406, 57.46
369.0, 0.2379, 57.83
370.0, 0.2367, 57.99
371.0, 0.2380, 57.80
372.0, 0.2357, 58.12
373.0, 0.2334, 58.43
374.0, 0.2315, 58.69
375.0, 0.2294, 58.97
376.0, 0.2276, 59.21
377.0, 0.2254, 59.50
378.0, 0.2231, 59.82
379.0, 0.2211, 60.10
380.0, 0.2187, 60.43
381.0, 0.2166, 60.73
382.0, 0.2147, 60.99
383.0, 0.2125, 61.31
384.0, 0.2116, 61.44
