Sample Name, Sample-97
Time, February 06 14:36:21 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2544, 5.57
301.0, 1.2497, 5.63
302.0, 1.2443, 5.70
303.0, 1.2372, 5.79
304.0, 1.2303, 5.88
305.0, 1.2182, 6.05
306.0, 1.2021, 6.28
307.0, 1.1832, 6.56
308.0, 1.1625, 6.88
309.0, 1.1409, 7.23
310.0, 1.1196, 7.59
311.0, 1.0976, 7.99
312.0, 1.0776, 8.36
313.0, 1.0599, 8.71
314.0, 1.0445, 9.03
315.0, 1.0305, 9.32
316.0, 1.0179, 9.60
317.0, 1.0055, 9.88
318.0, 0.9919, 10.19
319.0, 0.9794, 10.49
320.0, 0.9674, 10.78
321.0, 0.9565, 11.05
322.0, 0.9457, 11.33
323.0, 0.9347, 11.62
324.0, 0.9234, 11.93
325.0, 0.9122, 12.24
326.0, 0.9026, 12.52
327.0, 0.8926, 12.80
328.0, 0.8838, 13.07
329.0, 0.8742, 13.36
330.0, 0.8687, 13.53
331.0, 0.8515, 14.08
332.0, 0.8403, 14.44
333.0, 0.8285, 14.84
334.0, 0.8180, 15.21
335.0, 0.8067, 15.61
336.0, 0.7966, 15.97
337.0, 0.7853, 16.40
338.0, 0.7753, 16.78
339.0, 0.7652, 17.17
340.0, 0.5891, 25.76
341.0, 0.5891, 25.76
342.0, 0.5889, 25.77
343.0, 0.5890, 25.77
344.0, 0.5892, 25.75
345.0, 0.5890, 25.76
346.0, 0.5887, 25.78
347.0, 0.5883, 25.80
348.0, 0.5881, 25.82
349.0, 0.5873, 25.86
350.0, 0.5872, 25.87
351.0, 0.5858, 25.95
352.0, 0.5834, 26.10
353.0, 0.5803, 26.28
354.0, 0.5775, 26.46
355.0, 0.5722, 26.78
356.0, 0.5674, 27.08
357.0, 0.5622, 27.40
358.0, 0.5565, 27.77
359.0, 0.5505, 28.15
360.0, 0.5438, 28.59
361.0, 0.5382, 28.96
362.0, 0.5326, 29.33
363.0, 0.5265, 29.75
364.0, 0.5197, 30.22
365.0, 0.5123, 30.74
366.0, 0.5024, 31.45
367.0, 0.4926, 32.16
368.0, 0.4825, 32.92
369.0, 0.4717, 33.75
370.0, 0.4657, 34.22
371.0, 0.5083, 31.03
372.0, 0.5036, 31.36
373.0, 0.4996, 31.65
374.0, 0.4958, 31.93
375.0, 0.4926, 32.17
376.0, 0.4891, 32.43
377.0, 0.4853, 32.71
378.0, 0.4811, 33.03
379.0, 0.4770, 33.34
380.0, 0.4731, 33.65
381.0, 0.4691, 33.95
382.0, 0.4652, 34.26
383.0, 0.4615, 34.55
384.0, 0.4590, 34.75
385.0, 0.4532, 35.22
386.0, 0.4492, 35.54
387.0, 0.4454, 35.86
388.0, 0.4419, 36.15
389.0, 0.4382, 36.46
390.0, 0.4337, 36.84
391.0, 0.4292, 37.22
392.0, 0.4252, 37.57
393.0, 0.4211, 37.92
394.0, 0.4170, 38.28
395.0, 0.4130, 38.64
396.0, 0.4086, 39.03
397.0, 0.4047, 39.39
398.0, 0.4010, 39.72
399.0, 0.3973, 40.06
400.0, 0.3936, 40.40
401.0, 0.3897, 40.77
402.0, 0.3855, 41.16
403.0, 0.3816, 41.54
404.0, 0.3773, 41.94
405.0, 0.3736, 42.31
406.0, 0.3697, 42.68
407.0, 0.3660, 43.06
408.0, 0.3622, 43.43
409.0, 0.3586, 43.79
410.0, 0.3555, 44.11
411.0, 0.3524, 44.43
412.0, 0.3489, 44.78
413.0, 0.3454, 45.15
414.0, 0.3417, 45.53
415.0, 0.3380, 45.92
416.0, 0.3346, 46.28
417.0, 0.3313, 46.63
418.0, 0.3281, 46.98
419.0, 0.3247, 47.35
420.0, 0.3216, 47.69
421.0, 0.3183, 48.05
422.0, 0.3153, 48.38
423.0, 0.3124, 48.71
424.0, 0.3095, 49.03
425.0, 0.3066, 49.36
426.0, 0.3036, 49.71
427.0, 0.3005, 50.06
428.0, 0.2975, 50.41
429.0, 0.2946, 50.75
430.0, 0.2916, 51.09
431.0, 0.2888, 51.43
432.0, 0.2860, 51.77
433.0, 0.2830, 52.12
434.0, 0.2805, 52.42
435.0, 0.2780, 52.72
436.0, 0.2756, 53.01
437.0, 0.2731, 53.33
438.0, 0.2702, 53.68
439.0, 0.2675, 54.01
440.0, 0.2648, 54.35
441.0, 0.2620, 54.70
442.0, 0.2594, 55.03
443.0, 0.2567, 55.38
444.0, 0.2543, 55.68
445.0, 0.2517, 56.02
446.0, 0.2493, 56.33
447.0, 0.2469, 56.64
448.0, 0.2445, 56.94
449.0, 0.2424, 57.22
450.0, 0.2410, 57.41
