Sample Name, Sample-35
Time, February 06 10:51:12 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0113, 9.74
301.0, 0.9273, 11.82
302.0, 0.8505, 14.11
303.0, 0.7852, 16.40
304.0, 0.7297, 18.63
305.0, 0.6780, 20.99
306.0, 0.6283, 23.53
307.0, 0.5888, 25.77
308.0, 0.5556, 27.82
309.0, 0.5292, 29.56
310.0, 0.5075, 31.08
311.0, 0.4891, 32.42
312.0, 0.4745, 33.53
313.0, 0.4627, 34.46
314.0, 0.4533, 35.22
315.0, 0.4454, 35.86
316.0, 0.4386, 36.42
317.0, 0.4317, 37.00
318.0, 0.4255, 37.54
319.0, 0.4197, 38.04
320.0, 0.4144, 38.52
321.0, 0.4095, 38.95
322.0, 0.4050, 39.36
323.0, 0.4005, 39.77
324.0, 0.3964, 40.15
325.0, 0.3923, 40.52
326.0, 0.3887, 40.86
327.0, 0.3849, 41.22
328.0, 0.3814, 41.56
329.0, 0.3780, 41.88
330.0, 0.3757, 42.10
331.0, 0.3698, 42.67
332.0, 0.3657, 43.08
333.0, 0.3623, 43.43
334.0, 0.3589, 43.76
335.0, 0.3551, 44.14
336.0, 0.3514, 44.52
337.0, 0.3482, 44.86
338.0, 0.3452, 45.17
339.0, 0.3426, 45.44
340.0, 0.3120, 48.76
341.0, 0.3105, 48.93
342.0, 0.3086, 49.14
343.0, 0.3067, 49.35
344.0, 0.3049, 49.56
345.0, 0.3031, 49.77
346.0, 0.3018, 49.91
347.0, 0.3006, 50.05
348.0, 0.2984, 50.30
349.0, 0.2969, 50.47
350.0, 0.2957, 50.62
351.0, 0.2943, 50.79
352.0, 0.2928, 50.96
353.0, 0.2905, 51.23
354.0, 0.2884, 51.47
355.0, 0.2862, 51.73
356.0, 0.2839, 52.01
357.0, 0.2815, 52.30
358.0, 0.2790, 52.60
359.0, 0.2765, 52.90
360.0, 0.2739, 53.22
361.0, 0.2716, 53.51
362.0, 0.2691, 53.82
363.0, 0.2667, 54.12
364.0, 0.2645, 54.39
365.0, 0.2618, 54.72
366.0, 0.2589, 55.10
367.0, 0.2564, 55.41
368.0, 0.2531, 55.83
369.0, 0.2498, 56.26
370.0, 0.2482, 56.46
371.0, 0.2528, 55.87
372.0, 0.2507, 56.14
373.0, 0.2487, 56.40
374.0, 0.2467, 56.66
375.0, 0.2450, 56.88
376.0, 0.2431, 57.14
377.0, 0.2414, 57.36
378.0, 0.2394, 57.62
379.0, 0.2375, 57.88
380.0, 0.2358, 58.11
381.0, 0.2337, 58.39
382.0, 0.2320, 58.61
383.0, 0.2301, 58.87
384.0, 0.2293, 58.98
385.0, 0.2264, 59.37
386.0, 0.2246, 59.62
387.0, 0.2229, 59.85
388.0, 0.2215, 60.05
389.0, 0.2196, 60.31
390.0, 0.2181, 60.52
391.0, 0.2163, 60.77
392.0, 0.2145, 61.03
393.0, 0.2127, 61.27
394.0, 0.2110, 61.52
395.0, 0.2092, 61.77
396.0, 0.2075, 62.01
397.0, 0.2058, 62.26
398.0, 0.2041, 62.51
399.0, 0.2027, 62.71
400.0, 0.2012, 62.92
401.0, 0.1995, 63.17
402.0, 0.1976, 63.44
403.0, 0.1961, 63.66
404.0, 0.1946, 63.89
405.0, 0.1930, 64.12
406.0, 0.1914, 64.36
407.0, 0.1898, 64.59
408.0, 0.1883, 64.82
409.0, 0.1870, 65.02
410.0, 0.1854, 65.25
411.0, 0.1841, 65.45
412.0, 0.1827, 65.66
413.0, 0.1813, 65.87
414.0, 0.1799, 66.09
415.0, 0.1786, 66.29
416.0, 0.1771, 66.51
417.0, 0.1757, 66.73
418.0, 0.1743, 66.94
419.0, 0.1729, 67.16
420.0, 0.1716, 67.37
421.0, 0.1702, 67.58
422.0, 0.1691, 67.76
423.0, 0.1677, 67.97
424.0, 0.1666, 68.14
425.0, 0.1653, 68.34
426.0, 0.1639, 68.56
427.0, 0.1627, 68.75
428.0, 0.1615, 68.94
429.0, 0.1604, 69.12
430.0, 0.1592, 69.31
431.0, 0.1579, 69.52
432.0, 0.1567, 69.71
433.0, 0.1555, 69.90
434.0, 0.1544, 70.07
435.0, 0.1533, 70.26
436.0, 0.1521, 70.46
437.0, 0.1510, 70.64
438.0, 0.1500, 70.80
439.0, 0.1488, 70.99
440.0, 0.1476, 71.18
441.0, 0.1464, 71.38
442.0, 0.1453, 71.56
443.0, 0.1442, 71.75
444.0, 0.1431, 71.92
445.0, 0.1419, 72.13
446.0, 0.1408, 72.31
447.0, 0.1399, 72.46
448.0, 0.1391, 72.60
449.0, 0.1383, 72.73
450.0, 0.1377, 72.82
