Sample Name, Sample-38
Time, February 06 10:54:17 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0494, 8.93
301.0, 0.9715, 10.68
302.0, 0.8981, 12.65
303.0, 0.8344, 14.64
304.0, 0.7812, 16.55
305.0, 0.7306, 18.60
306.0, 0.6816, 20.81
307.0, 0.6422, 22.79
308.0, 0.6096, 24.57
309.0, 0.5831, 26.11
310.0, 0.5608, 27.49
311.0, 0.5424, 28.68
312.0, 0.5274, 29.69
313.0, 0.5149, 30.55
314.0, 0.5050, 31.26
315.0, 0.4967, 31.87
316.0, 0.4892, 32.42
317.0, 0.4820, 32.96
318.0, 0.4751, 33.49
319.0, 0.4685, 34.00
320.0, 0.4625, 34.48
321.0, 0.4571, 34.91
322.0, 0.4519, 35.32
323.0, 0.4470, 35.73
324.0, 0.4422, 36.13
325.0, 0.4375, 36.52
326.0, 0.4331, 36.89
327.0, 0.4291, 37.23
328.0, 0.4253, 37.56
329.0, 0.4211, 37.92
330.0, 0.4186, 38.14
331.0, 0.4119, 38.74
332.0, 0.4072, 39.15
333.0, 0.4030, 39.53
334.0, 0.3990, 39.90
335.0, 0.3946, 40.31
336.0, 0.3904, 40.70
337.0, 0.3864, 41.08
338.0, 0.3829, 41.41
339.0, 0.3799, 41.69
340.0, 0.3432, 45.37
341.0, 0.3413, 45.57
342.0, 0.3395, 45.76
343.0, 0.3377, 45.95
344.0, 0.3359, 46.14
345.0, 0.3337, 46.38
346.0, 0.3323, 46.53
347.0, 0.3306, 46.71
348.0, 0.3289, 46.89
349.0, 0.3269, 47.11
350.0, 0.3250, 47.31
351.0, 0.3235, 47.48
352.0, 0.3219, 47.66
353.0, 0.3198, 47.89
354.0, 0.3173, 48.16
355.0, 0.3146, 48.46
356.0, 0.3119, 48.77
357.0, 0.3089, 49.10
358.0, 0.3059, 49.45
359.0, 0.3031, 49.76
360.0, 0.3005, 50.06
361.0, 0.2979, 50.36
362.0, 0.2948, 50.72
363.0, 0.2921, 51.04
364.0, 0.2897, 51.32
365.0, 0.2866, 51.69
366.0, 0.2834, 52.07
367.0, 0.2799, 52.49
368.0, 0.2765, 52.91
369.0, 0.2727, 53.37
370.0, 0.2707, 53.62
371.0, 0.2767, 52.88
372.0, 0.2743, 53.18
373.0, 0.2718, 53.48
374.0, 0.2697, 53.74
375.0, 0.2679, 53.96
376.0, 0.2662, 54.18
377.0, 0.2638, 54.47
378.0, 0.2616, 54.76
379.0, 0.2593, 55.04
380.0, 0.2571, 55.32
381.0, 0.2549, 55.60
382.0, 0.2530, 55.85
383.0, 0.2508, 56.13
384.0, 0.2498, 56.26
385.0, 0.2465, 56.69
386.0, 0.2445, 56.95
387.0, 0.2425, 57.21
388.0, 0.2408, 57.44
389.0, 0.2387, 57.72
390.0, 0.2366, 58.00
391.0, 0.2346, 58.27
392.0, 0.2325, 58.55
393.0, 0.2306, 58.81
394.0, 0.2284, 59.10
395.0, 0.2265, 59.36
396.0, 0.2246, 59.62
397.0, 0.2225, 59.91
398.0, 0.2206, 60.18
399.0, 0.2192, 60.37
400.0, 0.2173, 60.63
401.0, 0.2153, 60.91
402.0, 0.2133, 61.19
403.0, 0.2115, 61.44
404.0, 0.2097, 61.70
405.0, 0.2081, 61.93
406.0, 0.2061, 62.22
407.0, 0.2042, 62.48
408.0, 0.2025, 62.73
409.0, 0.2010, 62.96
410.0, 0.1993, 63.20
411.0, 0.1979, 63.41
412.0, 0.1964, 63.63
413.0, 0.1947, 63.87
414.0, 0.1931, 64.11
415.0, 0.1915, 64.35
416.0, 0.1898, 64.60
417.0, 0.1882, 64.83
418.0, 0.1867, 65.06
419.0, 0.1850, 65.31
420.0, 0.1835, 65.53
421.0, 0.1821, 65.75
422.0, 0.1807, 65.96
423.0, 0.1793, 66.17
424.0, 0.1781, 66.36
425.0, 0.1766, 66.59
426.0, 0.1750, 66.83
427.0, 0.1736, 67.06
428.0, 0.1723, 67.26
429.0, 0.1709, 67.47
430.0, 0.1695, 67.68
431.0, 0.1683, 67.88
432.0, 0.1668, 68.11
433.0, 0.1655, 68.30
434.0, 0.1643, 68.51
435.0, 0.1630, 68.70
436.0, 0.1619, 68.88
437.0, 0.1605, 69.10
438.0, 0.1592, 69.32
439.0, 0.1580, 69.51
440.0, 0.1567, 69.71
441.0, 0.1553, 69.93
442.0, 0.1541, 70.13
443.0, 0.1527, 70.36
444.0, 0.1515, 70.56
445.0, 0.1502, 70.77
446.0, 0.1489, 70.97
447.0, 0.1478, 71.15
448.0, 0.1469, 71.31
449.0, 0.1458, 71.48
450.0, 0.1452, 71.58
