Sample Name, Sample-22
Time, February 13 16:44:55 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.6198, 0.24
231.0, 2.6293, 0.23
232.0, 2.6472, 0.23
233.0, 2.6414, 0.23
234.0, 2.6485, 0.22
235.0, 2.6441, 0.23
236.0, 2.6423, 0.23
237.0, 2.6559, 0.22
238.0, 2.6644, 0.22
239.0, 2.6532, 0.22
240.0, 2.6516, 0.22
241.0, 2.6326, 0.23
242.0, 2.6380, 0.23
243.0, 2.6202, 0.24
244.0, 2.6179, 0.24
245.0, 2.6102, 0.25
246.0, 2.6007, 0.25
247.0, 2.6027, 0.25
248.0, 2.5925, 0.26
249.0, 2.5794, 0.26
250.0, 2.5804, 0.26
251.0, 2.5670, 0.27
252.0, 2.5629, 0.27
253.0, 2.5455, 0.28
254.0, 2.5356, 0.29
255.0, 2.5390, 0.29
256.0, 2.5380, 0.29
257.0, 2.5090, 0.31
258.0, 2.5120, 0.31
259.0, 2.4912, 0.32
260.0, 2.4914, 0.32
261.0, 2.4810, 0.33
262.0, 2.4702, 0.34
263.0, 2.4517, 0.35
264.0, 2.4442, 0.36
265.0, 2.4212, 0.38
266.0, 2.4208, 0.38
267.0, 2.4169, 0.38
268.0, 2.4093, 0.39
269.0, 2.4021, 0.40
270.0, 2.3957, 0.40
271.0, 2.3835, 0.41
272.0, 2.3871, 0.41
273.0, 2.3779, 0.42
274.0, 2.3830, 0.41
275.0, 2.3629, 0.43
276.0, 2.3567, 0.44
277.0, 2.3560, 0.44
278.0, 2.3488, 0.45
279.0, 2.3513, 0.45
280.0, 2.3403, 0.46
281.0, 2.3353, 0.46
282.0, 2.3271, 0.47
283.0, 2.3234, 0.47
284.0, 2.3231, 0.48
285.0, 2.3142, 0.49
286.0, 2.3163, 0.48
287.0, 2.3170, 0.48
288.0, 2.3065, 0.49
289.0, 2.3080, 0.49
290.0, 2.3031, 0.50
291.0, 2.2987, 0.50
292.0, 2.3012, 0.50
293.0, 2.2932, 0.51
294.0, 2.2892, 0.51
295.0, 2.2830, 0.52
296.0, 2.2749, 0.53
297.0, 2.2716, 0.54
298.0, 2.2613, 0.55
299.0, 2.1892, 0.65
300.0, 2.0644, 0.86
301.0, 1.8728, 1.34
302.0, 1.6633, 2.17
303.0, 1.4479, 3.57
304.0, 1.2345, 5.83
