Sample Name, Sample-113
Time, February 06 14:59:37 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2406, 5.75
301.0, 1.2354, 5.82
302.0, 1.2307, 5.88
303.0, 1.2253, 5.95
304.0, 1.2179, 6.06
305.0, 1.2042, 6.25
306.0, 1.1815, 6.58
307.0, 1.1500, 7.08
308.0, 1.1067, 7.82
309.0, 1.0583, 8.74
310.0, 1.0071, 9.84
311.0, 0.9569, 11.04
312.0, 0.9111, 12.27
313.0, 0.8718, 13.43
314.0, 0.8370, 14.55
315.0, 0.8093, 15.51
316.0, 0.7853, 16.40
317.0, 0.7619, 17.30
318.0, 0.7372, 18.31
319.0, 0.7165, 19.21
320.0, 0.6982, 20.04
321.0, 0.6819, 20.80
322.0, 0.6664, 21.56
323.0, 0.6518, 22.30
324.0, 0.6381, 23.01
325.0, 0.6254, 23.69
326.0, 0.6131, 24.37
327.0, 0.6013, 25.04
328.0, 0.5899, 25.71
329.0, 0.5792, 26.35
330.0, 0.5722, 26.78
331.0, 0.5522, 28.04
332.0, 0.5394, 28.88
333.0, 0.5276, 29.67
334.0, 0.5156, 30.51
335.0, 0.5039, 31.34
336.0, 0.4929, 32.15
337.0, 0.4821, 32.95
338.0, 0.4719, 33.74
339.0, 0.4645, 34.32
340.0, 0.3788, 41.80
341.0, 0.3745, 42.22
342.0, 0.3696, 42.70
343.0, 0.3644, 43.21
344.0, 0.3600, 43.65
345.0, 0.3557, 44.08
346.0, 0.3512, 44.55
347.0, 0.3465, 45.03
348.0, 0.3427, 45.43
349.0, 0.3386, 45.85
350.0, 0.3349, 46.24
351.0, 0.3303, 46.75
352.0, 0.3263, 47.18
353.0, 0.3216, 47.69
354.0, 0.3167, 48.23
355.0, 0.3114, 48.82
356.0, 0.3062, 49.41
357.0, 0.3008, 50.02
358.0, 0.2952, 50.68
359.0, 0.2897, 51.32
360.0, 0.2849, 51.90
361.0, 0.2801, 52.47
362.0, 0.2755, 53.03
363.0, 0.2713, 53.54
364.0, 0.2664, 54.15
365.0, 0.2614, 54.78
366.0, 0.2550, 55.59
367.0, 0.2491, 56.35
368.0, 0.2434, 57.09
369.0, 0.2376, 57.86
370.0, 0.2343, 58.31
371.0, 0.2463, 56.71
372.0, 0.2432, 57.13
373.0, 0.2399, 57.56
374.0, 0.2369, 57.95
375.0, 0.2342, 58.32
376.0, 0.2313, 58.71
377.0, 0.2281, 59.14
378.0, 0.2248, 59.59
379.0, 0.2219, 60.00
380.0, 0.2189, 60.41
381.0, 0.2161, 60.80
382.0, 0.2134, 61.18
383.0, 0.2104, 61.60
384.0, 0.2088, 61.83
385.0, 0.2052, 62.34
386.0, 0.2027, 62.71
387.0, 0.2001, 63.08
388.0, 0.1978, 63.42
389.0, 0.1951, 63.81
390.0, 0.1922, 64.24
391.0, 0.1897, 64.61
392.0, 0.1871, 65.00
393.0, 0.1848, 65.34
394.0, 0.1823, 65.72
395.0, 0.1799, 66.09
396.0, 0.1774, 66.47
397.0, 0.1750, 66.84
398.0, 0.1731, 67.13
399.0, 0.1710, 67.46
400.0, 0.1689, 67.78
401.0, 0.1666, 68.13
402.0, 0.1644, 68.48
403.0, 0.1624, 68.80
404.0, 0.1600, 69.18
405.0, 0.1580, 69.51
406.0, 0.1560, 69.83
407.0, 0.1538, 70.18
408.0, 0.1519, 70.49
409.0, 0.1499, 70.81
410.0, 0.1482, 71.09
411.0, 0.1466, 71.35
412.0, 0.1451, 71.60
413.0, 0.1433, 71.89
414.0, 0.1415, 72.19
415.0, 0.1397, 72.49
416.0, 0.1379, 72.79
417.0, 0.1364, 73.04
418.0, 0.1350, 73.28
419.0, 0.1334, 73.55
420.0, 0.1317, 73.84
421.0, 0.1300, 74.13
422.0, 0.1286, 74.37
423.0, 0.1274, 74.58
424.0, 0.1261, 74.80
425.0, 0.1247, 75.05
426.0, 0.1232, 75.30
427.0, 0.1218, 75.55
428.0, 0.1204, 75.79
429.0, 0.1190, 76.02
430.0, 0.1178, 76.25
431.0, 0.1163, 76.51
432.0, 0.1150, 76.73
433.0, 0.1138, 76.95
434.0, 0.1125, 77.17
435.0, 0.1116, 77.35
436.0, 0.1104, 77.55
437.0, 0.1091, 77.78
438.0, 0.1080, 77.98
439.0, 0.1067, 78.21
440.0, 0.1054, 78.45
441.0, 0.1042, 78.66
442.0, 0.1030, 78.88
443.0, 0.1018, 79.11
444.0, 0.1007, 79.31
445.0, 0.0994, 79.53
446.0, 0.0985, 79.71
447.0, 0.0975, 79.89
448.0, 0.0968, 80.02
449.0, 0.0958, 80.20
450.0, 0.0952, 80.31
