Sample Name, Sample-52
Time, February 06 11:19:07 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9328, 11.67
301.0, 0.8476, 14.20
302.0, 0.7693, 17.01
303.0, 0.7027, 19.83
304.0, 0.6474, 22.52
305.0, 0.5958, 25.36
306.0, 0.5453, 28.49
307.0, 0.5050, 31.26
308.0, 0.4720, 33.73
309.0, 0.4461, 35.80
310.0, 0.4248, 37.60
311.0, 0.4073, 39.14
312.0, 0.3931, 40.45
313.0, 0.3818, 41.52
314.0, 0.3728, 42.38
315.0, 0.3653, 43.12
316.0, 0.3588, 43.77
317.0, 0.3528, 44.39
318.0, 0.3469, 44.99
319.0, 0.3419, 45.51
320.0, 0.3371, 46.02
321.0, 0.3327, 46.48
322.0, 0.3289, 46.89
323.0, 0.3250, 47.31
324.0, 0.3214, 47.71
325.0, 0.3180, 48.08
326.0, 0.3149, 48.43
327.0, 0.3118, 48.78
328.0, 0.3089, 49.10
329.0, 0.3059, 49.44
330.0, 0.3042, 49.64
331.0, 0.2991, 50.22
332.0, 0.2957, 50.61
333.0, 0.2928, 50.95
334.0, 0.2900, 51.29
335.0, 0.2867, 51.68
336.0, 0.2836, 52.05
337.0, 0.2812, 52.33
338.0, 0.2787, 52.64
339.0, 0.2765, 52.91
340.0, 0.2523, 55.94
341.0, 0.2508, 56.13
342.0, 0.2496, 56.29
343.0, 0.2479, 56.50
344.0, 0.2464, 56.70
345.0, 0.2447, 56.92
346.0, 0.2436, 57.08
347.0, 0.2425, 57.22
348.0, 0.2411, 57.40
349.0, 0.2400, 57.54
350.0, 0.2383, 57.76
351.0, 0.2370, 57.94
352.0, 0.2358, 58.10
353.0, 0.2338, 58.37
354.0, 0.2321, 58.60
355.0, 0.2300, 58.88
356.0, 0.2278, 59.18
357.0, 0.2260, 59.43
358.0, 0.2238, 59.73
359.0, 0.2216, 60.04
360.0, 0.2195, 60.33
361.0, 0.2175, 60.60
362.0, 0.2156, 60.87
363.0, 0.2141, 61.09
364.0, 0.2121, 61.36
365.0, 0.2098, 61.69
366.0, 0.2077, 61.98
367.0, 0.2056, 62.29
368.0, 0.2030, 62.66
369.0, 0.1999, 63.11
370.0, 0.1988, 63.26
371.0, 0.2008, 62.98
372.0, 0.1988, 63.28
373.0, 0.1971, 63.52
374.0, 0.1956, 63.74
375.0, 0.1942, 63.95
376.0, 0.1925, 64.19
377.0, 0.1911, 64.41
378.0, 0.1896, 64.63
379.0, 0.1878, 64.89
380.0, 0.1863, 65.12
381.0, 0.1846, 65.37
382.0, 0.1831, 65.60
383.0, 0.1815, 65.84
384.0, 0.1807, 65.97
385.0, 0.1784, 66.32
386.0, 0.1770, 66.53
387.0, 0.1755, 66.76
388.0, 0.1742, 66.96
389.0, 0.1726, 67.21
390.0, 0.1713, 67.40
391.0, 0.1698, 67.64
392.0, 0.1682, 67.88
393.0, 0.1670, 68.08
394.0, 0.1654, 68.32
395.0, 0.1639, 68.56
396.0, 0.1625, 68.78
397.0, 0.1612, 69.00
398.0, 0.1598, 69.22
399.0, 0.1587, 69.39
400.0, 0.1576, 69.57
401.0, 0.1562, 69.79
402.0, 0.1548, 70.02
403.0, 0.1537, 70.20
404.0, 0.1523, 70.42
405.0, 0.1511, 70.61
406.0, 0.1498, 70.83
407.0, 0.1485, 71.04
408.0, 0.1474, 71.22
409.0, 0.1463, 71.40
410.0, 0.1449, 71.62
411.0, 0.1440, 71.78
412.0, 0.1430, 71.94
413.0, 0.1419, 72.13
414.0, 0.1407, 72.33
415.0, 0.1398, 72.48
416.0, 0.1386, 72.67
417.0, 0.1376, 72.85
418.0, 0.1366, 73.02
419.0, 0.1355, 73.20
420.0, 0.1345, 73.36
421.0, 0.1333, 73.57
422.0, 0.1324, 73.73
423.0, 0.1313, 73.91
424.0, 0.1305, 74.05
425.0, 0.1296, 74.19
426.0, 0.1285, 74.40
427.0, 0.1277, 74.53
428.0, 0.1267, 74.70
429.0, 0.1259, 74.84
430.0, 0.1248, 75.02
431.0, 0.1239, 75.17
432.0, 0.1230, 75.34
433.0, 0.1221, 75.49
434.0, 0.1212, 75.64
435.0, 0.1205, 75.77
436.0, 0.1197, 75.92
437.0, 0.1188, 76.07
438.0, 0.1179, 76.22
439.0, 0.1171, 76.36
440.0, 0.1163, 76.51
441.0, 0.1154, 76.67
442.0, 0.1145, 76.82
443.0, 0.1137, 76.97
444.0, 0.1129, 77.11
445.0, 0.1121, 77.26
446.0, 0.1113, 77.40
447.0, 0.1107, 77.51
448.0, 0.1099, 77.64
449.0, 0.1093, 77.76
450.0, 0.1089, 77.82
