Sample Name, Sample-55
Time, February 06 11:23:15 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0337, 9.25
301.0, 0.9633, 10.88
302.0, 0.8977, 12.66
303.0, 0.8409, 14.42
304.0, 0.7930, 16.11
305.0, 0.7470, 17.91
306.0, 0.7031, 19.81
307.0, 0.6674, 21.51
308.0, 0.6375, 23.04
309.0, 0.6131, 24.37
310.0, 0.5928, 25.54
311.0, 0.5755, 26.58
312.0, 0.5616, 27.44
313.0, 0.5499, 28.19
314.0, 0.5403, 28.82
315.0, 0.5321, 29.37
316.0, 0.5250, 29.85
317.0, 0.5180, 30.34
318.0, 0.5112, 30.82
319.0, 0.5047, 31.28
320.0, 0.4989, 31.70
321.0, 0.4936, 32.09
322.0, 0.4883, 32.49
323.0, 0.4828, 32.90
324.0, 0.4780, 33.27
325.0, 0.4736, 33.61
326.0, 0.4690, 33.97
327.0, 0.4647, 34.30
328.0, 0.4607, 34.62
329.0, 0.4570, 34.92
330.0, 0.4543, 35.13
331.0, 0.4469, 35.73
332.0, 0.4425, 36.10
333.0, 0.4384, 36.44
334.0, 0.4340, 36.81
335.0, 0.4296, 37.19
336.0, 0.4254, 37.55
337.0, 0.4215, 37.89
338.0, 0.4179, 38.21
339.0, 0.4145, 38.51
340.0, 0.3701, 42.64
341.0, 0.3689, 42.77
342.0, 0.3668, 42.97
343.0, 0.3659, 43.06
344.0, 0.3644, 43.21
345.0, 0.3629, 43.36
346.0, 0.3615, 43.50
347.0, 0.3601, 43.64
348.0, 0.3590, 43.75
349.0, 0.3572, 43.93
350.0, 0.3561, 44.05
351.0, 0.3548, 44.17
352.0, 0.3532, 44.34
353.0, 0.3511, 44.56
354.0, 0.3488, 44.79
355.0, 0.3465, 45.03
356.0, 0.3438, 45.31
357.0, 0.3411, 45.59
358.0, 0.3383, 45.89
359.0, 0.3353, 46.21
360.0, 0.3325, 46.51
361.0, 0.3296, 46.82
362.0, 0.3268, 47.12
363.0, 0.3244, 47.38
364.0, 0.3217, 47.68
365.0, 0.3183, 48.05
366.0, 0.3148, 48.44
367.0, 0.3110, 48.87
368.0, 0.3066, 49.36
369.0, 0.3029, 49.78
370.0, 0.3008, 50.03
371.0, 0.3099, 48.99
372.0, 0.3074, 49.27
373.0, 0.3053, 49.51
374.0, 0.3033, 49.74
375.0, 0.3011, 49.99
376.0, 0.2992, 50.21
377.0, 0.2971, 50.46
378.0, 0.2948, 50.72
379.0, 0.2926, 50.99
380.0, 0.2905, 51.23
381.0, 0.2883, 51.48
382.0, 0.2866, 51.69
383.0, 0.2843, 51.96
384.0, 0.2834, 52.07
385.0, 0.2798, 52.51
386.0, 0.2779, 52.74
387.0, 0.2761, 52.96
388.0, 0.2740, 53.21
389.0, 0.2721, 53.45
390.0, 0.2699, 53.71
391.0, 0.2678, 53.97
392.0, 0.2657, 54.24
393.0, 0.2635, 54.51
394.0, 0.2614, 54.77
395.0, 0.2593, 55.04
396.0, 0.2572, 55.30
397.0, 0.2550, 55.59
398.0, 0.2533, 55.81
399.0, 0.2515, 56.04
400.0, 0.2497, 56.28
401.0, 0.2476, 56.55
402.0, 0.2456, 56.81
403.0, 0.2436, 57.07
404.0, 0.2418, 57.30
405.0, 0.2401, 57.54
406.0, 0.2381, 57.80
407.0, 0.2361, 58.06
408.0, 0.2343, 58.31
409.0, 0.2326, 58.53
410.0, 0.2307, 58.79
411.0, 0.2292, 58.99
412.0, 0.2275, 59.23
413.0, 0.2257, 59.47
414.0, 0.2239, 59.72
415.0, 0.2222, 59.95
416.0, 0.2204, 60.20
417.0, 0.2187, 60.43
418.0, 0.2171, 60.66
419.0, 0.2154, 60.89
420.0, 0.2138, 61.12
421.0, 0.2121, 61.36
422.0, 0.2105, 61.59
423.0, 0.2091, 61.79
424.0, 0.2075, 62.01
425.0, 0.2060, 62.23
426.0, 0.2043, 62.47
427.0, 0.2028, 62.70
428.0, 0.2013, 62.91
429.0, 0.1997, 63.14
430.0, 0.1981, 63.37
431.0, 0.1966, 63.60
432.0, 0.1951, 63.81
433.0, 0.1936, 64.03
434.0, 0.1921, 64.25
435.0, 0.1909, 64.43
436.0, 0.1897, 64.62
437.0, 0.1881, 64.85
438.0, 0.1867, 65.06
439.0, 0.1852, 65.28
440.0, 0.1837, 65.50
441.0, 0.1824, 65.70
442.0, 0.1809, 65.93
443.0, 0.1793, 66.18
444.0, 0.1779, 66.39
445.0, 0.1764, 66.62
446.0, 0.1751, 66.82
447.0, 0.1739, 67.00
448.0, 0.1727, 67.18
449.0, 0.1717, 67.35
450.0, 0.1708, 67.48
