Sample Name, Sample-104
Time, February 06 14:46:13 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2443, 5.70
301.0, 1.2350, 5.82
302.0, 1.2211, 6.01
303.0, 1.2014, 6.29
304.0, 1.1762, 6.66
305.0, 1.1409, 7.23
306.0, 1.0939, 8.06
307.0, 1.0466, 8.98
308.0, 0.9996, 10.01
309.0, 0.9571, 11.04
310.0, 0.9176, 12.09
311.0, 0.8819, 13.12
312.0, 0.8519, 14.06
313.0, 0.8263, 14.92
314.0, 0.8057, 15.64
315.0, 0.7881, 16.29
316.0, 0.7725, 16.88
317.0, 0.7565, 17.52
318.0, 0.7409, 18.16
319.0, 0.7271, 18.75
320.0, 0.7138, 19.33
321.0, 0.7020, 19.86
322.0, 0.6906, 20.39
323.0, 0.6786, 20.96
324.0, 0.6670, 21.53
325.0, 0.6569, 22.03
326.0, 0.6471, 22.53
327.0, 0.6368, 23.08
328.0, 0.6276, 23.57
329.0, 0.6181, 24.09
330.0, 0.6120, 24.43
331.0, 0.5945, 25.44
332.0, 0.5831, 26.12
333.0, 0.5721, 26.79
334.0, 0.5615, 27.45
335.0, 0.5504, 28.16
336.0, 0.5402, 28.83
337.0, 0.5293, 29.56
338.0, 0.5197, 30.22
339.0, 0.5121, 30.75
340.0, 0.4159, 38.38
341.0, 0.4121, 38.72
342.0, 0.4082, 39.07
343.0, 0.4038, 39.46
344.0, 0.3998, 39.83
345.0, 0.3958, 40.20
346.0, 0.3922, 40.53
347.0, 0.3875, 40.98
348.0, 0.3841, 41.29
349.0, 0.3799, 41.70
350.0, 0.3764, 42.03
351.0, 0.3724, 42.42
352.0, 0.3685, 42.80
353.0, 0.3637, 43.28
354.0, 0.3581, 43.84
355.0, 0.3523, 44.43
356.0, 0.3464, 45.04
357.0, 0.3405, 45.65
358.0, 0.3346, 46.28
359.0, 0.3292, 46.86
360.0, 0.3230, 47.54
361.0, 0.3179, 48.10
362.0, 0.3127, 48.67
363.0, 0.3080, 49.20
364.0, 0.3026, 49.82
365.0, 0.2973, 50.43
366.0, 0.2902, 51.26
367.0, 0.2838, 52.03
368.0, 0.2770, 52.84
369.0, 0.2704, 53.65
370.0, 0.2665, 54.14
371.0, 0.2815, 52.30
372.0, 0.2775, 52.78
373.0, 0.2739, 53.22
374.0, 0.2703, 53.66
375.0, 0.2672, 54.05
376.0, 0.2639, 54.46
377.0, 0.2605, 54.89
378.0, 0.2568, 55.36
379.0, 0.2535, 55.78
380.0, 0.2499, 56.25
381.0, 0.2468, 56.65
382.0, 0.2434, 57.10
383.0, 0.2405, 57.48
384.0, 0.2386, 57.73
385.0, 0.2344, 58.30
386.0, 0.2314, 58.69
387.0, 0.2285, 59.08
388.0, 0.2259, 59.44
389.0, 0.2230, 59.85
390.0, 0.2198, 60.28
391.0, 0.2168, 60.70
392.0, 0.2140, 61.10
393.0, 0.2112, 61.50
394.0, 0.2085, 61.88
395.0, 0.2056, 62.29
396.0, 0.2027, 62.71
397.0, 0.1999, 63.11
398.0, 0.1974, 63.47
399.0, 0.1952, 63.80
400.0, 0.1928, 64.15
401.0, 0.1905, 64.50
402.0, 0.1879, 64.89
403.0, 0.1854, 65.25
404.0, 0.1829, 65.63
405.0, 0.1804, 66.01
406.0, 0.1781, 66.37
407.0, 0.1757, 66.72
408.0, 0.1735, 67.07
409.0, 0.1712, 67.42
410.0, 0.1692, 67.73
411.0, 0.1675, 67.99
412.0, 0.1657, 68.27
413.0, 0.1637, 68.60
414.0, 0.1615, 68.95
415.0, 0.1594, 69.27
416.0, 0.1574, 69.59
417.0, 0.1555, 69.90
418.0, 0.1538, 70.19
419.0, 0.1520, 70.47
420.0, 0.1502, 70.77
421.0, 0.1482, 71.08
422.0, 0.1468, 71.31
423.0, 0.1455, 71.54
424.0, 0.1439, 71.80
425.0, 0.1423, 72.07
426.0, 0.1407, 72.32
427.0, 0.1391, 72.59
428.0, 0.1376, 72.84
429.0, 0.1361, 73.10
430.0, 0.1346, 73.35
431.0, 0.1329, 73.64
432.0, 0.1315, 73.87
433.0, 0.1300, 74.12
434.0, 0.1287, 74.35
435.0, 0.1276, 74.55
436.0, 0.1265, 74.73
437.0, 0.1250, 74.98
438.0, 0.1237, 75.22
439.0, 0.1223, 75.46
440.0, 0.1208, 75.72
441.0, 0.1195, 75.94
442.0, 0.1182, 76.17
443.0, 0.1169, 76.41
444.0, 0.1156, 76.62
445.0, 0.1143, 76.86
446.0, 0.1131, 77.08
447.0, 0.1120, 77.27
448.0, 0.1111, 77.44
449.0, 0.1100, 77.62
450.0, 0.1093, 77.75
