Sample Name, Sample-105
Time, February 06 14:47:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2454, 5.68
301.0, 1.2353, 5.82
302.0, 1.2220, 6.00
303.0, 1.2025, 6.27
304.0, 1.1783, 6.63
305.0, 1.1424, 7.20
306.0, 1.0969, 8.00
307.0, 1.0495, 8.92
308.0, 1.0028, 9.94
309.0, 0.9583, 11.01
310.0, 0.9184, 12.07
311.0, 0.8820, 13.12
312.0, 0.8511, 14.09
313.0, 0.8257, 14.94
314.0, 0.8049, 15.67
315.0, 0.7868, 16.34
316.0, 0.7713, 16.93
317.0, 0.7557, 17.55
318.0, 0.7399, 18.20
319.0, 0.7253, 18.82
320.0, 0.7124, 19.39
321.0, 0.7009, 19.91
322.0, 0.6893, 20.45
323.0, 0.6778, 21.00
324.0, 0.6666, 21.55
325.0, 0.6557, 22.09
326.0, 0.6454, 22.63
327.0, 0.6355, 23.15
328.0, 0.6260, 23.66
329.0, 0.6162, 24.20
330.0, 0.6104, 24.52
331.0, 0.5931, 25.52
332.0, 0.5821, 26.17
333.0, 0.5714, 26.83
334.0, 0.5607, 27.50
335.0, 0.5495, 28.21
336.0, 0.5389, 28.91
337.0, 0.5288, 29.60
338.0, 0.5192, 30.25
339.0, 0.5118, 30.77
340.0, 0.4157, 38.40
341.0, 0.4117, 38.75
342.0, 0.4078, 39.11
343.0, 0.4038, 39.46
344.0, 0.3996, 39.84
345.0, 0.3951, 40.26
346.0, 0.3915, 40.60
347.0, 0.3872, 41.00
348.0, 0.3837, 41.34
349.0, 0.3794, 41.74
350.0, 0.3761, 42.06
351.0, 0.3720, 42.46
352.0, 0.3673, 42.93
353.0, 0.3616, 43.49
354.0, 0.3569, 43.96
355.0, 0.3510, 44.57
356.0, 0.3454, 45.14
357.0, 0.3400, 45.70
358.0, 0.3341, 46.33
359.0, 0.3281, 46.98
360.0, 0.3221, 47.64
361.0, 0.3168, 48.22
362.0, 0.3116, 48.79
363.0, 0.3066, 49.36
364.0, 0.3014, 49.96
365.0, 0.2964, 50.53
366.0, 0.2897, 51.32
367.0, 0.2830, 52.12
368.0, 0.2768, 52.87
369.0, 0.2698, 53.73
370.0, 0.2654, 54.28
371.0, 0.2806, 52.41
372.0, 0.2768, 52.87
373.0, 0.2729, 53.35
374.0, 0.2696, 53.75
375.0, 0.2665, 54.14
376.0, 0.2630, 54.57
377.0, 0.2596, 55.01
378.0, 0.2558, 55.49
379.0, 0.2523, 55.93
380.0, 0.2488, 56.40
381.0, 0.2457, 56.79
382.0, 0.2426, 57.20
383.0, 0.2394, 57.62
384.0, 0.2376, 57.87
385.0, 0.2331, 58.47
386.0, 0.2300, 58.88
387.0, 0.2273, 59.25
388.0, 0.2246, 59.63
389.0, 0.2218, 60.01
390.0, 0.2187, 60.44
391.0, 0.2158, 60.84
392.0, 0.2128, 61.27
393.0, 0.2098, 61.69
394.0, 0.2071, 62.07
395.0, 0.2042, 62.48
396.0, 0.2013, 62.90
397.0, 0.1986, 63.29
398.0, 0.1962, 63.65
399.0, 0.1937, 64.01
400.0, 0.1914, 64.36
401.0, 0.1891, 64.70
402.0, 0.1866, 65.07
403.0, 0.1841, 65.44
404.0, 0.1816, 65.83
405.0, 0.1792, 66.20
406.0, 0.1768, 66.55
407.0, 0.1745, 66.91
408.0, 0.1724, 67.23
409.0, 0.1702, 67.57
410.0, 0.1684, 67.86
411.0, 0.1666, 68.14
412.0, 0.1646, 68.45
413.0, 0.1626, 68.77
414.0, 0.1607, 69.08
415.0, 0.1587, 69.39
416.0, 0.1566, 69.73
417.0, 0.1548, 70.02
418.0, 0.1530, 70.30
419.0, 0.1510, 70.63
420.0, 0.1491, 70.93
421.0, 0.1474, 71.23
422.0, 0.1458, 71.48
423.0, 0.1443, 71.73
424.0, 0.1428, 71.98
425.0, 0.1413, 72.23
426.0, 0.1396, 72.51
427.0, 0.1380, 72.78
428.0, 0.1366, 73.02
429.0, 0.1349, 73.30
430.0, 0.1335, 73.54
431.0, 0.1321, 73.78
432.0, 0.1307, 74.02
433.0, 0.1291, 74.28
434.0, 0.1278, 74.50
435.0, 0.1266, 74.71
436.0, 0.1255, 74.91
437.0, 0.1240, 75.16
438.0, 0.1227, 75.39
439.0, 0.1213, 75.64
440.0, 0.1200, 75.86
441.0, 0.1186, 76.10
442.0, 0.1174, 76.32
443.0, 0.1159, 76.58
444.0, 0.1147, 76.79
445.0, 0.1134, 77.01
446.0, 0.1123, 77.22
447.0, 0.1113, 77.40
448.0, 0.1103, 77.58
449.0, 0.1094, 77.73
450.0, 0.1087, 77.86
