Sample Name, Sample-43
Time, February 06 11:06:52 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9614, 10.93
301.0, 0.8761, 13.30
302.0, 0.7965, 15.98
303.0, 0.7295, 18.64
304.0, 0.6733, 21.22
305.0, 0.6207, 23.95
306.0, 0.5700, 26.91
307.0, 0.5293, 29.56
308.0, 0.4957, 31.93
309.0, 0.4692, 33.94
310.0, 0.4476, 35.68
311.0, 0.4293, 37.21
312.0, 0.4147, 38.48
313.0, 0.4033, 39.50
314.0, 0.3936, 40.41
315.0, 0.3857, 41.14
316.0, 0.3789, 41.79
317.0, 0.3725, 42.41
318.0, 0.3663, 43.02
319.0, 0.3608, 43.57
320.0, 0.3555, 44.10
321.0, 0.3509, 44.57
322.0, 0.3467, 45.01
323.0, 0.3423, 45.47
324.0, 0.3381, 45.90
325.0, 0.3345, 46.29
326.0, 0.3311, 46.66
327.0, 0.3278, 47.01
328.0, 0.3243, 47.39
329.0, 0.3210, 47.75
330.0, 0.3190, 47.98
331.0, 0.3135, 48.59
332.0, 0.3098, 49.00
333.0, 0.3065, 49.38
334.0, 0.3032, 49.75
335.0, 0.2997, 50.15
336.0, 0.2959, 50.59
337.0, 0.2930, 50.94
338.0, 0.2903, 51.25
339.0, 0.2881, 51.51
340.0, 0.2634, 54.53
341.0, 0.2614, 54.78
342.0, 0.2594, 55.03
343.0, 0.2572, 55.30
344.0, 0.2558, 55.49
345.0, 0.2539, 55.73
346.0, 0.2524, 55.93
347.0, 0.2505, 56.17
348.0, 0.2488, 56.38
349.0, 0.2470, 56.62
350.0, 0.2451, 56.87
351.0, 0.2441, 57.01
352.0, 0.2423, 57.25
353.0, 0.2403, 57.50
354.0, 0.2383, 57.78
355.0, 0.2361, 58.06
356.0, 0.2340, 58.35
357.0, 0.2317, 58.66
358.0, 0.2290, 59.03
359.0, 0.2262, 59.40
360.0, 0.2243, 59.66
361.0, 0.2221, 59.96
362.0, 0.2199, 60.28
363.0, 0.2180, 60.53
364.0, 0.2156, 60.86
365.0, 0.2131, 61.22
366.0, 0.2105, 61.59
367.0, 0.2077, 61.98
368.0, 0.2048, 62.40
369.0, 0.2023, 62.76
370.0, 0.2010, 62.95
371.0, 0.2031, 62.65
372.0, 0.2009, 62.96
373.0, 0.1990, 63.24
374.0, 0.1976, 63.45
375.0, 0.1958, 63.70
376.0, 0.1939, 63.98
377.0, 0.1924, 64.21
378.0, 0.1904, 64.51
379.0, 0.1884, 64.80
380.0, 0.1866, 65.07
381.0, 0.1849, 65.33
382.0, 0.1833, 65.57
383.0, 0.1816, 65.83
384.0, 0.1808, 65.95
385.0, 0.1780, 66.37
386.0, 0.1763, 66.63
387.0, 0.1748, 66.86
388.0, 0.1735, 67.07
389.0, 0.1720, 67.30
390.0, 0.1704, 67.55
391.0, 0.1684, 67.85
392.0, 0.1669, 68.09
393.0, 0.1654, 68.33
394.0, 0.1638, 68.58
395.0, 0.1621, 68.85
396.0, 0.1607, 69.07
397.0, 0.1592, 69.31
398.0, 0.1578, 69.54
399.0, 0.1564, 69.76
400.0, 0.1550, 69.98
401.0, 0.1536, 70.20
402.0, 0.1521, 70.46
403.0, 0.1507, 70.68
404.0, 0.1494, 70.89
405.0, 0.1481, 71.10
406.0, 0.1469, 71.31
407.0, 0.1455, 71.53
408.0, 0.1442, 71.74
409.0, 0.1429, 71.96
410.0, 0.1415, 72.19
411.0, 0.1406, 72.34
412.0, 0.1395, 72.53
413.0, 0.1384, 72.72
414.0, 0.1371, 72.94
415.0, 0.1360, 73.12
416.0, 0.1347, 73.34
417.0, 0.1336, 73.51
418.0, 0.1324, 73.72
419.0, 0.1313, 73.91
420.0, 0.1303, 74.09
421.0, 0.1290, 74.30
422.0, 0.1280, 74.47
423.0, 0.1271, 74.63
424.0, 0.1260, 74.81
425.0, 0.1252, 74.96
426.0, 0.1240, 75.16
427.0, 0.1231, 75.32
428.0, 0.1220, 75.51
429.0, 0.1211, 75.67
430.0, 0.1200, 75.86
431.0, 0.1191, 76.01
432.0, 0.1181, 76.19
433.0, 0.1173, 76.33
434.0, 0.1164, 76.49
435.0, 0.1156, 76.63
436.0, 0.1147, 76.79
437.0, 0.1138, 76.95
438.0, 0.1129, 77.11
439.0, 0.1120, 77.27
440.0, 0.1112, 77.42
441.0, 0.1103, 77.58
442.0, 0.1095, 77.71
443.0, 0.1087, 77.86
444.0, 0.1078, 78.02
445.0, 0.1069, 78.18
446.0, 0.1061, 78.32
447.0, 0.1055, 78.43
448.0, 0.1047, 78.57
449.0, 0.1043, 78.64
450.0, 0.1038, 78.73
