Sample Name, Sample-46
Time, February 06 11:10:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0455, 9.00
301.0, 0.9688, 10.75
302.0, 0.8962, 12.70
303.0, 0.8332, 14.68
304.0, 0.7793, 16.62
305.0, 0.7274, 18.73
306.0, 0.6799, 20.90
307.0, 0.6404, 22.89
308.0, 0.6074, 24.69
309.0, 0.5805, 26.27
310.0, 0.5584, 27.64
311.0, 0.5399, 28.85
312.0, 0.5249, 29.86
313.0, 0.5127, 30.71
314.0, 0.5025, 31.44
315.0, 0.4939, 32.07
316.0, 0.4866, 32.62
317.0, 0.4794, 33.16
318.0, 0.4724, 33.70
319.0, 0.4661, 34.19
320.0, 0.4601, 34.67
321.0, 0.4545, 35.12
322.0, 0.4495, 35.52
323.0, 0.4443, 35.95
324.0, 0.4398, 36.33
325.0, 0.4354, 36.70
326.0, 0.4307, 37.09
327.0, 0.4266, 37.44
328.0, 0.4227, 37.78
329.0, 0.4188, 38.13
330.0, 0.4165, 38.33
331.0, 0.4094, 38.95
332.0, 0.4048, 39.37
333.0, 0.4004, 39.77
334.0, 0.3962, 40.16
335.0, 0.3920, 40.55
336.0, 0.3877, 40.95
337.0, 0.3838, 41.32
338.0, 0.3804, 41.65
339.0, 0.3773, 41.95
340.0, 0.3389, 45.82
341.0, 0.3371, 46.01
342.0, 0.3355, 46.18
343.0, 0.3340, 46.34
344.0, 0.3327, 46.48
345.0, 0.3305, 46.72
346.0, 0.3290, 46.88
347.0, 0.3275, 47.05
348.0, 0.3255, 47.26
349.0, 0.3241, 47.42
350.0, 0.3228, 47.56
351.0, 0.3209, 47.76
352.0, 0.3191, 47.96
353.0, 0.3168, 48.22
354.0, 0.3147, 48.45
355.0, 0.3121, 48.74
356.0, 0.3098, 49.00
357.0, 0.3070, 49.32
358.0, 0.3042, 49.63
359.0, 0.3013, 49.97
360.0, 0.2986, 50.29
361.0, 0.2958, 50.61
362.0, 0.2932, 50.91
363.0, 0.2910, 51.17
364.0, 0.2884, 51.48
365.0, 0.2849, 51.89
366.0, 0.2815, 52.30
367.0, 0.2779, 52.73
368.0, 0.2741, 53.20
369.0, 0.2703, 53.66
370.0, 0.2688, 53.86
371.0, 0.2752, 53.07
372.0, 0.2730, 53.33
373.0, 0.2707, 53.62
374.0, 0.2687, 53.87
375.0, 0.2669, 54.09
376.0, 0.2647, 54.37
377.0, 0.2627, 54.61
378.0, 0.2604, 54.90
379.0, 0.2582, 55.18
380.0, 0.2561, 55.45
381.0, 0.2539, 55.73
382.0, 0.2520, 55.98
383.0, 0.2499, 56.25
384.0, 0.2489, 56.38
385.0, 0.2456, 56.81
386.0, 0.2436, 57.07
387.0, 0.2417, 57.32
388.0, 0.2400, 57.55
389.0, 0.2381, 57.80
390.0, 0.2361, 58.07
391.0, 0.2340, 58.34
392.0, 0.2320, 58.62
393.0, 0.2300, 58.88
394.0, 0.2280, 59.16
395.0, 0.2260, 59.43
396.0, 0.2241, 59.69
397.0, 0.2222, 59.96
398.0, 0.2203, 60.21
399.0, 0.2187, 60.43
400.0, 0.2169, 60.69
401.0, 0.2151, 60.94
402.0, 0.2131, 61.22
403.0, 0.2115, 61.45
404.0, 0.2096, 61.72
405.0, 0.2078, 61.97
406.0, 0.2060, 62.23
407.0, 0.2041, 62.50
408.0, 0.2025, 62.73
409.0, 0.2009, 62.97
410.0, 0.1992, 63.20
411.0, 0.1977, 63.43
412.0, 0.1961, 63.66
413.0, 0.1945, 63.89
414.0, 0.1928, 64.15
415.0, 0.1913, 64.37
416.0, 0.1896, 64.62
417.0, 0.1882, 64.84
418.0, 0.1866, 65.08
419.0, 0.1851, 65.30
420.0, 0.1835, 65.54
421.0, 0.1820, 65.76
422.0, 0.1805, 65.99
423.0, 0.1791, 66.21
424.0, 0.1777, 66.43
425.0, 0.1763, 66.63
426.0, 0.1749, 66.86
427.0, 0.1733, 67.09
428.0, 0.1719, 67.31
429.0, 0.1706, 67.51
430.0, 0.1692, 67.73
431.0, 0.1680, 67.92
432.0, 0.1665, 68.15
433.0, 0.1651, 68.37
434.0, 0.1639, 68.57
435.0, 0.1627, 68.76
436.0, 0.1614, 68.95
437.0, 0.1602, 69.15
438.0, 0.1590, 69.34
439.0, 0.1577, 69.55
440.0, 0.1564, 69.76
441.0, 0.1551, 69.97
442.0, 0.1537, 70.19
443.0, 0.1525, 70.39
444.0, 0.1512, 70.59
445.0, 0.1498, 70.82
446.0, 0.1487, 71.01
447.0, 0.1477, 71.16
448.0, 0.1467, 71.34
449.0, 0.1457, 71.50
450.0, 0.1451, 71.60
