Sample Name, Sample-23
Time, February 13 16:47:09 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.6051, 0.25
231.0, 2.6085, 0.25
232.0, 2.6195, 0.24
233.0, 2.6238, 0.24
234.0, 2.6413, 0.23
235.0, 2.6329, 0.23
236.0, 2.6342, 0.23
237.0, 2.6447, 0.23
238.0, 2.6476, 0.23
239.0, 2.6371, 0.23
240.0, 2.6536, 0.22
241.0, 2.6376, 0.23
242.0, 2.6307, 0.23
243.0, 2.6166, 0.24
244.0, 2.6167, 0.24
245.0, 2.6118, 0.24
246.0, 2.6090, 0.25
247.0, 2.6062, 0.25
248.0, 2.5812, 0.26
249.0, 2.5808, 0.26
250.0, 2.5740, 0.27
251.0, 2.5561, 0.28
252.0, 2.5583, 0.28
253.0, 2.5519, 0.28
254.0, 2.5364, 0.29
255.0, 2.5331, 0.29
256.0, 2.5128, 0.31
257.0, 2.5056, 0.31
258.0, 2.5049, 0.31
259.0, 2.5010, 0.32
260.0, 2.4859, 0.33
261.0, 2.4797, 0.33
262.0, 2.4663, 0.34
263.0, 2.4500, 0.35
264.0, 2.4509, 0.35
265.0, 2.4422, 0.36
266.0, 2.4267, 0.37
267.0, 2.4222, 0.38
268.0, 2.4088, 0.39
269.0, 2.4002, 0.40
270.0, 2.3890, 0.41
271.0, 2.3902, 0.41
272.0, 2.3854, 0.41
273.0, 2.3681, 0.43
274.0, 2.3619, 0.43
275.0, 2.3631, 0.43
276.0, 2.3540, 0.44
277.0, 2.3466, 0.45
278.0, 2.3364, 0.46
279.0, 2.3347, 0.46
280.0, 2.3422, 0.45
281.0, 2.3368, 0.46
282.0, 2.3295, 0.47
283.0, 2.3188, 0.48
284.0, 2.3228, 0.48
285.0, 2.3135, 0.49
286.0, 2.3126, 0.49
287.0, 2.3062, 0.49
288.0, 2.2941, 0.51
289.0, 2.3023, 0.50
290.0, 2.2912, 0.51
291.0, 2.3042, 0.50
292.0, 2.3017, 0.50
293.0, 2.2868, 0.52
294.0, 2.2727, 0.53
295.0, 2.2652, 0.54
296.0, 2.2566, 0.55
297.0, 2.2237, 0.60
298.0, 2.1986, 0.63
299.0, 1.9613, 1.09
300.0, 1.7587, 1.74
301.0, 1.5502, 2.82
302.0, 1.3615, 4.35
303.0, 1.1915, 6.43
304.0, 1.0309, 9.31
305.0, 0.8956, 12.72
306.0, 0.7778, 16.68
307.0, 0.6827, 20.76
308.0, 0.6052, 24.82
309.0, 0.5439, 28.58
310.0, 0.4939, 32.07
311.0, 0.4527, 35.26
312.0, 0.4205, 37.98
313.0, 0.3961, 40.17
314.0, 0.3777, 41.91
315.0, 0.3631, 43.34
316.0, 0.3500, 44.67
317.0, 0.3389, 45.83
318.0, 0.3289, 46.89
319.0, 0.3205, 47.81
320.0, 0.3134, 48.59
321.0, 0.3071, 49.30
322.0, 0.3014, 49.95
323.0, 0.2961, 50.57
324.0, 0.2912, 51.15
325.0, 0.2866, 51.69
326.0, 0.2822, 52.21
327.0, 0.2784, 52.67
328.0, 0.2747, 53.12
329.0, 0.2710, 53.58
330.0, 0.2687, 53.86
331.0, 0.2622, 54.67
332.0, 0.2583, 55.17
333.0, 0.2546, 55.64
334.0, 0.2507, 56.14
335.0, 0.2468, 56.64
336.0, 0.2429, 57.17
337.0, 0.2392, 57.65
338.0, 0.2360, 58.08
339.0, 0.2341, 58.34
340.0, 0.2259, 59.45
341.0, 0.2225, 59.91
342.0, 0.2190, 60.39
343.0, 0.2156, 60.88
344.0, 0.2125, 61.31
345.0, 0.2093, 61.76
346.0, 0.2062, 62.21
347.0, 0.2031, 62.65
348.0, 0.1999, 63.11
349.0, 0.1966, 63.59
350.0, 0.1945, 63.89
351.0, 0.1913, 64.38
352.0, 0.1885, 64.79
353.0, 0.1858, 65.19
354.0, 0.1828, 65.65
355.0, 0.1796, 66.14
356.0, 0.1766, 66.58
357.0, 0.1739, 67.01
358.0, 0.1712, 67.42
359.0, 0.1685, 67.85
360.0, 0.1655, 68.31
361.0, 0.1628, 68.74
362.0, 0.1600, 69.18
363.0, 0.1578, 69.53
364.0, 0.1554, 69.92
365.0, 0.1531, 70.30
366.0, 0.1505, 70.71
367.0, 0.1480, 71.11
368.0, 0.1455, 71.54
369.0, 0.1430, 71.94
370.0, 0.1421, 72.10
371.0, 0.1391, 72.59
372.0, 0.1365, 73.03
373.0, 0.1343, 73.40
374.0, 0.1322, 73.76
375.0, 0.1302, 74.10
376.0, 0.1282, 74.44
377.0, 0.1263, 74.77
378.0, 0.1241, 75.14
379.0, 0.1219, 75.52
380.0, 0.1199, 75.88
381.0, 0.1178, 76.24
382.0, 0.1159, 76.58
383.0, 0.1141, 76.90
384.0, 0.1130, 77.08
385.0, 0.1099, 77.65
386.0, 0.1083, 77.93
387.0, 0.1067, 78.22
388.0, 0.1049, 78.54
389.0, 0.1036, 78.78
390.0, 0.1019, 79.09
391.0, 0.1003, 79.38
392.0, 0.0987, 79.68
393.0, 0.0968, 80.02
394.0, 0.0952, 80.31
395.0, 0.0937, 80.60
396.0, 0.0921, 80.89
397.0, 0.0906, 81.16
398.0, 0.0891, 81.45
399.0, 0.0878, 81.70
400.0, 0.0867, 81.91
401.0, 0.0853, 82.17
402.0, 0.0840, 82.41
403.0, 0.0825, 82.70
404.0, 0.0813, 82.94
405.0, 0.0800, 83.17
406.0, 0.0788, 83.40
407.0, 0.0775, 83.66
408.0, 0.0764, 83.87
409.0, 0.0752, 84.10
410.0, 0.0741, 84.31
411.0, 0.0730, 84.52
412.0, 0.0722, 84.68
413.0, 0.0714, 84.85
414.0, 0.0702, 85.08
415.0, 0.0692, 85.26
416.0, 0.0682, 85.46
417.0, 0.0673, 85.64
418.0, 0.0663, 85.85
419.0, 0.0654, 86.03
420.0, 0.0645, 86.19
421.0, 0.0635, 86.39
422.0, 0.0626, 86.57
423.0, 0.0620, 86.71
424.0, 0.0611, 86.88
425.0, 0.0602, 87.05
426.0, 0.0595, 87.19
427.0, 0.0587, 87.35
428.0, 0.0579, 87.52
429.0, 0.0571, 87.67
430.0, 0.0563, 87.83
431.0, 0.0557, 87.97
432.0, 0.0549, 88.13
433.0, 0.0543, 88.26
434.0, 0.0537, 88.37
435.0, 0.0532, 88.47
436.0, 0.0524, 88.63
437.0, 0.0515, 88.81
438.0, 0.0509, 88.94
439.0, 0.0501, 89.10
440.0, 0.0496, 89.21
441.0, 0.0488, 89.37
442.0, 0.0483, 89.47
443.0, 0.0478, 89.58
444.0, 0.0472, 89.69
445.0, 0.0466, 89.83
446.0, 0.0461, 89.93
447.0, 0.0457, 90.01
448.0, 0.0451, 90.14
449.0, 0.0446, 90.25
450.0, 0.0443, 90.30
451.0, 0.0433, 90.50
452.0, 0.0430, 90.58
453.0, 0.0425, 90.67
454.0, 0.0420, 90.79
455.0, 0.0414, 90.90
456.0, 0.0408, 91.03
457.0, 0.0404, 91.12
458.0, 0.0401, 91.19
459.0, 0.0396, 91.29
460.0, 0.0391, 91.39
461.0, 0.0386, 91.49
462.0, 0.0382, 91.59
463.0, 0.0379, 91.65
464.0, 0.0374, 91.76
465.0, 0.0368, 91.87
466.0, 0.0366, 91.92
467.0, 0.0362, 92.01
468.0, 0.0356, 92.13
469.0, 0.0353, 92.19
470.0, 0.0350, 92.26
471.0, 0.0347, 92.32
472.0, 0.0344, 92.38
473.0, 0.0341, 92.45
474.0, 0.0335, 92.58
475.0, 0.0333, 92.62
476.0, 0.0328, 92.73
477.0, 0.0324, 92.80
478.0, 0.0319, 92.91
479.0, 0.0316, 92.98
480.0, 0.0311, 93.08
481.0, 0.0310, 93.12
482.0, 0.0305, 93.22
483.0, 0.0302, 93.28
484.0, 0.0300, 93.33
485.0, 0.0295, 93.44
486.0, 0.0293, 93.48
487.0, 0.0290, 93.53
488.0, 0.0288, 93.58
489.0, 0.0285, 93.65
490.0, 0.0283, 93.69
491.0, 0.0277, 93.81
492.0, 0.0276, 93.84
493.0, 0.0273, 93.90
494.0, 0.0269, 93.99
495.0, 0.0266, 94.06
496.0, 0.0265, 94.09
497.0, 0.0261, 94.16
498.0, 0.0259, 94.22
499.0, 0.0255, 94.29
500.0, 0.0254, 94.32
501.0, 0.0250, 94.40
502.0, 0.0247, 94.46
503.0, 0.0245, 94.51
504.0, 0.0243, 94.57
505.0, 0.0241, 94.60
506.0, 0.0239, 94.64
507.0, 0.0238, 94.66
508.0, 0.0235, 94.73
509.0, 0.0233, 94.78
510.0, 0.0232, 94.80
511.0, 0.0228, 94.88
512.0, 0.0227, 94.92
513.0, 0.0224, 94.97
514.0, 0.0222, 95.02
515.0, 0.0220, 95.07
516.0, 0.0216, 95.14
517.0, 0.0215, 95.17
518.0, 0.0212, 95.23
519.0, 0.0211, 95.26
520.0, 0.0209, 95.29
521.0, 0.0209, 95.31
522.0, 0.0206, 95.37
523.0, 0.0205, 95.40
524.0, 0.0204, 95.42
525.0, 0.0202, 95.45
526.0, 0.0199, 95.51
527.0, 0.0199, 95.53
528.0, 0.0197, 95.57
529.0, 0.0195, 95.61
530.0, 0.0194, 95.63
531.0, 0.0192, 95.67
532.0, 0.0189, 95.73
533.0, 0.0187, 95.78
534.0, 0.0186, 95.80
535.0, 0.0184, 95.85
536.0, 0.0184, 95.84
537.0, 0.0182, 95.89
538.0, 0.0181, 95.92
539.0, 0.0179, 95.97
540.0, 0.0178, 95.99
541.0, 0.0176, 96.03
542.0, 0.0174, 96.07
543.0, 0.0173, 96.10
544.0, 0.0171, 96.14
545.0, 0.0169, 96.17
546.0, 0.0169, 96.17
547.0, 0.0167, 96.22
548.0, 0.0167, 96.24
549.0, 0.0166, 96.25
550.0, 0.0163, 96.32
551.0, 0.0163, 96.32
552.0, 0.0161, 96.37
553.0, 0.0159, 96.41
554.0, 0.0158, 96.43
555.0, 0.0157, 96.45
556.0, 0.0155, 96.49
557.0, 0.0154, 96.51
558.0, 0.0153, 96.54
559.0, 0.0153, 96.55
560.0, 0.0150, 96.61
561.0, 0.0147, 96.67
562.0, 0.0146, 96.69
563.0, 0.0146, 96.69
564.0, 0.0145, 96.71
565.0, 0.0143, 96.76
566.0, 0.0141, 96.80
567.0, 0.0141, 96.80
568.0, 0.0140, 96.82
569.0, 0.0139, 96.85
570.0, 0.0138, 96.88
571.0, 0.0137, 96.89
572.0, 0.0137, 96.90
573.0, 0.0135, 96.93
574.0, 0.0134, 96.97
575.0, 0.0134, 96.97
576.0, 0.0132, 97.01
577.0, 0.0130, 97.05
578.0, 0.0127, 97.11
579.0, 0.0129, 97.08
580.0, 0.0128, 97.10
581.0, 0.0126, 97.14
582.0, 0.0125, 97.15
583.0, 0.0124, 97.18
584.0, 0.0124, 97.18
585.0, 0.0124, 97.19
586.0, 0.0123, 97.21
587.0, 0.0122, 97.23
588.0, 0.0122, 97.22
589.0, 0.0121, 97.25
590.0, 0.0121, 97.26
591.0, 0.0120, 97.28
592.0, 0.0120, 97.28
593.0, 0.0118, 97.31
594.0, 0.0118, 97.32
595.0, 0.0117, 97.35
596.0, 0.0116, 97.36
597.0, 0.0117, 97.35
598.0, 0.0115, 97.39
599.0, 0.0114, 97.42
600.0, 0.0113, 97.43
601.0, 0.0111, 97.47
602.0, 0.0110, 97.50
603.0, 0.0109, 97.51
604.0, 0.0108, 97.53
605.0, 0.0108, 97.54
606.0, 0.0109, 97.53
607.0, 0.0107, 97.57
608.0, 0.0107, 97.58
609.0, 0.0106, 97.59
610.0, 0.0105, 97.61
611.0, 0.0104, 97.63
612.0, 0.0103, 97.66
613.0, 0.0103, 97.66
614.0, 0.0101, 97.69
615.0, 0.0100, 97.72
616.0, 0.0099, 97.74
617.0, 0.0099, 97.74
618.0, 0.0097, 97.78
619.0, 0.0097, 97.80
620.0, 0.0096, 97.80
621.0, 0.0096, 97.82
622.0, 0.0096, 97.82
623.0, 0.0094, 97.86
624.0, 0.0094, 97.86
625.0, 0.0093, 97.88
626.0, 0.0093, 97.89
627.0, 0.0091, 97.92
628.0, 0.0091, 97.93
629.0, 0.0090, 97.95
630.0, 0.0089, 97.97
