Sample Name, Sample-60
Time, February 06 11:29:45 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9006, 12.57
301.0, 0.8142, 15.34
302.0, 0.7366, 18.34
303.0, 0.6697, 21.39
304.0, 0.6140, 24.32
305.0, 0.5616, 27.44
306.0, 0.5123, 30.74
307.0, 0.4729, 33.66
308.0, 0.4407, 36.25
309.0, 0.4148, 38.47
310.0, 0.3939, 40.37
311.0, 0.3761, 42.06
312.0, 0.3620, 43.45
313.0, 0.3510, 44.56
314.0, 0.3423, 45.46
315.0, 0.3348, 46.26
316.0, 0.3284, 46.95
317.0, 0.3226, 47.58
318.0, 0.3171, 48.18
319.0, 0.3120, 48.75
320.0, 0.3074, 49.27
321.0, 0.3035, 49.71
322.0, 0.3000, 50.12
323.0, 0.2958, 50.61
324.0, 0.2921, 51.04
325.0, 0.2890, 51.41
326.0, 0.2860, 51.76
327.0, 0.2831, 52.10
328.0, 0.2805, 52.43
329.0, 0.2778, 52.75
330.0, 0.2760, 52.97
331.0, 0.2709, 53.59
332.0, 0.2678, 53.97
333.0, 0.2652, 54.30
334.0, 0.2624, 54.65
335.0, 0.2595, 55.02
336.0, 0.2564, 55.41
337.0, 0.2538, 55.74
338.0, 0.2514, 56.06
339.0, 0.2496, 56.29
340.0, 0.2289, 59.04
341.0, 0.2279, 59.17
342.0, 0.2262, 59.40
343.0, 0.2245, 59.64
344.0, 0.2231, 59.82
345.0, 0.2215, 60.04
346.0, 0.2205, 60.19
347.0, 0.2192, 60.36
348.0, 0.2179, 60.54
349.0, 0.2164, 60.76
350.0, 0.2150, 60.95
351.0, 0.2140, 61.09
352.0, 0.2126, 61.29
353.0, 0.2110, 61.51
354.0, 0.2090, 61.80
355.0, 0.2070, 62.08
356.0, 0.2051, 62.36
357.0, 0.2031, 62.64
358.0, 0.2011, 62.94
359.0, 0.1991, 63.23
360.0, 0.1971, 63.52
361.0, 0.1952, 63.80
362.0, 0.1935, 64.05
363.0, 0.1918, 64.30
364.0, 0.1898, 64.59
365.0, 0.1881, 64.85
366.0, 0.1859, 65.17
367.0, 0.1842, 65.44
368.0, 0.1818, 65.80
369.0, 0.1795, 66.14
370.0, 0.1786, 66.28
371.0, 0.1792, 66.19
372.0, 0.1773, 66.48
373.0, 0.1758, 66.72
374.0, 0.1743, 66.95
375.0, 0.1729, 67.15
376.0, 0.1715, 67.38
377.0, 0.1698, 67.63
378.0, 0.1680, 67.92
379.0, 0.1664, 68.17
380.0, 0.1648, 68.43
381.0, 0.1628, 68.74
382.0, 0.1616, 68.92
383.0, 0.1601, 69.16
384.0, 0.1593, 69.30
385.0, 0.1570, 69.67
386.0, 0.1556, 69.89
387.0, 0.1541, 70.12
388.0, 0.1528, 70.35
389.0, 0.1514, 70.57
390.0, 0.1499, 70.81
391.0, 0.1485, 71.05
392.0, 0.1470, 71.29
393.0, 0.1455, 71.54
394.0, 0.1440, 71.78
395.0, 0.1428, 71.98
396.0, 0.1415, 72.20
397.0, 0.1400, 72.44
398.0, 0.1388, 72.65
399.0, 0.1377, 72.83
400.0, 0.1366, 73.02
401.0, 0.1351, 73.26
402.0, 0.1336, 73.51
403.0, 0.1325, 73.70
404.0, 0.1313, 73.91
405.0, 0.1303, 74.08
406.0, 0.1288, 74.33
407.0, 0.1276, 74.54
408.0, 0.1265, 74.73
409.0, 0.1257, 74.88
410.0, 0.1245, 75.07
411.0, 0.1236, 75.23
412.0, 0.1226, 75.40
413.0, 0.1215, 75.60
414.0, 0.1205, 75.76
415.0, 0.1195, 75.95
416.0, 0.1184, 76.14
417.0, 0.1173, 76.33
418.0, 0.1163, 76.51
419.0, 0.1151, 76.72
420.0, 0.1143, 76.87
421.0, 0.1132, 77.06
422.0, 0.1123, 77.21
423.0, 0.1115, 77.35
424.0, 0.1106, 77.51
425.0, 0.1098, 77.66
426.0, 0.1088, 77.83
427.0, 0.1079, 78.01
428.0, 0.1069, 78.17
429.0, 0.1061, 78.32
430.0, 0.1053, 78.46
431.0, 0.1045, 78.62
432.0, 0.1035, 78.80
433.0, 0.1027, 78.94
434.0, 0.1019, 79.08
435.0, 0.1013, 79.20
436.0, 0.1005, 79.35
437.0, 0.0997, 79.50
438.0, 0.0988, 79.66
439.0, 0.0979, 79.81
440.0, 0.0971, 79.96
441.0, 0.0963, 80.11
442.0, 0.0956, 80.24
443.0, 0.0948, 80.38
444.0, 0.0943, 80.49
445.0, 0.0934, 80.64
446.0, 0.0926, 80.79
447.0, 0.0921, 80.90
448.0, 0.0917, 80.97
449.0, 0.0911, 81.08
450.0, 0.0909, 81.12
