Sample Name, Sample-124
Time, February 06 15:14:19 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1382, 7.28
301.0, 1.0745, 8.42
302.0, 1.0000, 10.00
303.0, 0.9218, 11.97
304.0, 0.8459, 14.26
305.0, 0.7666, 17.11
306.0, 0.6879, 20.52
307.0, 0.6208, 23.94
308.0, 0.5645, 27.26
309.0, 0.5190, 30.27
310.0, 0.4810, 33.04
311.0, 0.4493, 35.53
312.0, 0.4244, 37.63
313.0, 0.4047, 39.38
314.0, 0.3886, 40.87
315.0, 0.3757, 42.10
316.0, 0.3653, 43.13
317.0, 0.3553, 44.13
318.0, 0.3453, 45.16
319.0, 0.3371, 46.01
320.0, 0.3295, 46.83
321.0, 0.3226, 47.58
322.0, 0.3165, 48.25
323.0, 0.3103, 48.94
324.0, 0.3048, 49.56
325.0, 0.2997, 50.15
326.0, 0.2946, 50.75
327.0, 0.2898, 51.31
328.0, 0.2856, 51.81
329.0, 0.2807, 52.39
330.0, 0.2779, 52.73
331.0, 0.2694, 53.77
332.0, 0.2639, 54.46
333.0, 0.2587, 55.11
334.0, 0.2534, 55.80
335.0, 0.2486, 56.41
336.0, 0.2436, 57.07
337.0, 0.2386, 57.73
338.0, 0.2339, 58.35
339.0, 0.2307, 58.79
340.0, 0.1961, 63.66
341.0, 0.1940, 63.97
342.0, 0.1915, 64.35
343.0, 0.1883, 64.82
344.0, 0.1854, 65.26
345.0, 0.1829, 65.63
346.0, 0.1806, 65.98
347.0, 0.1776, 66.43
348.0, 0.1755, 66.76
349.0, 0.1729, 67.16
350.0, 0.1705, 67.53
351.0, 0.1678, 67.95
352.0, 0.1655, 68.31
353.0, 0.1629, 68.73
354.0, 0.1602, 69.15
355.0, 0.1570, 69.66
356.0, 0.1541, 70.13
357.0, 0.1512, 70.60
358.0, 0.1485, 71.04
359.0, 0.1453, 71.57
360.0, 0.1423, 72.06
361.0, 0.1398, 72.47
362.0, 0.1373, 72.89
363.0, 0.1357, 73.16
364.0, 0.1336, 73.51
365.0, 0.1309, 73.98
366.0, 0.1277, 74.53
367.0, 0.1247, 75.05
368.0, 0.1220, 75.51
369.0, 0.1189, 76.04
370.0, 0.1175, 76.30
371.0, 0.1218, 75.55
372.0, 0.1201, 75.85
373.0, 0.1180, 76.20
374.0, 0.1163, 76.50
375.0, 0.1149, 76.75
376.0, 0.1134, 77.02
377.0, 0.1117, 77.31
378.0, 0.1101, 77.61
379.0, 0.1085, 77.90
380.0, 0.1066, 78.23
381.0, 0.1054, 78.46
382.0, 0.1040, 78.70
383.0, 0.1026, 78.96
384.0, 0.1017, 79.12
385.0, 0.0999, 79.45
386.0, 0.0985, 79.72
387.0, 0.0971, 79.96
388.0, 0.0960, 80.16
389.0, 0.0945, 80.44
390.0, 0.0932, 80.69
391.0, 0.0919, 80.93
392.0, 0.0908, 81.14
393.0, 0.0897, 81.33
394.0, 0.0885, 81.57
395.0, 0.0872, 81.80
396.0, 0.0860, 82.03
397.0, 0.0848, 82.26
398.0, 0.0839, 82.43
399.0, 0.0828, 82.64
400.0, 0.0818, 82.82
401.0, 0.0810, 82.99
402.0, 0.0799, 83.20
403.0, 0.0788, 83.41
404.0, 0.0777, 83.61
405.0, 0.0767, 83.82
406.0, 0.0758, 83.98
407.0, 0.0747, 84.19
408.0, 0.0738, 84.37
409.0, 0.0728, 84.56
410.0, 0.0721, 84.70
411.0, 0.0714, 84.85
412.0, 0.0708, 84.96
413.0, 0.0700, 85.12
414.0, 0.0691, 85.30
415.0, 0.0683, 85.45
416.0, 0.0675, 85.61
417.0, 0.0668, 85.74
418.0, 0.0662, 85.86
419.0, 0.0655, 86.00
420.0, 0.0648, 86.13
421.0, 0.0639, 86.31
422.0, 0.0634, 86.42
423.0, 0.0627, 86.55
424.0, 0.0622, 86.65
425.0, 0.0617, 86.75
426.0, 0.0611, 86.87
427.0, 0.0606, 86.98
428.0, 0.0600, 87.10
429.0, 0.0592, 87.25
430.0, 0.0587, 87.36
431.0, 0.0580, 87.50
432.0, 0.0574, 87.61
433.0, 0.0570, 87.71
434.0, 0.0564, 87.82
435.0, 0.0561, 87.89
436.0, 0.0556, 87.99
437.0, 0.0552, 88.07
438.0, 0.0545, 88.22
439.0, 0.0539, 88.32
440.0, 0.0533, 88.45
441.0, 0.0528, 88.55
442.0, 0.0523, 88.65
443.0, 0.0517, 88.77
444.0, 0.0512, 88.87
445.0, 0.0507, 88.97
446.0, 0.0503, 89.06
447.0, 0.0500, 89.13
448.0, 0.0497, 89.19
449.0, 0.0493, 89.27
450.0, 0.0492, 89.30
