Sample Name, Sample-125
Time, February 06 15:15:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1394, 7.25
301.0, 1.0781, 8.35
302.0, 1.0032, 9.93
303.0, 0.9253, 11.88
304.0, 0.8494, 14.15
305.0, 0.7697, 17.00
306.0, 0.6913, 20.35
307.0, 0.6238, 23.78
308.0, 0.5674, 27.07
309.0, 0.5207, 30.15
310.0, 0.4822, 32.95
311.0, 0.4501, 35.47
312.0, 0.4251, 37.58
313.0, 0.4058, 39.28
314.0, 0.3895, 40.78
315.0, 0.3763, 42.04
316.0, 0.3656, 43.09
317.0, 0.3554, 44.12
318.0, 0.3456, 45.12
319.0, 0.3373, 45.99
320.0, 0.3298, 46.79
321.0, 0.3231, 47.52
322.0, 0.3170, 48.19
323.0, 0.3110, 48.86
324.0, 0.3052, 49.52
325.0, 0.3001, 50.11
326.0, 0.2951, 50.69
327.0, 0.2903, 51.25
328.0, 0.2858, 51.79
329.0, 0.2809, 52.37
330.0, 0.2782, 52.70
331.0, 0.2696, 53.75
332.0, 0.2641, 54.43
333.0, 0.2592, 55.06
334.0, 0.2538, 55.75
335.0, 0.2485, 56.43
336.0, 0.2436, 57.07
337.0, 0.2388, 57.70
338.0, 0.2342, 58.32
339.0, 0.2309, 58.77
340.0, 0.1961, 63.66
341.0, 0.1936, 64.03
342.0, 0.1910, 64.42
343.0, 0.1879, 64.88
344.0, 0.1851, 65.30
345.0, 0.1825, 65.69
346.0, 0.1799, 66.09
347.0, 0.1768, 66.56
348.0, 0.1750, 66.84
349.0, 0.1724, 67.24
350.0, 0.1704, 67.55
351.0, 0.1679, 67.94
352.0, 0.1654, 68.33
353.0, 0.1628, 68.73
354.0, 0.1601, 69.17
355.0, 0.1569, 69.67
356.0, 0.1539, 70.16
357.0, 0.1514, 70.57
358.0, 0.1485, 71.04
359.0, 0.1454, 71.54
360.0, 0.1425, 72.03
361.0, 0.1402, 72.41
362.0, 0.1378, 72.81
363.0, 0.1357, 73.16
364.0, 0.1335, 73.54
365.0, 0.1313, 73.91
366.0, 0.1282, 74.45
367.0, 0.1251, 74.98
368.0, 0.1221, 75.49
369.0, 0.1188, 76.06
370.0, 0.1174, 76.32
371.0, 0.1212, 75.66
372.0, 0.1192, 76.00
373.0, 0.1176, 76.28
374.0, 0.1159, 76.58
375.0, 0.1146, 76.81
376.0, 0.1129, 77.11
377.0, 0.1112, 77.41
378.0, 0.1096, 77.70
379.0, 0.1081, 77.96
380.0, 0.1064, 78.27
381.0, 0.1050, 78.52
382.0, 0.1035, 78.80
383.0, 0.1020, 79.07
384.0, 0.1010, 79.24
385.0, 0.0993, 79.55
386.0, 0.0980, 79.80
387.0, 0.0968, 80.03
388.0, 0.0957, 80.22
389.0, 0.0943, 80.48
390.0, 0.0929, 80.75
391.0, 0.0915, 81.00
392.0, 0.0903, 81.22
393.0, 0.0893, 81.41
394.0, 0.0880, 81.66
395.0, 0.0867, 81.90
396.0, 0.0855, 82.13
397.0, 0.0843, 82.36
398.0, 0.0834, 82.53
399.0, 0.0823, 82.73
400.0, 0.0815, 82.89
401.0, 0.0804, 83.09
402.0, 0.0793, 83.31
403.0, 0.0783, 83.50
404.0, 0.0772, 83.72
405.0, 0.0761, 83.93
406.0, 0.0752, 84.10
407.0, 0.0743, 84.28
408.0, 0.0734, 84.45
409.0, 0.0724, 84.64
410.0, 0.0716, 84.80
411.0, 0.0709, 84.94
412.0, 0.0703, 85.06
413.0, 0.0696, 85.20
414.0, 0.0687, 85.37
415.0, 0.0678, 85.54
416.0, 0.0671, 85.69
417.0, 0.0661, 85.87
418.0, 0.0655, 86.00
419.0, 0.0649, 86.12
420.0, 0.0641, 86.28
421.0, 0.0633, 86.43
422.0, 0.0628, 86.53
423.0, 0.0622, 86.65
424.0, 0.0617, 86.76
425.0, 0.0611, 86.87
426.0, 0.0605, 86.99
427.0, 0.0600, 87.10
428.0, 0.0594, 87.21
429.0, 0.0587, 87.36
430.0, 0.0581, 87.47
431.0, 0.0575, 87.61
432.0, 0.0569, 87.73
433.0, 0.0563, 87.83
434.0, 0.0559, 87.93
435.0, 0.0554, 88.02
436.0, 0.0551, 88.09
437.0, 0.0545, 88.20
438.0, 0.0539, 88.33
439.0, 0.0535, 88.42
440.0, 0.0528, 88.55
441.0, 0.0525, 88.62
442.0, 0.0518, 88.75
443.0, 0.0511, 88.89
444.0, 0.0507, 88.98
445.0, 0.0501, 89.09
446.0, 0.0498, 89.16
447.0, 0.0494, 89.26
448.0, 0.0490, 89.32
449.0, 0.0488, 89.38
450.0, 0.0484, 89.45
