Sample Name, Sample-61
Time, February 06 11:31:13 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.8884, 12.93
301.0, 0.8041, 15.70
302.0, 0.7291, 18.66
303.0, 0.6655, 21.60
304.0, 0.6120, 24.44
305.0, 0.5613, 27.46
306.0, 0.5145, 30.59
307.0, 0.4770, 33.34
308.0, 0.4460, 35.81
309.0, 0.4211, 37.92
310.0, 0.4012, 39.70
311.0, 0.3846, 41.24
312.0, 0.3711, 42.55
313.0, 0.3607, 43.58
314.0, 0.3521, 44.45
315.0, 0.3452, 45.17
316.0, 0.3392, 45.80
317.0, 0.3335, 46.40
318.0, 0.3282, 46.97
319.0, 0.3233, 47.50
320.0, 0.3188, 48.00
321.0, 0.3149, 48.43
322.0, 0.3113, 48.83
323.0, 0.3078, 49.23
324.0, 0.3044, 49.61
325.0, 0.3013, 49.97
326.0, 0.2985, 50.29
327.0, 0.2954, 50.65
328.0, 0.2926, 50.98
329.0, 0.2901, 51.27
330.0, 0.2885, 51.47
331.0, 0.2839, 52.01
332.0, 0.2808, 52.38
333.0, 0.2782, 52.70
334.0, 0.2757, 53.00
335.0, 0.2725, 53.40
336.0, 0.2697, 53.75
337.0, 0.2673, 54.04
338.0, 0.2651, 54.31
339.0, 0.2633, 54.54
340.0, 0.2413, 57.37
341.0, 0.2403, 57.50
342.0, 0.2389, 57.69
343.0, 0.2376, 57.86
344.0, 0.2366, 58.00
345.0, 0.2350, 58.21
346.0, 0.2344, 58.29
347.0, 0.2330, 58.47
348.0, 0.2322, 58.59
349.0, 0.2309, 58.76
350.0, 0.2301, 58.88
351.0, 0.2288, 59.05
352.0, 0.2277, 59.19
353.0, 0.2263, 59.39
354.0, 0.2246, 59.63
355.0, 0.2228, 59.88
356.0, 0.2213, 60.08
357.0, 0.2194, 60.34
358.0, 0.2175, 60.60
359.0, 0.2155, 60.88
360.0, 0.2138, 61.12
361.0, 0.2122, 61.35
362.0, 0.2104, 61.60
363.0, 0.2091, 61.79
364.0, 0.2072, 62.06
365.0, 0.2053, 62.33
366.0, 0.2030, 62.66
367.0, 0.2013, 62.91
368.0, 0.1989, 63.26
369.0, 0.1962, 63.65
370.0, 0.1954, 63.76
371.0, 0.1978, 63.42
372.0, 0.1958, 63.71
373.0, 0.1941, 63.96
374.0, 0.1927, 64.17
375.0, 0.1915, 64.34
376.0, 0.1901, 64.55
377.0, 0.1885, 64.78
378.0, 0.1870, 65.02
379.0, 0.1855, 65.24
380.0, 0.1838, 65.50
381.0, 0.1820, 65.77
382.0, 0.1805, 65.99
383.0, 0.1791, 66.21
384.0, 0.1784, 66.32
385.0, 0.1761, 66.67
386.0, 0.1747, 66.88
387.0, 0.1732, 67.11
388.0, 0.1718, 67.33
389.0, 0.1704, 67.55
390.0, 0.1687, 67.81
391.0, 0.1673, 68.03
392.0, 0.1659, 68.25
393.0, 0.1646, 68.46
394.0, 0.1631, 68.69
395.0, 0.1618, 68.89
396.0, 0.1606, 69.09
397.0, 0.1591, 69.32
398.0, 0.1577, 69.54
399.0, 0.1567, 69.71
400.0, 0.1554, 69.92
401.0, 0.1540, 70.15
402.0, 0.1527, 70.36
403.0, 0.1516, 70.54
404.0, 0.1504, 70.73
405.0, 0.1491, 70.95
406.0, 0.1478, 71.15
407.0, 0.1467, 71.34
408.0, 0.1456, 71.52
409.0, 0.1446, 71.68
410.0, 0.1434, 71.88
411.0, 0.1425, 72.03
412.0, 0.1414, 72.22
413.0, 0.1403, 72.40
414.0, 0.1391, 72.59
415.0, 0.1381, 72.76
416.0, 0.1370, 72.95
417.0, 0.1360, 73.12
418.0, 0.1348, 73.31
419.0, 0.1340, 73.46
420.0, 0.1331, 73.60
421.0, 0.1319, 73.81
422.0, 0.1309, 73.98
423.0, 0.1300, 74.13
424.0, 0.1290, 74.31
425.0, 0.1281, 74.45
426.0, 0.1270, 74.64
427.0, 0.1260, 74.81
428.0, 0.1250, 74.99
429.0, 0.1242, 75.13
430.0, 0.1231, 75.32
431.0, 0.1222, 75.48
432.0, 0.1212, 75.65
433.0, 0.1204, 75.79
434.0, 0.1195, 75.94
435.0, 0.1186, 76.10
436.0, 0.1177, 76.26
437.0, 0.1169, 76.40
438.0, 0.1160, 76.55
439.0, 0.1152, 76.71
440.0, 0.1143, 76.87
441.0, 0.1134, 77.02
442.0, 0.1126, 77.16
443.0, 0.1117, 77.32
444.0, 0.1110, 77.45
445.0, 0.1102, 77.59
446.0, 0.1093, 77.75
447.0, 0.1085, 77.89
448.0, 0.1079, 78.00
449.0, 0.1074, 78.08
450.0, 0.1070, 78.16
