Sample Name, Sample-28
Time, February 13 16:57:08 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5857, 0.26
231.0, 2.5896, 0.26
232.0, 2.6063, 0.25
233.0, 2.6080, 0.25
234.0, 2.6095, 0.25
235.0, 2.6104, 0.25
236.0, 2.6091, 0.25
237.0, 2.6159, 0.24
238.0, 2.6067, 0.25
239.0, 2.6148, 0.24
240.0, 2.6107, 0.25
241.0, 2.6009, 0.25
242.0, 2.5925, 0.26
243.0, 2.5939, 0.25
244.0, 2.5852, 0.26
245.0, 2.5768, 0.26
246.0, 2.5737, 0.27
247.0, 2.5717, 0.27
248.0, 2.5595, 0.28
249.0, 2.5532, 0.28
250.0, 2.5530, 0.28
251.0, 2.5376, 0.29
252.0, 2.5321, 0.29
253.0, 2.5164, 0.30
254.0, 2.5080, 0.31
255.0, 2.5008, 0.32
256.0, 2.5047, 0.31
257.0, 2.4895, 0.32
258.0, 2.4787, 0.33
259.0, 2.4727, 0.34
260.0, 2.4714, 0.34
261.0, 2.4631, 0.34
262.0, 2.4472, 0.36
263.0, 2.4434, 0.36
264.0, 2.4262, 0.37
265.0, 2.4187, 0.38
266.0, 2.4092, 0.39
267.0, 2.4001, 0.40
268.0, 2.3938, 0.40
269.0, 2.3800, 0.42
270.0, 2.3601, 0.44
271.0, 2.3708, 0.43
272.0, 2.3511, 0.45
273.0, 2.3576, 0.44
274.0, 2.3439, 0.45
275.0, 2.3412, 0.46
276.0, 2.3345, 0.46
277.0, 2.3261, 0.47
278.0, 2.3191, 0.48
279.0, 2.3148, 0.48
280.0, 2.3161, 0.48
281.0, 2.3079, 0.49
282.0, 2.3076, 0.49
283.0, 2.2996, 0.50
284.0, 2.2886, 0.51
285.0, 2.2822, 0.52
286.0, 2.2857, 0.52
287.0, 2.2836, 0.52
288.0, 2.2790, 0.53
289.0, 2.2756, 0.53
290.0, 2.2717, 0.53
291.0, 2.2683, 0.54
292.0, 2.2634, 0.55
293.0, 2.2682, 0.54
294.0, 2.2566, 0.55
295.0, 2.2442, 0.57
296.0, 2.2361, 0.58
297.0, 2.2398, 0.58
298.0, 2.2453, 0.57
299.0, 2.2168, 0.61
300.0, 2.1591, 0.69
301.0, 2.0500, 0.89
302.0, 1.8824, 1.31
303.0, 1.6834, 2.07
304.0, 1.4728, 3.37
305.0, 1.2708, 5.36
306.0, 1.0803, 8.31
307.0, 0.9255, 11.87
308.0, 0.8005, 15.83
309.0, 0.6989, 20.00
310.0, 0.6163, 24.19
311.0, 0.5493, 28.23
312.0, 0.4965, 31.88
313.0, 0.4564, 34.96
314.0, 0.4265, 37.46
315.0, 0.4037, 39.47
316.0, 0.3825, 41.45
317.0, 0.3658, 43.07
318.0, 0.3510, 44.56
319.0, 0.3391, 45.81
320.0, 0.3292, 46.86
321.0, 0.3208, 47.78
322.0, 0.3133, 48.60
323.0, 0.3068, 49.34
324.0, 0.3008, 50.02
325.0, 0.2952, 50.68
326.0, 0.2901, 51.27
327.0, 0.2857, 51.79
328.0, 0.2814, 52.31
329.0, 0.2773, 52.81
330.0, 0.2746, 53.14
331.0, 0.2673, 54.03
332.0, 0.2631, 54.57
333.0, 0.2589, 55.10
334.0, 0.2546, 55.64
335.0, 0.2500, 56.23
336.0, 0.2457, 56.79
337.0, 0.2416, 57.33
338.0, 0.2378, 57.84
339.0, 0.2356, 58.13
340.0, 0.2241, 59.69
341.0, 0.2198, 60.28
342.0, 0.2158, 60.84
343.0, 0.2120, 61.37
344.0, 0.2086, 61.86
345.0, 0.2051, 62.36
346.0, 0.2010, 62.95
347.0, 0.1977, 63.43
348.0, 0.1942, 63.95
349.0, 0.1907, 64.46
