Sample Name, Sample-58
Time, February 13 18:23:19 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5061, 0.31
231.0, 2.5217, 0.30
232.0, 2.5189, 0.30
233.0, 2.5261, 0.30
234.0, 2.5261, 0.30
235.0, 2.5342, 0.29
236.0, 2.5402, 0.29
237.0, 2.5409, 0.29
238.0, 2.5435, 0.29
239.0, 2.5425, 0.29
240.0, 2.5281, 0.30
241.0, 2.5296, 0.30
242.0, 2.5265, 0.30
243.0, 2.5247, 0.30
244.0, 2.5148, 0.31
245.0, 2.5099, 0.31
246.0, 2.5025, 0.31
247.0, 2.4987, 0.32
248.0, 2.4860, 0.33
249.0, 2.4804, 0.33
250.0, 2.4723, 0.34
251.0, 2.4635, 0.34
252.0, 2.4495, 0.36
253.0, 2.4407, 0.36
254.0, 2.4415, 0.36
255.0, 2.4268, 0.37
256.0, 2.4180, 0.38
257.0, 2.4133, 0.39
258.0, 2.4067, 0.39
259.0, 2.3900, 0.41
260.0, 2.3818, 0.42
261.0, 2.3677, 0.43
262.0, 2.3635, 0.43
263.0, 2.3540, 0.44
264.0, 2.3462, 0.45
265.0, 2.3316, 0.47
266.0, 2.3154, 0.48
267.0, 2.3113, 0.49
268.0, 2.3071, 0.49
269.0, 2.2918, 0.51
270.0, 2.2875, 0.52
271.0, 2.2800, 0.52
272.0, 2.2677, 0.54
273.0, 2.2656, 0.54
274.0, 2.2603, 0.55
275.0, 2.2593, 0.55
276.0, 2.2570, 0.55
277.0, 2.2450, 0.57
278.0, 2.2478, 0.57
279.0, 2.2379, 0.58
280.0, 2.2397, 0.58
281.0, 2.2350, 0.58
282.0, 2.2351, 0.58
283.0, 2.2268, 0.59
284.0, 2.2187, 0.60
285.0, 2.2110, 0.62
286.0, 2.2030, 0.63
287.0, 2.1952, 0.64
288.0, 2.1968, 0.64
289.0, 2.1910, 0.64
290.0, 2.1856, 0.65
291.0, 2.1800, 0.66
292.0, 2.1854, 0.65
293.0, 2.1715, 0.67
294.0, 2.1440, 0.72
295.0, 2.0924, 0.81
296.0, 2.0021, 1.00
297.0, 1.8846, 1.30
298.0, 1.8064, 1.56
299.0, 1.5088, 3.10
300.0, 1.3335, 4.64
301.0, 1.1838, 6.55
302.0, 1.0541, 8.83
303.0, 0.9403, 11.47
304.0, 0.8476, 14.20
305.0, 0.7653, 17.17
306.0, 0.6917, 20.34
307.0, 0.6291, 23.49
308.0, 0.5825, 26.15
309.0, 0.5440, 28.57
310.0, 0.5131, 30.68
311.0, 0.4877, 32.53
312.0, 0.4673, 34.10
313.0, 0.4513, 35.37
314.0, 0.4389, 36.40
315.0, 0.4283, 37.30
316.0, 0.4198, 38.03
317.0, 0.4118, 38.74
318.0, 0.4040, 39.44
319.0, 0.3976, 40.03
320.0, 0.3918, 40.57
321.0, 0.3867, 41.05
322.0, 0.3820, 41.50
323.0, 0.3772, 41.96
324.0, 0.3728, 42.38
325.0, 0.3690, 42.76
326.0, 0.3652, 43.13
327.0, 0.3615, 43.50
328.0, 0.3580, 43.85
329.0, 0.3549, 44.17
330.0, 0.3528, 44.38
331.0, 0.3472, 44.96
332.0, 0.3437, 45.32
333.0, 0.3403, 45.68
334.0, 0.3373, 45.99
335.0, 0.3341, 46.34
336.0, 0.3311, 46.65
337.0, 0.3283, 46.95
338.0, 0.3257, 47.24
339.0, 0.3244, 47.38
340.0, 0.3139, 48.54
341.0, 0.3121, 48.74
342.0, 0.3096, 49.02
343.0, 0.3070, 49.32
344.0, 0.3048, 49.56
345.0, 0.3026, 49.82
346.0, 0.3005, 50.06
