Sample Name, Sample-59
Time, February 13 18:25:08 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5091, 0.31
231.0, 2.5201, 0.30
232.0, 2.5296, 0.30
233.0, 2.5371, 0.29
234.0, 2.5446, 0.29
235.0, 2.5434, 0.29
236.0, 2.5435, 0.29
237.0, 2.5540, 0.28
238.0, 2.5445, 0.29
239.0, 2.5339, 0.29
240.0, 2.5369, 0.29
241.0, 2.5375, 0.29
242.0, 2.5301, 0.30
243.0, 2.5263, 0.30
244.0, 2.5164, 0.30
245.0, 2.5082, 0.31
246.0, 2.5095, 0.31
247.0, 2.4956, 0.32
248.0, 2.4886, 0.32
249.0, 2.4831, 0.33
250.0, 2.4661, 0.34
251.0, 2.4628, 0.34
252.0, 2.4482, 0.36
253.0, 2.4540, 0.35
254.0, 2.4358, 0.37
255.0, 2.4275, 0.37
256.0, 2.4198, 0.38
257.0, 2.4112, 0.39
258.0, 2.3982, 0.40
259.0, 2.3944, 0.40
260.0, 2.3783, 0.42
261.0, 2.3719, 0.42
262.0, 2.3671, 0.43
263.0, 2.3505, 0.45
264.0, 2.3426, 0.45
265.0, 2.3333, 0.46
266.0, 2.3254, 0.47
267.0, 2.3141, 0.49
268.0, 2.3092, 0.49
269.0, 2.3032, 0.50
270.0, 2.2878, 0.52
271.0, 2.2812, 0.52
272.0, 2.2753, 0.53
273.0, 2.2670, 0.54
274.0, 2.2641, 0.54
275.0, 2.2567, 0.55
276.0, 2.2491, 0.56
277.0, 2.2404, 0.57
278.0, 2.2442, 0.57
279.0, 2.2347, 0.58
280.0, 2.2355, 0.58
281.0, 2.2212, 0.60
282.0, 2.2264, 0.59
283.0, 2.2188, 0.60
284.0, 2.2179, 0.61
285.0, 2.2104, 0.62
286.0, 2.2065, 0.62
287.0, 2.2044, 0.62
288.0, 2.2048, 0.62
289.0, 2.1939, 0.64
290.0, 2.1953, 0.64
291.0, 2.1918, 0.64
292.0, 2.1888, 0.65
293.0, 2.1774, 0.66
294.0, 2.1496, 0.71
295.0, 2.0961, 0.80
296.0, 2.0125, 0.97
297.0, 1.8999, 1.26
298.0, 1.8255, 1.49
299.0, 1.5178, 3.04
