Sample Name, Sample-143
Time, February 06 15:39:46 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1035, 7.88
301.0, 1.0395, 9.13
302.0, 0.9661, 10.81
303.0, 0.8930, 12.79
304.0, 0.8250, 14.96
305.0, 0.7545, 17.60
306.0, 0.6836, 20.72
307.0, 0.6243, 23.75
308.0, 0.5742, 26.65
309.0, 0.5338, 29.25
310.0, 0.4998, 31.63
311.0, 0.4717, 33.76
312.0, 0.4492, 35.55
313.0, 0.4315, 37.02
314.0, 0.4170, 38.29
315.0, 0.4050, 39.36
316.0, 0.3952, 40.25
317.0, 0.3857, 41.14
318.0, 0.3765, 42.03
319.0, 0.3685, 42.81
320.0, 0.3611, 43.54
321.0, 0.3543, 44.22
322.0, 0.3481, 44.86
323.0, 0.3421, 45.49
324.0, 0.3365, 46.08
325.0, 0.3313, 46.64
326.0, 0.3261, 47.19
327.0, 0.3210, 47.75
328.0, 0.3160, 48.30
329.0, 0.3114, 48.82
330.0, 0.3083, 49.17
331.0, 0.2996, 50.16
332.0, 0.2941, 50.80
333.0, 0.2888, 51.43
334.0, 0.2833, 52.09
335.0, 0.2782, 52.70
336.0, 0.2733, 53.30
337.0, 0.2681, 53.94
338.0, 0.2630, 54.57
339.0, 0.2596, 55.00
340.0, 0.2200, 60.25
341.0, 0.2170, 60.67
342.0, 0.2146, 61.01
343.0, 0.2118, 61.40
344.0, 0.2093, 61.76
345.0, 0.2066, 62.15
346.0, 0.2043, 62.48
347.0, 0.2015, 62.88
348.0, 0.1992, 63.21
349.0, 0.1969, 63.55
350.0, 0.1949, 63.84
351.0, 0.1925, 64.19
352.0, 0.1897, 64.60
353.0, 0.1871, 65.00
354.0, 0.1843, 65.42
355.0, 0.1814, 65.86
356.0, 0.1787, 66.26
357.0, 0.1759, 66.69
358.0, 0.1727, 67.19
359.0, 0.1697, 67.65
360.0, 0.1665, 68.16
361.0, 0.1641, 68.54
362.0, 0.1615, 68.95
363.0, 0.1593, 69.30
364.0, 0.1567, 69.72
365.0, 0.1544, 70.08
366.0, 0.1512, 70.61
367.0, 0.1476, 71.19
368.0, 0.1444, 71.71
369.0, 0.1409, 72.29
370.0, 0.1389, 72.63
371.0, 0.1453, 71.56
372.0, 0.1435, 71.86
373.0, 0.1414, 72.21
374.0, 0.1398, 72.48
375.0, 0.1383, 72.72
376.0, 0.1365, 73.03
377.0, 0.1347, 73.33
378.0, 0.1330, 73.62
379.0, 0.1313, 73.92
380.0, 0.1294, 74.23
381.0, 0.1279, 74.48
382.0, 0.1263, 74.76
383.0, 0.1248, 75.02
384.0, 0.1239, 75.18
385.0, 0.1218, 75.55
386.0, 0.1202, 75.82
387.0, 0.1188, 76.06
388.0, 0.1176, 76.28
389.0, 0.1161, 76.54
390.0, 0.1146, 76.82
391.0, 0.1132, 77.06
392.0, 0.1117, 77.31
393.0, 0.1104, 77.56
394.0, 0.1091, 77.79
395.0, 0.1076, 78.05
396.0, 0.1062, 78.30
397.0, 0.1048, 78.55
398.0, 0.1038, 78.73
399.0, 0.1025, 78.97
400.0, 0.1014, 79.17
401.0, 0.1003, 79.37
402.0, 0.0992, 79.57
403.0, 0.0979, 79.82
404.0, 0.0965, 80.07
405.0, 0.0956, 80.25
406.0, 0.0945, 80.44
407.0, 0.0934, 80.65
408.0, 0.0921, 80.90
409.0, 0.0910, 81.10
410.0, 0.0902, 81.24
411.0, 0.0894, 81.39
412.0, 0.0886, 81.55
413.0, 0.0876, 81.74
414.0, 0.0865, 81.94
415.0, 0.0854, 82.14
416.0, 0.0845, 82.32
417.0, 0.0837, 82.48
418.0, 0.0829, 82.63
419.0, 0.0820, 82.79
420.0, 0.0811, 82.96
421.0, 0.0802, 83.13
422.0, 0.0796, 83.26
423.0, 0.0789, 83.39
424.0, 0.0780, 83.56
425.0, 0.0773, 83.70
426.0, 0.0765, 83.84
427.0, 0.0758, 83.98
428.0, 0.0752, 84.10
429.0, 0.0744, 84.25
430.0, 0.0736, 84.41
431.0, 0.0728, 84.56
432.0, 0.0722, 84.69
433.0, 0.0714, 84.83
434.0, 0.0706, 84.99
435.0, 0.0701, 85.09
436.0, 0.0695, 85.21
437.0, 0.0688, 85.34
438.0, 0.0681, 85.49
439.0, 0.0676, 85.58
440.0, 0.0669, 85.72
441.0, 0.0663, 85.84
442.0, 0.0657, 85.96
443.0, 0.0649, 86.12
444.0, 0.0643, 86.25
445.0, 0.0637, 86.36
446.0, 0.0631, 86.47
447.0, 0.0627, 86.57
448.0, 0.0622, 86.66
449.0, 0.0617, 86.75
450.0, 0.0614, 86.82
