Sample Name, Sample-79
Time, February 06 11:56:12 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9081, 12.36
301.0, 0.8252, 14.95
302.0, 0.7496, 17.80
303.0, 0.6838, 20.71
304.0, 0.6289, 23.50
305.0, 0.5775, 26.45
306.0, 0.5290, 29.58
307.0, 0.4900, 32.36
308.0, 0.4578, 34.85
309.0, 0.4324, 36.95
310.0, 0.4117, 38.75
311.0, 0.3940, 40.37
312.0, 0.3799, 41.69
313.0, 0.3692, 42.73
314.0, 0.3600, 43.65
315.0, 0.3523, 44.43
316.0, 0.3461, 45.07
317.0, 0.3399, 45.72
318.0, 0.3343, 46.32
319.0, 0.3293, 46.85
320.0, 0.3245, 47.37
321.0, 0.3203, 47.83
322.0, 0.3162, 48.28
323.0, 0.3124, 48.71
324.0, 0.3086, 49.14
325.0, 0.3052, 49.52
326.0, 0.3021, 49.88
327.0, 0.2990, 50.23
328.0, 0.2959, 50.60
329.0, 0.2927, 50.96
330.0, 0.2910, 51.17
331.0, 0.2852, 51.85
332.0, 0.2820, 52.24
333.0, 0.2787, 52.64
334.0, 0.2758, 52.99
335.0, 0.2725, 53.39
336.0, 0.2692, 53.81
337.0, 0.2666, 54.13
338.0, 0.2642, 54.42
339.0, 0.2619, 54.71
340.0, 0.2379, 57.82
341.0, 0.2364, 58.03
342.0, 0.2348, 58.24
343.0, 0.2333, 58.44
344.0, 0.2316, 58.67
345.0, 0.2298, 58.91
346.0, 0.2280, 59.15
347.0, 0.2263, 59.39
348.0, 0.2250, 59.57
349.0, 0.2236, 59.76
350.0, 0.2222, 59.95
351.0, 0.2206, 60.17
352.0, 0.2192, 60.36
353.0, 0.2173, 60.63
354.0, 0.2152, 60.93
355.0, 0.2129, 61.25
356.0, 0.2107, 61.56
357.0, 0.2087, 61.84
358.0, 0.2065, 62.16
359.0, 0.2044, 62.46
360.0, 0.2024, 62.75
361.0, 0.2003, 63.05
362.0, 0.1983, 63.34
363.0, 0.1966, 63.59
364.0, 0.1947, 63.86
365.0, 0.1921, 64.25
366.0, 0.1901, 64.55
367.0, 0.1877, 64.90
368.0, 0.1851, 65.30
369.0, 0.1828, 65.65
370.0, 0.1818, 65.79
371.0, 0.1834, 65.55
372.0, 0.1815, 65.84
373.0, 0.1799, 66.09
374.0, 0.1781, 66.35
375.0, 0.1766, 66.59
376.0, 0.1752, 66.81
377.0, 0.1735, 67.07
378.0, 0.1718, 67.34
379.0, 0.1701, 67.60
380.0, 0.1685, 67.85
381.0, 0.1667, 68.12
382.0, 0.1655, 68.32
383.0, 0.1639, 68.57
384.0, 0.1631, 68.69
385.0, 0.1606, 69.09
386.0, 0.1592, 69.31
387.0, 0.1576, 69.57
388.0, 0.1563, 69.78
389.0, 0.1548, 70.01
390.0, 0.1533, 70.25
391.0, 0.1519, 70.48
392.0, 0.1505, 70.72
393.0, 0.1492, 70.92
394.0, 0.1478, 71.16
395.0, 0.1464, 71.38
396.0, 0.1452, 71.58
397.0, 0.1437, 71.83
398.0, 0.1425, 72.03
399.0, 0.1413, 72.22
400.0, 0.1402, 72.41
401.0, 0.1389, 72.64
402.0, 0.1376, 72.84
403.0, 0.1364, 73.05
404.0, 0.1353, 73.24
405.0, 0.1342, 73.42
406.0, 0.1328, 73.65
407.0, 0.1316, 73.85
408.0, 0.1305, 74.05
409.0, 0.1296, 74.20
410.0, 0.1282, 74.43
411.0, 0.1273, 74.59
412.0, 0.1264, 74.74
413.0, 0.1255, 74.90
414.0, 0.1243, 75.10
415.0, 0.1235, 75.25
416.0, 0.1225, 75.43
417.0, 0.1216, 75.58
418.0, 0.1205, 75.77
419.0, 0.1194, 75.95
420.0, 0.1187, 76.09
421.0, 0.1176, 76.28
422.0, 0.1167, 76.43
423.0, 0.1158, 76.59
424.0, 0.1150, 76.73
425.0, 0.1141, 76.89
426.0, 0.1134, 77.03
427.0, 0.1125, 77.18
428.0, 0.1118, 77.31
429.0, 0.1109, 77.46
430.0, 0.1100, 77.62
431.0, 0.1093, 77.76
432.0, 0.1084, 77.92
433.0, 0.1075, 78.07
434.0, 0.1068, 78.20
435.0, 0.1061, 78.32
436.0, 0.1053, 78.46
437.0, 0.1045, 78.61
438.0, 0.1039, 78.72
439.0, 0.1031, 78.87
440.0, 0.1024, 79.00
441.0, 0.1016, 79.15
442.0, 0.1009, 79.27
443.0, 0.1002, 79.41
444.0, 0.0996, 79.51
445.0, 0.0989, 79.64
446.0, 0.0982, 79.77
447.0, 0.0976, 79.87
448.0, 0.0970, 79.99
449.0, 0.0966, 80.07
450.0, 0.0964, 80.09
