Sample Name, Sample-80
Time, February 06 11:57:09 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9132, 12.21
301.0, 0.8296, 14.80
302.0, 0.7525, 17.68
303.0, 0.6878, 20.52
304.0, 0.6321, 23.33
305.0, 0.5801, 26.30
306.0, 0.5315, 29.41
307.0, 0.4922, 32.20
308.0, 0.4592, 34.74
309.0, 0.4335, 36.85
310.0, 0.4124, 38.69
311.0, 0.3948, 40.29
312.0, 0.3809, 41.61
313.0, 0.3698, 42.67
314.0, 0.3605, 43.60
315.0, 0.3529, 44.37
316.0, 0.3467, 45.01
317.0, 0.3405, 45.65
318.0, 0.3346, 46.28
319.0, 0.3297, 46.81
320.0, 0.3248, 47.34
321.0, 0.3207, 47.78
322.0, 0.3168, 48.22
323.0, 0.3129, 48.65
324.0, 0.3091, 49.08
325.0, 0.3058, 49.46
326.0, 0.3025, 49.83
327.0, 0.2993, 50.20
328.0, 0.2964, 50.54
329.0, 0.2933, 50.89
330.0, 0.2915, 51.11
331.0, 0.2862, 51.74
332.0, 0.2826, 52.16
333.0, 0.2796, 52.53
334.0, 0.2765, 52.90
335.0, 0.2729, 53.35
336.0, 0.2696, 53.75
337.0, 0.2670, 54.07
338.0, 0.2642, 54.42
339.0, 0.2623, 54.66
340.0, 0.2386, 57.73
341.0, 0.2372, 57.92
342.0, 0.2358, 58.11
343.0, 0.2340, 58.35
344.0, 0.2324, 58.55
345.0, 0.2304, 58.83
346.0, 0.2293, 58.99
347.0, 0.2274, 59.23
348.0, 0.2256, 59.48
349.0, 0.2240, 59.70
350.0, 0.2224, 59.93
351.0, 0.2210, 60.12
352.0, 0.2198, 60.29
353.0, 0.2175, 60.60
354.0, 0.2154, 60.90
355.0, 0.2133, 61.20
356.0, 0.2112, 61.49
357.0, 0.2092, 61.77
358.0, 0.2070, 62.08
359.0, 0.2046, 62.44
360.0, 0.2025, 62.73
361.0, 0.2006, 63.01
362.0, 0.1984, 63.33
363.0, 0.1968, 63.57
364.0, 0.1948, 63.85
365.0, 0.1926, 64.18
366.0, 0.1903, 64.52
367.0, 0.1878, 64.90
368.0, 0.1854, 65.25
369.0, 0.1830, 65.62
370.0, 0.1820, 65.77
371.0, 0.1836, 65.53
372.0, 0.1816, 65.82
373.0, 0.1798, 66.11
374.0, 0.1781, 66.35
375.0, 0.1767, 66.58
376.0, 0.1754, 66.78
377.0, 0.1738, 67.03
378.0, 0.1720, 67.29
379.0, 0.1703, 67.57
380.0, 0.1687, 67.81
381.0, 0.1671, 68.07
382.0, 0.1653, 68.34
383.0, 0.1639, 68.56
384.0, 0.1632, 68.68
385.0, 0.1609, 69.04
386.0, 0.1592, 69.31
387.0, 0.1576, 69.57
388.0, 0.1566, 69.73
389.0, 0.1550, 69.98
390.0, 0.1536, 70.21
391.0, 0.1521, 70.45
392.0, 0.1508, 70.66
393.0, 0.1494, 70.89
394.0, 0.1481, 71.11
395.0, 0.1466, 71.35
396.0, 0.1454, 71.55
397.0, 0.1439, 71.80
398.0, 0.1426, 72.01
399.0, 0.1416, 72.18
400.0, 0.1404, 72.38
401.0, 0.1391, 72.59
402.0, 0.1377, 72.82
403.0, 0.1365, 73.03
404.0, 0.1354, 73.22
405.0, 0.1343, 73.41
406.0, 0.1330, 73.63
407.0, 0.1317, 73.84
408.0, 0.1307, 74.01
409.0, 0.1295, 74.21
410.0, 0.1284, 74.40
411.0, 0.1275, 74.56
412.0, 0.1267, 74.69
413.0, 0.1257, 74.88
414.0, 0.1244, 75.09
415.0, 0.1234, 75.26
416.0, 0.1224, 75.44
417.0, 0.1215, 75.59
418.0, 0.1205, 75.77
419.0, 0.1195, 75.94
420.0, 0.1188, 76.06
421.0, 0.1178, 76.24
422.0, 0.1169, 76.40
423.0, 0.1160, 76.56
424.0, 0.1151, 76.72
425.0, 0.1142, 76.88
426.0, 0.1134, 77.02
427.0, 0.1125, 77.18
428.0, 0.1118, 77.31
429.0, 0.1110, 77.45
430.0, 0.1101, 77.61
431.0, 0.1092, 77.77
432.0, 0.1084, 77.91
433.0, 0.1077, 78.04
434.0, 0.1067, 78.21
435.0, 0.1063, 78.30
436.0, 0.1055, 78.43
437.0, 0.1047, 78.57
438.0, 0.1040, 78.71
439.0, 0.1033, 78.83
440.0, 0.1024, 78.99
441.0, 0.1017, 79.12
442.0, 0.1010, 79.26
443.0, 0.1001, 79.41
444.0, 0.0995, 79.53
445.0, 0.0989, 79.64
446.0, 0.0981, 79.78
447.0, 0.0976, 79.87
448.0, 0.0972, 79.94
449.0, 0.0966, 80.05
450.0, 0.0963, 80.11
