Sample Name, Sample-147
Time, February 06 15:44:40 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0385, 9.15
301.0, 0.9668, 10.79
302.0, 0.8933, 12.78
303.0, 0.8227, 15.04
304.0, 0.7599, 17.38
305.0, 0.6969, 20.09
306.0, 0.6349, 23.18
307.0, 0.5838, 26.07
308.0, 0.5409, 28.78
309.0, 0.5059, 31.20
310.0, 0.4772, 33.33
311.0, 0.4531, 35.23
312.0, 0.4332, 36.88
313.0, 0.4178, 38.21
314.0, 0.4055, 39.31
315.0, 0.3948, 40.29
316.0, 0.3860, 41.12
317.0, 0.3774, 41.94
318.0, 0.3690, 42.75
319.0, 0.3613, 43.52
320.0, 0.3544, 44.22
321.0, 0.3480, 44.88
322.0, 0.3421, 45.49
323.0, 0.3360, 46.13
324.0, 0.3303, 46.74
325.0, 0.3252, 47.30
326.0, 0.3198, 47.88
327.0, 0.3148, 48.44
328.0, 0.3100, 48.97
329.0, 0.3056, 49.47
330.0, 0.3029, 49.78
331.0, 0.2941, 50.81
332.0, 0.2886, 51.45
333.0, 0.2834, 52.07
334.0, 0.2781, 52.72
335.0, 0.2730, 53.34
336.0, 0.2679, 53.96
337.0, 0.2628, 54.60
338.0, 0.2582, 55.18
339.0, 0.2548, 55.62
340.0, 0.2153, 60.91
341.0, 0.2131, 61.22
342.0, 0.2106, 61.58
343.0, 0.2073, 62.05
344.0, 0.2052, 62.35
345.0, 0.2027, 62.71
346.0, 0.2007, 63.00
347.0, 0.1979, 63.40
348.0, 0.1960, 63.69
349.0, 0.1937, 64.02
350.0, 0.1916, 64.33
351.0, 0.1893, 64.67
352.0, 0.1872, 64.99
353.0, 0.1848, 65.35
354.0, 0.1823, 65.73
355.0, 0.1792, 66.18
356.0, 0.1766, 66.58
357.0, 0.1740, 66.98
358.0, 0.1710, 67.46
359.0, 0.1680, 67.92
360.0, 0.1649, 68.41
361.0, 0.1624, 68.80
362.0, 0.1603, 69.13
363.0, 0.1579, 69.52
364.0, 0.1555, 69.90
365.0, 0.1533, 70.26
366.0, 0.1499, 70.81
367.0, 0.1467, 71.33
368.0, 0.1436, 71.84
369.0, 0.1401, 72.43
370.0, 0.1381, 72.77
371.0, 0.1448, 71.65
372.0, 0.1428, 71.97
373.0, 0.1412, 72.25
374.0, 0.1395, 72.52
375.0, 0.1381, 72.77
376.0, 0.1363, 73.07
377.0, 0.1346, 73.35
378.0, 0.1328, 73.65
379.0, 0.1312, 73.92
380.0, 0.1293, 74.25
381.0, 0.1279, 74.50
382.0, 0.1264, 74.74
383.0, 0.1250, 74.99
384.0, 0.1239, 75.18
385.0, 0.1220, 75.51
386.0, 0.1207, 75.74
387.0, 0.1192, 76.00
388.0, 0.1181, 76.19
389.0, 0.1165, 76.47
390.0, 0.1150, 76.73
391.0, 0.1135, 77.00
392.0, 0.1124, 77.20
393.0, 0.1111, 77.42
394.0, 0.1098, 77.66
395.0, 0.1086, 77.88
396.0, 0.1072, 78.13
397.0, 0.1058, 78.37
398.0, 0.1048, 78.56
399.0, 0.1036, 78.78
400.0, 0.1025, 78.97
401.0, 0.1014, 79.18
402.0, 0.1001, 79.41
403.0, 0.0990, 79.61
404.0, 0.0978, 79.83
405.0, 0.0966, 80.06
406.0, 0.0956, 80.24
407.0, 0.0944, 80.46
408.0, 0.0934, 80.65
409.0, 0.0923, 80.86
410.0, 0.0914, 81.02
411.0, 0.0906, 81.18
412.0, 0.0898, 81.32
413.0, 0.0888, 81.50
414.0, 0.0878, 81.69
415.0, 0.0869, 81.87
416.0, 0.0859, 82.05
417.0, 0.0851, 82.20
418.0, 0.0844, 82.34
419.0, 0.0834, 82.52
420.0, 0.0825, 82.70
421.0, 0.0816, 82.88
422.0, 0.0808, 83.02
423.0, 0.0801, 83.15
424.0, 0.0792, 83.32
425.0, 0.0785, 83.46
426.0, 0.0778, 83.60
427.0, 0.0772, 83.71
428.0, 0.0765, 83.85
429.0, 0.0757, 84.00
430.0, 0.0749, 84.16
431.0, 0.0740, 84.33
432.0, 0.0734, 84.45
433.0, 0.0727, 84.59
434.0, 0.0719, 84.75
435.0, 0.0713, 84.87
436.0, 0.0707, 84.97
437.0, 0.0702, 85.08
438.0, 0.0694, 85.24
439.0, 0.0687, 85.36
440.0, 0.0680, 85.51
441.0, 0.0674, 85.62
442.0, 0.0666, 85.78
443.0, 0.0657, 85.95
444.0, 0.0652, 86.06
445.0, 0.0646, 86.19
446.0, 0.0641, 86.28
447.0, 0.0636, 86.38
448.0, 0.0631, 86.48
449.0, 0.0626, 86.57
450.0, 0.0623, 86.64
