Sample Name, Sample-150
Time, February 06 15:48:46 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1603, 6.91
301.0, 1.1108, 7.75
302.0, 1.0460, 8.99
303.0, 0.9711, 10.69
304.0, 0.8961, 12.70
305.0, 0.8126, 15.39
306.0, 0.7268, 18.76
307.0, 0.6520, 22.29
308.0, 0.5874, 25.86
309.0, 0.5347, 29.19
310.0, 0.4908, 32.30
311.0, 0.4543, 35.13
312.0, 0.4250, 37.58
313.0, 0.4027, 39.56
314.0, 0.3849, 41.22
315.0, 0.3702, 42.64
316.0, 0.3582, 43.83
317.0, 0.3471, 44.97
318.0, 0.3365, 46.08
319.0, 0.3279, 47.01
320.0, 0.3202, 47.84
321.0, 0.3133, 48.60
322.0, 0.3072, 49.29
323.0, 0.3010, 50.00
324.0, 0.2954, 50.65
325.0, 0.2902, 51.27
326.0, 0.2854, 51.84
327.0, 0.2808, 52.39
328.0, 0.2765, 52.90
329.0, 0.2720, 53.45
330.0, 0.2695, 53.77
331.0, 0.2612, 54.80
332.0, 0.2560, 55.47
333.0, 0.2512, 56.08
334.0, 0.2464, 56.70
335.0, 0.2416, 57.33
336.0, 0.2365, 58.01
337.0, 0.2317, 58.65
338.0, 0.2274, 59.24
339.0, 0.2244, 59.65
340.0, 0.1903, 64.53
341.0, 0.1878, 64.90
342.0, 0.1850, 65.32
343.0, 0.1824, 65.71
344.0, 0.1802, 66.04
345.0, 0.1777, 66.42
346.0, 0.1755, 66.75
347.0, 0.1729, 67.15
348.0, 0.1706, 67.52
349.0, 0.1682, 67.89
350.0, 0.1658, 68.26
351.0, 0.1638, 68.58
352.0, 0.1616, 68.93
353.0, 0.1590, 69.34
354.0, 0.1562, 69.79
355.0, 0.1533, 70.25
356.0, 0.1506, 70.69
357.0, 0.1480, 71.13
358.0, 0.1451, 71.59
359.0, 0.1423, 72.06
360.0, 0.1395, 72.52
361.0, 0.1370, 72.95
362.0, 0.1346, 73.35
363.0, 0.1327, 73.67
364.0, 0.1301, 74.11
365.0, 0.1283, 74.43
366.0, 0.1251, 74.97
367.0, 0.1223, 75.46
368.0, 0.1194, 75.96
369.0, 0.1166, 76.46
370.0, 0.1148, 76.78
371.0, 0.1195, 75.94
372.0, 0.1177, 76.26
373.0, 0.1162, 76.53
374.0, 0.1146, 76.81
375.0, 0.1133, 77.04
376.0, 0.1118, 77.31
377.0, 0.1101, 77.60
378.0, 0.1086, 77.87
379.0, 0.1071, 78.14
380.0, 0.1056, 78.41
381.0, 0.1043, 78.66
382.0, 0.1028, 78.93
383.0, 0.1013, 79.19
384.0, 0.1004, 79.36
385.0, 0.0988, 79.66
386.0, 0.0972, 79.94
387.0, 0.0960, 80.16
388.0, 0.0949, 80.37
389.0, 0.0934, 80.64
390.0, 0.0919, 80.92
391.0, 0.0906, 81.18
392.0, 0.0895, 81.39
393.0, 0.0883, 81.59
394.0, 0.0872, 81.81
395.0, 0.0860, 82.04
396.0, 0.0847, 82.29
397.0, 0.0835, 82.51
398.0, 0.0828, 82.65
399.0, 0.0815, 82.88
400.0, 0.0805, 83.08
401.0, 0.0795, 83.28
402.0, 0.0784, 83.48
403.0, 0.0775, 83.67
404.0, 0.0763, 83.89
405.0, 0.0752, 84.10
406.0, 0.0744, 84.26
407.0, 0.0732, 84.48
408.0, 0.0723, 84.66
409.0, 0.0715, 84.83
410.0, 0.0707, 84.98
411.0, 0.0700, 85.11
412.0, 0.0692, 85.27
413.0, 0.0683, 85.45
414.0, 0.0674, 85.62
415.0, 0.0667, 85.76
416.0, 0.0658, 85.94
417.0, 0.0650, 86.09
418.0, 0.0644, 86.22
419.0, 0.0637, 86.35
420.0, 0.0629, 86.51
421.0, 0.0621, 86.67
422.0, 0.0615, 86.80
423.0, 0.0609, 86.91
424.0, 0.0603, 87.03
425.0, 0.0598, 87.13
426.0, 0.0592, 87.26
427.0, 0.0586, 87.37
428.0, 0.0580, 87.50
429.0, 0.0574, 87.63
430.0, 0.0570, 87.71
431.0, 0.0563, 87.85
432.0, 0.0557, 87.96
433.0, 0.0551, 88.08
434.0, 0.0546, 88.19
435.0, 0.0541, 88.29
436.0, 0.0537, 88.37
437.0, 0.0530, 88.51
438.0, 0.0525, 88.61
439.0, 0.0520, 88.72
440.0, 0.0513, 88.86
441.0, 0.0508, 88.96
442.0, 0.0503, 89.06
443.0, 0.0495, 89.22
444.0, 0.0492, 89.30
445.0, 0.0487, 89.40
446.0, 0.0482, 89.49
447.0, 0.0479, 89.56
448.0, 0.0475, 89.64
449.0, 0.0471, 89.72
450.0, 0.0469, 89.76
