Sample Name, Sample-63
Time, February 13 18:32:58 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.4949, 0.32
231.0, 2.5068, 0.31
232.0, 2.5125, 0.31
233.0, 2.5300, 0.30
234.0, 2.5266, 0.30
235.0, 2.5354, 0.29
236.0, 2.5276, 0.30
237.0, 2.5363, 0.29
238.0, 2.5395, 0.29
239.0, 2.5258, 0.30
240.0, 2.5294, 0.30
241.0, 2.5292, 0.30
242.0, 2.5178, 0.30
243.0, 2.5246, 0.30
244.0, 2.5195, 0.30
245.0, 2.5055, 0.31
246.0, 2.4936, 0.32
247.0, 2.4907, 0.32
248.0, 2.4771, 0.33
249.0, 2.4717, 0.34
250.0, 2.4622, 0.35
251.0, 2.4484, 0.36
252.0, 2.4440, 0.36
253.0, 2.4270, 0.37
254.0, 2.4199, 0.38
255.0, 2.4069, 0.39
256.0, 2.4062, 0.39
257.0, 2.4041, 0.39
258.0, 2.3935, 0.40
259.0, 2.3739, 0.42
260.0, 2.3669, 0.43
261.0, 2.3513, 0.45
262.0, 2.3405, 0.46
263.0, 2.3377, 0.46
264.0, 2.3261, 0.47
265.0, 2.3131, 0.49
266.0, 2.3055, 0.49
267.0, 2.2980, 0.50
268.0, 2.2920, 0.51
269.0, 2.2771, 0.53
270.0, 2.2688, 0.54
271.0, 2.2661, 0.54
272.0, 2.2556, 0.56
273.0, 2.2540, 0.56
274.0, 2.2589, 0.55
275.0, 2.2436, 0.57
276.0, 2.2388, 0.58
277.0, 2.2306, 0.59
278.0, 2.2238, 0.60
279.0, 2.2237, 0.60
280.0, 2.2233, 0.60
281.0, 2.2136, 0.61
282.0, 2.2079, 0.62
283.0, 2.2118, 0.61
284.0, 2.2044, 0.62
285.0, 2.1939, 0.64
286.0, 2.1884, 0.65
287.0, 2.1850, 0.65
288.0, 2.1908, 0.64
289.0, 2.1834, 0.66
290.0, 2.1852, 0.65
291.0, 2.1694, 0.68
292.0, 2.1693, 0.68
293.0, 2.1596, 0.69
294.0, 2.1484, 0.71
295.0, 2.1073, 0.78
296.0, 2.0401, 0.91
297.0, 1.9371, 1.16
298.0, 1.8682, 1.35
299.0, 1.5408, 2.88
300.0, 1.3435, 4.53
301.0, 1.1714, 6.74
302.0, 1.0207, 9.53
303.0, 0.8860, 13.00
304.0, 0.7775, 16.69
305.0, 0.6812, 20.83
306.0, 0.5967, 25.31
307.0, 0.5237, 29.95
308.0, 0.4691, 33.96
309.0, 0.4252, 37.56
310.0, 0.3903, 40.71
311.0, 0.3615, 43.50
312.0, 0.3389, 45.82
313.0, 0.3220, 47.65
314.0, 0.3089, 49.10
315.0, 0.2980, 50.35
316.0, 0.2893, 51.37
317.0, 0.2814, 52.32
318.0, 0.2741, 53.19
319.0, 0.2680, 53.95
320.0, 0.2627, 54.61
321.0, 0.2584, 55.16
322.0, 0.2545, 55.66
323.0, 0.2508, 56.13
324.0, 0.2473, 56.58
325.0, 0.2441, 57.00
326.0, 0.2414, 57.36
327.0, 0.2386, 57.73
328.0, 0.2360, 58.08
329.0, 0.2335, 58.41
330.0, 0.2318, 58.64
331.0, 0.2274, 59.23
332.0, 0.2249, 59.58
333.0, 0.2222, 59.95
334.0, 0.2201, 60.24
335.0, 0.2177, 60.58
336.0, 0.2155, 60.89
337.0, 0.2134, 61.18
338.0, 0.2112, 61.49
339.0, 0.2100, 61.66
340.0, 0.2031, 62.64
341.0, 0.2012, 62.93
342.0, 0.1989, 63.26
343.0, 0.1971, 63.51
344.0, 0.1950, 63.82
345.0, 0.1933, 64.07
346.0, 0.1915, 64.34
347.0, 0.1896, 64.62
348.0, 0.1882, 64.83
349.0, 0.1865, 65.10
350.0, 0.1850, 65.31
351.0, 0.1832, 65.59
352.0, 0.1816, 65.82
353.0, 0.1799, 66.08
354.0, 0.1780, 66.37
355.0, 0.1763, 66.63
356.0, 0.1745, 66.91
357.0, 0.1731, 67.13
358.0, 0.1709, 67.47
359.0, 0.1690, 67.76
360.0, 0.1674, 68.02
361.0, 0.1660, 68.23
362.0, 0.1643, 68.51
363.0, 0.1625, 68.79
364.0, 0.1609, 69.04
365.0, 0.1588, 69.37
366.0, 0.1573, 69.61
367.0, 0.1557, 69.88
368.0, 0.1538, 70.17
369.0, 0.1521, 70.46
370.0, 0.1507, 70.68
371.0, 0.1490, 70.96
372.0, 0.1473, 71.24
373.0, 0.1458, 71.49
374.0, 0.1443, 71.74
375.0, 0.1429, 71.97
376.0, 0.1411, 72.26
377.0, 0.1396, 72.51
378.0, 0.1381, 72.77
379.0, 0.1362, 73.08
380.0, 0.1346, 73.35
381.0, 0.1332, 73.59
382.0, 0.1315, 73.88
383.0, 0.1301, 74.12
384.0, 0.1292, 74.28
385.0, 0.1270, 74.64
